# year, synthetic, actual
1.970000000000000000e+03 1.245719340532014172e+02 1.248000030517578125e+02
1.971000000000000000e+03 1.251934044778820123e+02 1.255999984741210938e+02
1.972000000000000000e+03 1.265806794584155739e+02 1.265999984741210938e+02
1.973000000000000000e+03 1.266532957516026414e+02 1.244000015258789062e+02
1.974000000000000000e+03 1.295851887610054405e+02 1.318999938964843750e+02
1.975000000000000000e+03 1.315749163445118768e+02 1.318000030517578125e+02
1.976000000000000000e+03 1.344034807491817105e+02 1.343999938964843750e+02
1.977000000000000000e+03 1.358471335658641692e+02 1.340000000000000000e+02
1.978000000000000000e+03 1.355695119163993922e+02 1.366999969482421875e+02
1.979000000000000000e+03 1.344004704219557311e+02 1.353000030517578125e+02
1.980000000000000000e+03 1.346441140179414049e+02 1.351999969482421875e+02
1.981000000000000000e+03 1.342263828202175659e+02 1.330000000000000000e+02
1.982000000000000000e+03 1.326888814013382216e+02 1.306999969482421875e+02
1.983000000000000000e+03 1.271867849034285456e+02 1.279000015258789062e+02
1.984000000000000000e+03 1.226391421288440142e+02 1.240000000000000000e+02
1.985000000000000000e+03 1.195585493332734330e+02 1.215999984741210938e+02
1.986000000000000000e+03 1.174345501346420662e+02 1.181999969482421875e+02
1.987000000000000000e+03 1.124793696219518466e+02 1.095000000000000000e+02
1.988000000000000000e+03 1.100297420407507190e+02 1.075999984741210938e+02
1.989000000000000000e+03 1.048353086192160504e+02 1.045999984741210938e+02
1.990000000000000000e+03 9.459396741131089925e+01 9.409999847412109375e+01
1.991000000000000000e+03 9.231456641618345316e+01 9.609999847412109375e+01
1.992000000000000000e+03 9.066517970445843844e+01 9.480000305175781250e+01
1.993000000000000000e+03 8.865758618512045075e+01 9.459999847412109375e+01
1.994000000000000000e+03 8.739038455918078796e+01 8.569999694824218750e+01
1.995000000000000000e+03 8.870386842330712796e+01 8.430000305175781250e+01
1.996000000000000000e+03 8.602991943882591386e+01 8.180000305175781250e+01
1.997000000000000000e+03 8.667672512186211975e+01 7.959999847412109375e+01
1.998000000000000000e+03 8.591432916907912443e+01 8.030000305175781250e+01
1.999000000000000000e+03 8.286763390049591749e+01 7.219999694824218750e+01
2.000000000000000000e+03 7.858225372867993030e+01 7.000000000000000000e+01
2.001000000000000000e+03 7.523429923721050727e+01 6.709999847412109375e+01
2.002000000000000000e+03 7.270401448564902580e+01 7.090000152587890625e+01
2.003000000000000000e+03 7.123921432032821599e+01 5.140000152587890625e+01
2.004000000000000000e+03 6.094146261075413662e+01 6.000000000000000000e+01
2.005000000000000000e+03 5.941853737589282503e+01 5.220000076293945312e+01
2.006000000000000000e+03 5.770978815405852203e+01 5.150000000000000000e+01
2.007000000000000000e+03 5.652909091170565148e+01 4.859999847412109375e+01
2.008000000000000000e+03 5.288512695925848561e+01 4.790000152587890625e+01
2.009000000000000000e+03 5.158826666516226567e+01 4.520000076293945312e+01
2.010000000000000000e+03 4.553797864079502489e+01 4.409999847412109375e+01
2.011000000000000000e+03 4.363884656969332099e+01 4.529999923706054688e+01
2.012000000000000000e+03 4.133259523634527710e+01 4.650000000000000000e+01
2.013000000000000000e+03 3.986416238528391176e+01 3.170000076293945312e+01
2.014000000000000000e+03 3.854698503391747977e+01 3.359999847412109375e+01
2.015000000000000000e+03 3.795462049786296888e+01 3.340000152587890625e+01
2.016000000000000000e+03 3.718799634122165543e+01 3.150000000000000000e+01
2.017000000000000000e+03 3.564341254113419666e+01 3.070000076293945312e+01
