# year, synthetic, actual
1.970000000000000000e+03 1.330033586457696799e+02 1.346000061035156250e+02
1.971000000000000000e+03 1.399644375954889028e+02 1.393000030517578125e+02
1.972000000000000000e+03 1.510229184954785921e+02 1.491999969482421875e+02
1.973000000000000000e+03 1.549508844513257202e+02 1.560000000000000000e+02
1.974000000000000000e+03 1.579173384616870806e+02 1.596000061035156250e+02
1.975000000000000000e+03 1.618952174949899074e+02 1.623999938964843750e+02
1.976000000000000000e+03 1.681366991179991146e+02 1.666000061035156250e+02
1.977000000000000000e+03 1.638920324065911416e+02 1.730000000000000000e+02
1.978000000000000000e+03 1.575315417659879813e+02 1.508999938964843750e+02
1.979000000000000000e+03 1.528142932889736869e+02 1.488999938964843750e+02
1.980000000000000000e+03 1.499729998330338674e+02 1.468999938964843750e+02
1.981000000000000000e+03 1.484322839343535350e+02 1.485000000000000000e+02
1.982000000000000000e+03 1.490229666402370867e+02 1.476999969482421875e+02
1.983000000000000000e+03 1.443746960123038434e+02 1.430000000000000000e+02
1.984000000000000000e+03 1.373453181971869981e+02 1.378000030517578125e+02
1.985000000000000000e+03 1.355339189020432968e+02 1.353000030517578125e+02
1.986000000000000000e+03 1.347500917179361011e+02 1.376000061035156250e+02
1.987000000000000000e+03 1.296629632315611786e+02 1.340000000000000000e+02
1.988000000000000000e+03 1.199672942937429667e+02 1.340000000000000000e+02
1.989000000000000000e+03 1.179117684040555645e+02 1.325000000000000000e+02
1.990000000000000000e+03 1.162119195347920311e+02 1.283000030517578125e+02
1.991000000000000000e+03 1.142933857264979594e+02 1.271999969482421875e+02
1.992000000000000000e+03 1.119712366402741850e+02 1.281999969482421875e+02
1.993000000000000000e+03 1.129652119388515104e+02 1.268000030517578125e+02
1.994000000000000000e+03 1.060841478169606376e+02 1.281999969482421875e+02
1.995000000000000000e+03 1.076005167025954279e+02 1.353999938964843750e+02
1.996000000000000000e+03 1.097328375506697853e+02 1.351000061035156250e+02
1.997000000000000000e+03 1.060857342559843914e+02 1.353000030517578125e+02
1.998000000000000000e+03 1.055544452831085209e+02 1.358999938964843750e+02
1.999000000000000000e+03 9.827747958594684974e+01 1.333000030517578125e+02
2.000000000000000000e+03 9.234606101761278296e+01 1.255000000000000000e+02
2.001000000000000000e+03 8.872380755542542374e+01 1.214000015258789062e+02
2.002000000000000000e+03 8.578119130390879832e+01 1.214000015258789062e+02
2.003000000000000000e+03 8.819248472471291223e+01 1.010999984741210938e+02
2.004000000000000000e+03 8.024177741594181157e+01 9.769999694824218750e+01
2.005000000000000000e+03 7.950859940449775820e+01 9.609999847412109375e+01
2.006000000000000000e+03 7.730974003669855676e+01 9.869999694824218750e+01
2.007000000000000000e+03 7.194875556062949329e+01 1.023000030517578125e+02
2.008000000000000000e+03 6.813929249007611588e+01 8.169999694824218750e+01
2.009000000000000000e+03 6.586538958943781097e+01 7.890000152587890625e+01
2.010000000000000000e+03 6.119461319915411224e+01 7.169999694824218750e+01
2.011000000000000000e+03 5.996001071353534684e+01 6.959999847412109375e+01
2.012000000000000000e+03 5.869392123874566636e+01 6.600000000000000000e+01
2.013000000000000000e+03 5.583152863749438666e+01 6.690000152587890625e+01
2.014000000000000000e+03 5.422815667759690683e+01 6.359999847412109375e+01
2.015000000000000000e+03 5.248151134326887757e+01 6.270000076293945312e+01
2.016000000000000000e+03 5.233076919423876205e+01 6.240000152587890625e+01
2.017000000000000000e+03 4.976072754975321999e+01 6.120000076293945312e+01
