# year, synthetic, actual
1.970000000000000000e+03 1.075744090509700754e+02 1.140000000000000000e+02
1.971000000000000000e+03 1.085642280614275990e+02 1.028000030517578125e+02
1.972000000000000000e+03 1.127145450085581189e+02 1.110000000000000000e+02
1.973000000000000000e+03 1.151273031629627042e+02 1.151999969482421875e+02
1.974000000000000000e+03 1.183170812988143155e+02 1.185999984741210938e+02
1.975000000000000000e+03 1.224391516800082087e+02 1.234000015258789062e+02
1.976000000000000000e+03 1.291530788256364701e+02 1.276999969482421875e+02
1.977000000000000000e+03 1.286060070318214343e+02 1.279000015258789062e+02
1.978000000000000000e+03 1.276920876223969969e+02 1.270999984741210938e+02
1.979000000000000000e+03 1.269659144147118042e+02 1.264000015258789062e+02
1.980000000000000000e+03 1.279963902082163258e+02 1.270999984741210938e+02
1.981000000000000000e+03 1.305345579066004120e+02 1.320000000000000000e+02
1.982000000000000000e+03 1.291181180272623124e+02 1.308999938964843750e+02
1.983000000000000000e+03 1.270880330299046932e+02 1.275999984741210938e+02
1.984000000000000000e+03 1.176183776907677299e+02 1.216999969482421875e+02
1.985000000000000000e+03 1.155409299801062559e+02 1.156999969482421875e+02
1.986000000000000000e+03 1.120706535878462802e+02 1.094000015258789062e+02
1.987000000000000000e+03 1.065716113935385465e+02 1.051999969482421875e+02
1.988000000000000000e+03 1.006400492694566822e+02 1.031999969482421875e+02
1.989000000000000000e+03 9.958100428658377723e+01 9.650000000000000000e+01
1.990000000000000000e+03 9.553419716421082342e+01 9.430000305175781250e+01
1.991000000000000000e+03 9.760666804071131253e+01 9.180000305175781250e+01
1.992000000000000000e+03 9.211892784859186634e+01 9.000000000000000000e+01
1.993000000000000000e+03 9.232194923909767681e+01 8.990000152587890625e+01
1.994000000000000000e+03 9.218005458522590345e+01 8.909999847412109375e+01
1.995000000000000000e+03 9.173448357812810627e+01 9.009999847412109375e+01
1.996000000000000000e+03 8.913563236884644425e+01 8.869999694824218750e+01
1.997000000000000000e+03 8.695685339557884674e+01 8.919999694824218750e+01
1.998000000000000000e+03 8.667833267108299822e+01 8.759999847412109375e+01
1.999000000000000000e+03 8.380113479227092910e+01 8.330000305175781250e+01
2.000000000000000000e+03 8.071839768933564585e+01 7.980000305175781250e+01
2.001000000000000000e+03 7.942066423865153979e+01 7.809999847412109375e+01
2.002000000000000000e+03 7.842325473218235743e+01 7.750000000000000000e+01
2.003000000000000000e+03 7.102166189283408926e+01 6.070000076293945312e+01
2.004000000000000000e+03 6.727583339223642156e+01 5.629999923706054688e+01
2.005000000000000000e+03 6.380322741169121059e+01 5.490000152587890625e+01
2.006000000000000000e+03 6.488445633911591415e+01 5.540000152587890625e+01
2.007000000000000000e+03 6.300697225814600699e+01 5.309999847412109375e+01
2.008000000000000000e+03 6.051074760882007553e+01 5.170000076293945312e+01
2.009000000000000000e+03 5.856138735989647159e+01 4.909999847412109375e+01
2.010000000000000000e+03 5.585300842200734195e+01 4.520000076293945312e+01
2.011000000000000000e+03 5.525192687374599387e+01 4.120000076293945312e+01
2.012000000000000000e+03 5.531405964659183638e+01 4.300000000000000000e+01
2.013000000000000000e+03 5.324946917506072452e+01 4.100000000000000000e+01
2.014000000000000000e+03 5.259384486655262947e+01 3.950000000000000000e+01
2.015000000000000000e+03 5.138158668007274343e+01 3.929999923706054688e+01
2.016000000000000000e+03 4.968969403358373427e+01 3.640000152587890625e+01
2.017000000000000000e+03 4.456792831713876524e+01 3.450000000000000000e+01
