# year, synthetic, actual
1.970000000000000000e+03 1.222022209348281194e+02 1.243000030517578125e+02
1.971000000000000000e+03 1.221991640623641615e+02 1.214000015258789062e+02
1.972000000000000000e+03 1.188842718613839651e+02 1.179000015258789062e+02
1.973000000000000000e+03 1.184024515326964320e+02 1.211999969482421875e+02
1.974000000000000000e+03 1.202253969619455205e+02 1.243000030517578125e+02
1.975000000000000000e+03 1.191104917322563495e+02 1.260999984741210938e+02
1.976000000000000000e+03 1.217302959307952932e+02 1.169000015258789062e+02
1.977000000000000000e+03 1.239616572001261972e+02 1.189000015258789062e+02
1.978000000000000000e+03 1.243939546269423317e+02 1.205000000000000000e+02
1.979000000000000000e+03 1.230478965341394968e+02 1.181999969482421875e+02
1.980000000000000000e+03 1.235298881207357198e+02 1.205000000000000000e+02
1.981000000000000000e+03 1.232910440140593380e+02 1.231999969482421875e+02
1.982000000000000000e+03 1.215152361770835512e+02 1.223000030517578125e+02
1.983000000000000000e+03 1.190197986132550056e+02 1.198000030517578125e+02
1.984000000000000000e+03 1.162767440546509476e+02 1.160000000000000000e+02
1.985000000000000000e+03 1.152359351770220002e+02 1.171999969482421875e+02
1.986000000000000000e+03 1.134349628873587790e+02 1.158000030517578125e+02
1.987000000000000000e+03 1.123773274787917416e+02 1.138000030517578125e+02
1.988000000000000000e+03 1.091085756152226764e+02 1.116999969482421875e+02
1.989000000000000000e+03 1.040702192479422052e+02 1.044000015258789062e+02
1.990000000000000000e+03 9.576817281374449919e+01 9.940000152587890625e+01
1.991000000000000000e+03 9.127340019186743802e+01 9.350000000000000000e+01
1.992000000000000000e+03 8.952372388974850992e+01 9.050000000000000000e+01
1.993000000000000000e+03 8.700519336804123327e+01 8.409999847412109375e+01
1.994000000000000000e+03 8.568420607609505169e+01 7.700000000000000000e+01
1.995000000000000000e+03 8.704948784752103563e+01 7.690000152587890625e+01
1.996000000000000000e+03 8.506709466261926877e+01 7.459999847412109375e+01
1.997000000000000000e+03 8.433527566713556212e+01 6.669999694824218750e+01
1.998000000000000000e+03 8.481032534960826297e+01 6.359999847412109375e+01
1.999000000000000000e+03 8.463483503780012995e+01 6.040000152587890625e+01
2.000000000000000000e+03 8.270936428197808254e+01 5.829999923706054688e+01
2.001000000000000000e+03 8.079101735395968831e+01 5.479999923706054688e+01
2.002000000000000000e+03 7.915581434896556345e+01 5.550000000000000000e+01
2.003000000000000000e+03 8.244975181661466479e+01 4.750000000000000000e+01
2.004000000000000000e+03 7.506132536746595463e+01 4.359999847412109375e+01
2.005000000000000000e+03 7.270661032924590472e+01 4.270000076293945312e+01
2.006000000000000000e+03 7.408604547225608883e+01 4.409999847412109375e+01
2.007000000000000000e+03 7.381364472641628538e+01 4.300000000000000000e+01
2.008000000000000000e+03 6.175177113633748860e+01 4.309999847412109375e+01
2.009000000000000000e+03 5.855976391121805591e+01 3.459999847412109375e+01
2.010000000000000000e+03 4.935294246407831764e+01 3.370000076293945312e+01
2.011000000000000000e+03 4.471858957813875435e+01 3.420000076293945312e+01
2.012000000000000000e+03 4.248975439596043913e+01 3.350000000000000000e+01
2.013000000000000000e+03 3.959333166793971515e+01 3.220000076293945312e+01
2.014000000000000000e+03 3.756384973031608610e+01 2.710000038146972656e+01
2.015000000000000000e+03 3.661866610960905177e+01 2.589999961853027344e+01
2.016000000000000000e+03 3.563054606544579883e+01 2.560000038146972656e+01
2.017000000000000000e+03 3.534227694851349355e+01 2.429999923706054688e+01
