# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.238554058820233337e+02 1.235000000000000000e+02 5.555569791497651927e-02
1.971000000000000000e+03 1.262489827231742652e+02 1.266999969482421875e+02 5.555554718147196619e-02
1.972000000000000000e+03 1.334794391718070870e+02 1.331999969482421875e+02 5.555569791497651927e-02
1.973000000000000000e+03 1.362574350360845585e+02 1.373000030517578125e+02 5.555569791497651927e-02
1.974000000000000000e+03 1.389530009651810474e+02 1.448000030517578125e+02 5.555569791497651927e-02
1.975000000000000000e+03 1.411438141830352322e+02 1.461000061035156250e+02 5.555557560858893906e-02
1.976000000000000000e+03 1.406884239579547682e+02 1.371000061035156250e+02 5.555555935469886492e-02
1.977000000000000000e+03 1.391562552518205109e+02 1.356999969482421875e+02 5.555569791497651927e-02
1.978000000000000000e+03 1.381380809108731285e+02 1.341000061035156250e+02 5.555554718147196619e-02
1.979000000000000000e+03 1.358462865043143495e+02 1.318999938964843750e+02 5.555566896649519193e-02
1.980000000000000000e+03 1.355432041017410256e+02 1.315000000000000000e+02 5.555569791497651927e-02
1.981000000000000000e+03 1.358045440534105808e+02 1.371000061035156250e+02 5.555563853179290579e-02
1.982000000000000000e+03 1.323623911032309195e+02 1.313000030517578125e+02 5.555564192865886097e-02
1.983000000000000000e+03 1.263047530361664883e+02 1.281999969482421875e+02 5.555566762856955360e-02
1.984000000000000000e+03 1.211182904121551758e+02 1.225000000000000000e+02 5.555565904622427470e-02
1.985000000000000000e+03 1.212873051177250261e+02 1.219000015258789062e+02 5.555554718147196619e-02
1.986000000000000000e+03 1.206120939459041637e+02 1.218000030517578125e+02 5.555569791497651927e-02
1.987000000000000000e+03 1.174306899454617508e+02 1.193000030517578125e+02 5.555569791497651927e-02
