# year, synthetic, actual
1.970000000000000000e+03 1.284536538316411054e+02 1.285000000000000000e+02
1.971000000000000000e+03 1.325035576670389048e+02 1.331999969482421875e+02
1.972000000000000000e+03 1.378345702439317506e+02 1.365000000000000000e+02
1.973000000000000000e+03 1.379569676159696598e+02 1.380000000000000000e+02
1.974000000000000000e+03 1.401124052829496520e+02 1.421000061035156250e+02
1.975000000000000000e+03 1.407450393588506472e+02 1.406999969482421875e+02
1.976000000000000000e+03 1.452930595951271187e+02 1.448999938964843750e+02
1.977000000000000000e+03 1.455030287029182432e+02 1.456000061035156250e+02
1.978000000000000000e+03 1.439119558169714139e+02 1.438999938964843750e+02
1.979000000000000000e+03 1.407373872242760626e+02 1.385000000000000000e+02
1.980000000000000000e+03 1.406741339236916133e+02 1.411999969482421875e+02
1.981000000000000000e+03 1.396437690281960613e+02 1.388999938964843750e+02
1.982000000000000000e+03 1.398893842335149600e+02 1.395000000000000000e+02
1.983000000000000000e+03 1.356239672690284976e+02 1.353999938964843750e+02
1.984000000000000000e+03 1.306080678092442326e+02 1.355000000000000000e+02
1.985000000000000000e+03 1.288440511285065497e+02 1.279000015258789062e+02
1.986000000000000000e+03 1.204029852533134459e+02 1.190000000000000000e+02
1.987000000000000000e+03 1.251451247569087428e+02 1.250000000000000000e+02
1.988000000000000000e+03 1.204059868276742264e+02 1.250000000000000000e+02
1.989000000000000000e+03 1.170409373001004383e+02 1.224000015258789062e+02
1.990000000000000000e+03 1.120005244570030669e+02 1.175000000000000000e+02
1.991000000000000000e+03 1.089406186475394236e+02 1.160999984741210938e+02
1.992000000000000000e+03 1.084744841033691358e+02 1.146999969482421875e+02
1.993000000000000000e+03 1.081365523409435241e+02 1.085000000000000000e+02
1.994000000000000000e+03 1.059998765832307015e+02 1.015999984741210938e+02
1.995000000000000000e+03 1.107404840063348814e+02 1.023000030517578125e+02
1.996000000000000000e+03 1.083713534853522873e+02 1.000000000000000000e+02
1.997000000000000000e+03 1.084077956604581487e+02 1.010999984741210938e+02
1.998000000000000000e+03 1.093437003537494547e+02 9.450000000000000000e+01
1.999000000000000000e+03 1.056289532010726049e+02 8.550000000000000000e+01
2.000000000000000000e+03 1.001878194017624111e+02 8.290000152587890625e+01
2.001000000000000000e+03 9.636808509133616951e+01 8.119999694824218750e+01
2.002000000000000000e+03 9.551309291488790620e+01 7.959999847412109375e+01
2.003000000000000000e+03 9.326013697745889885e+01 7.459999847412109375e+01
2.004000000000000000e+03 9.103051712894739467e+01 7.240000152587890625e+01
2.005000000000000000e+03 8.939535311180566168e+01 7.150000000000000000e+01
2.006000000000000000e+03 8.847523043926634045e+01 6.480000305175781250e+01
2.007000000000000000e+03 8.972630819671176994e+01 5.850000000000000000e+01
2.008000000000000000e+03 7.069731745226125952e+01 5.520000076293945312e+01
2.009000000000000000e+03 7.048200567813327666e+01 5.229999923706054688e+01
2.010000000000000000e+03 6.275112066214858686e+01 5.300000000000000000e+01
2.011000000000000000e+03 6.002677277742712647e+01 5.109999847412109375e+01
2.012000000000000000e+03 5.817877536055242160e+01 4.890000152587890625e+01
2.013000000000000000e+03 5.561760202915173323e+01 4.850000000000000000e+01
2.014000000000000000e+03 5.314545364507100089e+01 4.740000152587890625e+01
2.015000000000000000e+03 5.215018551411510828e+01 4.690000152587890625e+01
2.016000000000000000e+03 5.154427513845794095e+01 4.890000152587890625e+01
2.017000000000000000e+03 5.041111694744288485e+01 4.959999847412109375e+01
