# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.269832767341802366e+02 1.286000061035156250e+02 5.555555555555555247e-02
1.971000000000000000e+03 1.280548598546810695e+02 1.260999984741210938e+02 5.555555555555555247e-02
1.972000000000000000e+03 1.313377751998421274e+02 1.313999938964843750e+02 5.555555555555555247e-02
1.973000000000000000e+03 1.332874316136584412e+02 1.336999969482421875e+02 5.555555555555555247e-02
1.974000000000000000e+03 1.366530110238194879e+02 1.388000030517578125e+02 5.555555555555555247e-02
1.975000000000000000e+03 1.389147804079994444e+02 1.368000030517578125e+02 5.555555555555555247e-02
1.976000000000000000e+03 1.401581988939270786e+02 1.380000000000000000e+02 5.555555555555555247e-02
1.977000000000000000e+03 1.402746746612241679e+02 1.403000030517578125e+02 5.555555555555555247e-02
1.978000000000000000e+03 1.401826898861006327e+02 1.418000030517578125e+02 5.555555555555555247e-02
1.979000000000000000e+03 1.393205100597921557e+02 1.408999938964843750e+02 5.555555555555555247e-02
1.980000000000000000e+03 1.400290166728668169e+02 1.406999969482421875e+02 5.555555555555555247e-02
1.981000000000000000e+03 1.398003921388401238e+02 1.395000000000000000e+02 5.555555555555555247e-02
1.982000000000000000e+03 1.368730563135025591e+02 1.373000030517578125e+02 5.555555555555555247e-02
1.983000000000000000e+03 1.308200537048335832e+02 1.283000030517578125e+02 5.555555555555555247e-02
1.984000000000000000e+03 1.274180817392569338e+02 1.281999969482421875e+02 5.555555555555555247e-02
1.985000000000000000e+03 1.268079256881304673e+02 1.265999984741210938e+02 5.555555555555555247e-02
1.986000000000000000e+03 1.260251651831916320e+02 1.265000000000000000e+02 5.555555555555555247e-02
1.987000000000000000e+03 1.220484505887516349e+02 1.220999984741210938e+02 5.555555555555555247e-02
