# year, synthetic, actual
1.970000000000000000e+03 1.066322275384815725e+02 1.043000030517578125e+02
1.971000000000000000e+03 1.078853230667959195e+02 1.164000015258789062e+02
1.972000000000000000e+03 1.055016944303653190e+02 9.680000305175781250e+01
1.973000000000000000e+03 1.064808451434139442e+02 1.068000030517578125e+02
1.974000000000000000e+03 1.100602533098000748e+02 1.105999984741210938e+02
1.975000000000000000e+03 1.125609735390296038e+02 1.115000000000000000e+02
1.976000000000000000e+03 1.164279201363022764e+02 1.166999969482421875e+02
1.977000000000000000e+03 1.178070433102528227e+02 1.171999969482421875e+02
1.978000000000000000e+03 1.186921552157062933e+02 1.189000015258789062e+02
1.979000000000000000e+03 1.178601842442834453e+02 1.183000030517578125e+02
1.980000000000000000e+03 1.190463462101854759e+02 1.176999969482421875e+02
1.981000000000000000e+03 1.186348430871806983e+02 1.208000030517578125e+02
1.982000000000000000e+03 1.183601851095661175e+02 1.194000015258789062e+02
1.983000000000000000e+03 1.145840448612222673e+02 1.131999969482421875e+02
1.984000000000000000e+03 1.114249629621917279e+02 1.108000030517578125e+02
1.985000000000000000e+03 1.106363555201794497e+02 1.130000000000000000e+02
1.986000000000000000e+03 1.064072643747204978e+02 1.048000030517578125e+02
1.987000000000000000e+03 1.081163562417876420e+02 1.088000030517578125e+02
1.988000000000000000e+03 1.017469779182192582e+02 9.409999847412109375e+01
1.989000000000000000e+03 1.010169750346301782e+02 9.230000305175781250e+01
1.990000000000000000e+03 9.613972379346651564e+01 9.069999694824218750e+01
1.991000000000000000e+03 9.691455168758133709e+01 8.619999694824218750e+01
1.992000000000000000e+03 9.675680978979781344e+01 8.380000305175781250e+01
1.993000000000000000e+03 9.457951619270481558e+01 8.159999847412109375e+01
1.994000000000000000e+03 9.047898091671075349e+01 8.340000152587890625e+01
1.995000000000000000e+03 9.360298917638799310e+01 8.409999847412109375e+01
1.996000000000000000e+03 9.076942885124816485e+01 8.169999694824218750e+01
1.997000000000000000e+03 9.018602637393945542e+01 8.409999847412109375e+01
1.998000000000000000e+03 8.678988395834547021e+01 8.319999694824218750e+01
1.999000000000000000e+03 8.902165283896040648e+01 8.069999694824218750e+01
2.000000000000000000e+03 8.212034668298636575e+01 7.600000000000000000e+01
2.001000000000000000e+03 7.714185599997229303e+01 7.419999694824218750e+01
2.002000000000000000e+03 7.871365945752300775e+01 7.100000000000000000e+01
2.003000000000000000e+03 7.201734055576429228e+01 7.169999694824218750e+01
2.004000000000000000e+03 6.615080734886598179e+01 7.300000000000000000e+01
2.005000000000000000e+03 6.550712528764361764e+01 6.569999694824218750e+01
2.006000000000000000e+03 6.506613340199069739e+01 5.559999847412109375e+01
2.007000000000000000e+03 6.597090848199090374e+01 5.300000000000000000e+01
2.008000000000000000e+03 6.187671032240032787e+01 5.090000152587890625e+01
2.009000000000000000e+03 6.008531354181689466e+01 4.870000076293945312e+01
2.010000000000000000e+03 5.480274933594067477e+01 4.650000000000000000e+01
2.011000000000000000e+03 5.265353824855694853e+01 5.150000000000000000e+01
2.012000000000000000e+03 5.113076010973500729e+01 3.790000152587890625e+01
2.013000000000000000e+03 4.934347926692474573e+01 4.309999847412109375e+01
2.014000000000000000e+03 4.613159659693910442e+01 3.139999961853027344e+01
2.015000000000000000e+03 4.540802957126118855e+01 3.020000076293945312e+01
2.016000000000000000e+03 4.509400034917376132e+01 2.979999923706054688e+01
2.017000000000000000e+03 4.270461405179981540e+01 2.829999923706054688e+01
