# year, synthetic, actual
1.970000000000000000e+03 1.101492524482047202e+02 1.111999969482421875e+02
1.971000000000000000e+03 1.137765855791867722e+02 1.155999984741210938e+02
1.972000000000000000e+03 1.216476938108292813e+02 1.221999969482421875e+02
1.973000000000000000e+03 1.218770892902746255e+02 1.199000015258789062e+02
1.974000000000000000e+03 1.214009897696880387e+02 1.219000015258789062e+02
1.975000000000000000e+03 1.228609126940476841e+02 1.236999969482421875e+02
1.976000000000000000e+03 1.276855321222771948e+02 1.249000015258789062e+02
1.977000000000000000e+03 1.256512416454603454e+02 1.270000000000000000e+02
1.978000000000000000e+03 1.242346262114255069e+02 1.271999969482421875e+02
1.979000000000000000e+03 1.224501932187362030e+02 1.203000030517578125e+02
1.980000000000000000e+03 1.212418643529448588e+02 1.220000000000000000e+02
1.981000000000000000e+03 1.227498892377152657e+02 1.210999984741210938e+02
1.982000000000000000e+03 1.196534259521472592e+02 1.224000015258789062e+02
1.983000000000000000e+03 1.149453167303220624e+02 1.136999969482421875e+02
1.984000000000000000e+03 1.075162959260827193e+02 1.100999984741210938e+02
1.985000000000000000e+03 1.029672948104398102e+02 1.035999984741210938e+02
1.986000000000000000e+03 1.004737457015370694e+02 9.780000305175781250e+01
1.987000000000000000e+03 9.686054975203401796e+01 9.169999694824218750e+01
1.988000000000000000e+03 8.812227941199115833e+01 8.709999847412109375e+01
1.989000000000000000e+03 8.505751507724210114e+01 8.619999694824218750e+01
1.990000000000000000e+03 8.054376316708665229e+01 8.469999694824218750e+01
1.991000000000000000e+03 8.176621601563027752e+01 8.290000152587890625e+01
1.992000000000000000e+03 7.958833626206217104e+01 8.659999847412109375e+01
1.993000000000000000e+03 8.193109367433217471e+01 8.600000000000000000e+01
1.994000000000000000e+03 8.225144519155999490e+01 8.819999694824218750e+01
1.995000000000000000e+03 7.976266149332862199e+01 9.050000000000000000e+01
1.996000000000000000e+03 7.922915149833882253e+01 8.730000305175781250e+01
1.997000000000000000e+03 7.987859290152198355e+01 8.890000152587890625e+01
1.998000000000000000e+03 7.685789754169323373e+01 8.909999847412109375e+01
1.999000000000000000e+03 7.508427950289974717e+01 8.259999847412109375e+01
2.000000000000000000e+03 6.854685333570887451e+01 7.550000000000000000e+01
2.001000000000000000e+03 6.588204918977585578e+01 7.480000305175781250e+01
2.002000000000000000e+03 6.406861653949300717e+01 7.440000152587890625e+01
2.003000000000000000e+03 6.378715338863290896e+01 7.169999694824218750e+01
2.004000000000000000e+03 5.939835256499632266e+01 6.800000000000000000e+01
2.005000000000000000e+03 5.768419703136110144e+01 6.350000000000000000e+01
2.006000000000000000e+03 5.813902302541468003e+01 5.159999847412109375e+01
2.007000000000000000e+03 5.724611360693789663e+01 5.259999847412109375e+01
2.008000000000000000e+03 5.386055099539431268e+01 5.259999847412109375e+01
2.009000000000000000e+03 5.204300237034161114e+01 4.979999923706054688e+01
2.010000000000000000e+03 4.740670090180305607e+01 4.729999923706054688e+01
2.011000000000000000e+03 4.515291378051581006e+01 4.550000000000000000e+01
2.012000000000000000e+03 4.632208355983803472e+01 4.550000000000000000e+01
2.013000000000000000e+03 4.450883179762043085e+01 4.429999923706054688e+01
2.014000000000000000e+03 4.401652998271933370e+01 4.300000000000000000e+01
2.015000000000000000e+03 4.415354224101805869e+01 4.220000076293945312e+01
2.016000000000000000e+03 4.247887641721577978e+01 4.220000076293945312e+01
2.017000000000000000e+03 4.051927167263801977e+01 4.109999847412109375e+01
