# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.914464255259514687e+02 1.723999938964843750e+02 5.555585554294104750e-02
1.971000000000000000e+03 1.953212036091902633e+02 1.876000061035156250e+02 5.555561430385304311e-02
1.972000000000000000e+03 2.063911971857190508e+02 2.141000061035156250e+02 5.555572659500639804e-02
1.973000000000000000e+03 2.111457193578712861e+02 2.265000000000000000e+02 5.555593041358862505e-02
1.974000000000000000e+03 2.144304668300545984e+02 2.273000030517578125e+02 5.555594455452438074e-02
1.975000000000000000e+03 2.170154401296819344e+02 2.260000000000000000e+02 5.555609763196907303e-02
1.976000000000000000e+03 2.189097844562547550e+02 2.301999969482421875e+02 5.555568455811152329e-02
1.977000000000000000e+03 2.101860061250631873e+02 2.170000000000000000e+02 5.555584087315935948e-02
1.978000000000000000e+03 2.055211039185880395e+02 2.055000000000000000e+02 5.555601580591919275e-02
1.979000000000000000e+03 1.990789756841803921e+02 1.973000030517578125e+02 5.555609151553620589e-02
1.980000000000000000e+03 1.946574965573280451e+02 1.878000030517578125e+02 5.555573302322718704e-02
1.981000000000000000e+03 1.893209964034356574e+02 1.793000030517578125e+02 5.555582760650192020e-02
1.982000000000000000e+03 1.843713420358606356e+02 1.790000000000000000e+02 5.555593599838926089e-02
1.983000000000000000e+03 1.775521108593716804e+02 1.696999969482421875e+02 5.555611309403464537e-02
1.984000000000000000e+03 1.565831486975380358e+02 1.606000061035156250e+02 5.555591182687517199e-02
1.985000000000000000e+03 1.613013130091025573e+02 1.563000030517578125e+02 5.555591052963544663e-02
1.986000000000000000e+03 1.573972944712093067e+02 1.543999938964843750e+02 5.555608974573796044e-02
1.987000000000000000e+03 1.587408439210370545e+02 1.505000000000000000e+02 5.555608719066149753e-02
