# year, synthetic, actual
1.970000000000000000e+03 9.669149042466713695e+01 9.380000305175781250e+01
1.971000000000000000e+03 1.011809563563345904e+02 9.850000000000000000e+01
1.972000000000000000e+03 1.067651665410352280e+02 1.038000030517578125e+02
1.973000000000000000e+03 1.081925754261120858e+02 1.086999969482421875e+02
1.974000000000000000e+03 1.131636127679173001e+02 1.105000000000000000e+02
1.975000000000000000e+03 1.171070638781920792e+02 1.179000015258789062e+02
1.976000000000000000e+03 1.220564822911541114e+02 1.254000015258789062e+02
1.977000000000000000e+03 1.227863455772242531e+02 1.221999969482421875e+02
1.978000000000000000e+03 1.233305209567365637e+02 1.219000015258789062e+02
1.979000000000000000e+03 1.221591617646673029e+02 1.213000030517578125e+02
1.980000000000000000e+03 1.197344571311984964e+02 1.236999969482421875e+02
1.981000000000000000e+03 1.229228147900670791e+02 1.256999969482421875e+02
1.982000000000000000e+03 1.233479603836335201e+02 1.268000030517578125e+02
1.983000000000000000e+03 1.170459320950796496e+02 1.195999984741210938e+02
1.984000000000000000e+03 1.080618849636484811e+02 1.094000015258789062e+02
1.985000000000000000e+03 1.054999859493080976e+02 1.031999969482421875e+02
1.986000000000000000e+03 1.022857687178159267e+02 9.980000305175781250e+01
1.987000000000000000e+03 9.759975908059536209e+01 9.230000305175781250e+01
1.988000000000000000e+03 8.606093467187297108e+01 8.709999847412109375e+01
1.989000000000000000e+03 8.461095079193066226e+01 8.409999847412109375e+01
1.990000000000000000e+03 7.828927521903236197e+01 7.709999847412109375e+01
1.991000000000000000e+03 7.889396603764680549e+01 8.519999694824218750e+01
1.992000000000000000e+03 7.843322495185469734e+01 7.440000152587890625e+01
1.993000000000000000e+03 7.835033064526876956e+01 8.300000000000000000e+01
1.994000000000000000e+03 8.797210993985704874e+01 8.100000000000000000e+01
1.995000000000000000e+03 8.899107227481516702e+01 8.059999847412109375e+01
1.996000000000000000e+03 9.007967027788679104e+01 8.080000305175781250e+01
1.997000000000000000e+03 9.080240351237823404e+01 7.750000000000000000e+01
1.998000000000000000e+03 8.549325042350331216e+01 7.909999847412109375e+01
1.999000000000000000e+03 8.503022983130634316e+01 7.469999694824218750e+01
2.000000000000000000e+03 8.140387671262261904e+01 7.250000000000000000e+01
2.001000000000000000e+03 8.040041362489506582e+01 7.009999847412109375e+01
2.002000000000000000e+03 7.758178956815633853e+01 6.850000000000000000e+01
2.003000000000000000e+03 7.826000927012530894e+01 6.569999694824218750e+01
2.004000000000000000e+03 7.260682051122742564e+01 6.569999694824218750e+01
2.005000000000000000e+03 7.211410759152435901e+01 6.600000000000000000e+01
2.006000000000000000e+03 6.634752017719119976e+01 7.369999694824218750e+01
2.007000000000000000e+03 6.520637684343249418e+01 7.590000152587890625e+01
2.008000000000000000e+03 6.439127656143021738e+01 7.400000000000000000e+01
2.009000000000000000e+03 5.891021761761560072e+01 7.290000152587890625e+01
2.010000000000000000e+03 5.370775459081515635e+01 6.930000305175781250e+01
2.011000000000000000e+03 5.239063376457173860e+01 6.900000000000000000e+01
2.012000000000000000e+03 5.204881464895932197e+01 7.450000000000000000e+01
2.013000000000000000e+03 4.915155871644466856e+01 7.250000000000000000e+01
2.014000000000000000e+03 4.658689771122703149e+01 7.580000305175781250e+01
2.015000000000000000e+03 4.588308952352704750e+01 7.580000305175781250e+01
2.016000000000000000e+03 4.439378259855990905e+01 7.019999694824218750e+01
2.017000000000000000e+03 4.362995960508212079e+01 6.519999694824218750e+01
