# predictor, synthetic, actual, weights
1.970000000000000000e+03 9.669149042466713695e+01 9.380000305175781250e+01 5.555555613723748426e-02
1.971000000000000000e+03 1.011809563563345904e+02 9.850000000000000000e+01 5.555555613723748426e-02
1.972000000000000000e+03 1.067651665410352280e+02 1.038000030517578125e+02 5.555555552133897151e-02
1.973000000000000000e+03 1.081925754261120858e+02 1.086999969482421875e+02 5.555555613723748426e-02
1.974000000000000000e+03 1.131636127679173001e+02 1.105000000000000000e+02 5.555555613723748426e-02
1.975000000000000000e+03 1.171070638781920792e+02 1.179000015258789062e+02 5.555555613723748426e-02
1.976000000000000000e+03 1.220564822911541114e+02 1.254000015258789062e+02 5.555555613723748426e-02
1.977000000000000000e+03 1.227863455772242531e+02 1.221999969482421875e+02 5.555555613723748426e-02
1.978000000000000000e+03 1.233305209567365637e+02 1.219000015258789062e+02 5.555555613723748426e-02
1.979000000000000000e+03 1.221591617646673029e+02 1.213000030517578125e+02 5.555555613723748426e-02
1.980000000000000000e+03 1.197344571311984964e+02 1.236999969482421875e+02 5.555555613723748426e-02
1.981000000000000000e+03 1.229228147900670791e+02 1.256999969482421875e+02 5.555555613723748426e-02
1.982000000000000000e+03 1.233479603836335201e+02 1.268000030517578125e+02 5.555555613723748426e-02
1.983000000000000000e+03 1.170459320950796496e+02 1.195999984741210938e+02 5.555555613723748426e-02
1.984000000000000000e+03 1.080618849636484811e+02 1.094000015258789062e+02 5.555555613723748426e-02
1.985000000000000000e+03 1.054999859493080976e+02 1.031999969482421875e+02 5.555555613723748426e-02
1.986000000000000000e+03 1.022857687178159267e+02 9.980000305175781250e+01 5.555555613723748426e-02
1.987000000000000000e+03 9.759975908059536209e+01 9.230000305175781250e+01 5.555555613723748426e-02
