# year, synthetic, actual
1.970000000000000000e+03 1.071338058580633970e+02 1.080999984741210938e+02
1.971000000000000000e+03 1.085822776247195804e+02 1.085999984741210938e+02
1.972000000000000000e+03 1.056107975713016742e+02 1.049000015258789062e+02
1.973000000000000000e+03 1.071711168520520374e+02 1.065999984741210938e+02
1.974000000000000000e+03 1.104923026548971592e+02 1.105000000000000000e+02
1.975000000000000000e+03 1.132555890186851144e+02 1.140999984741210938e+02
1.976000000000000000e+03 1.174824408438246053e+02 1.180999984741210938e+02
1.977000000000000000e+03 1.184063447746727604e+02 1.176999969482421875e+02
1.978000000000000000e+03 1.173552564900005422e+02 1.174000015258789062e+02
1.979000000000000000e+03 1.169953768338696278e+02 1.160999984741210938e+02
1.980000000000000000e+03 1.156565596140900141e+02 1.163000030517578125e+02
1.981000000000000000e+03 1.174745751179506357e+02 1.170000000000000000e+02
1.982000000000000000e+03 1.157824246413429421e+02 1.170999984741210938e+02
1.983000000000000000e+03 1.117382767150420761e+02 1.108000030517578125e+02
1.984000000000000000e+03 1.074442510661310877e+02 1.076999969482421875e+02
1.985000000000000000e+03 1.060967583565409171e+02 1.050999984741210938e+02
1.986000000000000000e+03 1.028444427411897237e+02 1.030999984741210938e+02
1.987000000000000000e+03 1.012040793593202892e+02 1.013000030517578125e+02
1.988000000000000000e+03 9.242718310336985610e+01 9.290000152587890625e+01
1.989000000000000000e+03 9.114663149168610801e+01 9.380000305175781250e+01
1.990000000000000000e+03 8.539097987660184685e+01 8.990000152587890625e+01
1.991000000000000000e+03 8.406213120542484774e+01 9.240000152587890625e+01
1.992000000000000000e+03 8.169696600218273375e+01 9.059999847412109375e+01
1.993000000000000000e+03 7.975899762721037689e+01 9.109999847412109375e+01
1.994000000000000000e+03 7.883917220467645848e+01 8.590000152587890625e+01
1.995000000000000000e+03 7.908858157354640639e+01 8.850000000000000000e+01
1.996000000000000000e+03 7.744334774419839107e+01 8.619999694824218750e+01
1.997000000000000000e+03 7.733463265525179509e+01 8.550000000000000000e+01
1.998000000000000000e+03 7.385439756917168097e+01 7.969999694824218750e+01
1.999000000000000000e+03 7.183227267438499553e+01 8.680000305175781250e+01
2.000000000000000000e+03 6.810832675980573470e+01 7.759999847412109375e+01
2.001000000000000000e+03 6.616015509755169433e+01 6.980000305175781250e+01
2.002000000000000000e+03 6.457503552000832769e+01 7.730000305175781250e+01
2.003000000000000000e+03 6.185241562313147767e+01 6.840000152587890625e+01
2.004000000000000000e+03 5.495772547172217770e+01 6.179999923706054688e+01
2.005000000000000000e+03 5.348418436740785609e+01 6.100000000000000000e+01
2.006000000000000000e+03 5.258814057800321962e+01 5.950000000000000000e+01
2.007000000000000000e+03 5.182522343208655258e+01 6.009999847412109375e+01
2.008000000000000000e+03 4.901087814518045604e+01 6.320000076293945312e+01
2.009000000000000000e+03 4.684889669077575292e+01 5.979999923706054688e+01
2.010000000000000000e+03 4.293364149882576442e+01 5.500000000000000000e+01
2.011000000000000000e+03 4.115537827984518060e+01 5.350000000000000000e+01
2.012000000000000000e+03 3.778241219741687473e+01 5.250000000000000000e+01
2.013000000000000000e+03 3.704144592742746767e+01 5.120000076293945312e+01
2.014000000000000000e+03 3.419385021975221406e+01 4.729999923706054688e+01
2.015000000000000000e+03 3.354475480119634767e+01 4.659999847412109375e+01
2.016000000000000000e+03 3.226787443140694478e+01 4.629999923706054688e+01
2.017000000000000000e+03 3.058199367169866179e+01 4.340000152587890625e+01
