# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.071338058580633970e+02 1.080999984741210938e+02 5.555555555555555247e-02
1.971000000000000000e+03 1.085822776247195804e+02 1.085999984741210938e+02 5.555555555555555247e-02
1.972000000000000000e+03 1.056107975713016742e+02 1.049000015258789062e+02 5.555555555555555247e-02
1.973000000000000000e+03 1.071711168520520374e+02 1.065999984741210938e+02 5.555555555555555247e-02
1.974000000000000000e+03 1.104923026548971592e+02 1.105000000000000000e+02 5.555555555555555247e-02
1.975000000000000000e+03 1.132555890186851144e+02 1.140999984741210938e+02 5.555555555555555247e-02
1.976000000000000000e+03 1.174824408438246053e+02 1.180999984741210938e+02 5.555555555555555247e-02
1.977000000000000000e+03 1.184063447746727604e+02 1.176999969482421875e+02 5.555555555555555247e-02
1.978000000000000000e+03 1.173552564900005422e+02 1.174000015258789062e+02 5.555555555555555247e-02
1.979000000000000000e+03 1.169953768338696278e+02 1.160999984741210938e+02 5.555555555555555247e-02
1.980000000000000000e+03 1.156565596140900141e+02 1.163000030517578125e+02 5.555555555555555247e-02
1.981000000000000000e+03 1.174745751179506357e+02 1.170000000000000000e+02 5.555555555555555247e-02
1.982000000000000000e+03 1.157824246413429421e+02 1.170999984741210938e+02 5.555555555555555247e-02
1.983000000000000000e+03 1.117382767150420761e+02 1.108000030517578125e+02 5.555555555555555247e-02
1.984000000000000000e+03 1.074442510661310877e+02 1.076999969482421875e+02 5.555555555555555247e-02
1.985000000000000000e+03 1.060967583565409171e+02 1.050999984741210938e+02 5.555555555555555247e-02
1.986000000000000000e+03 1.028444427411897237e+02 1.030999984741210938e+02 5.555555555555555247e-02
1.987000000000000000e+03 1.012040793593202892e+02 1.013000030517578125e+02 5.555555555555555247e-02
