# year, synthetic, actual
1.970000000000000000e+03 9.011312429933998658e+01 9.000000000000000000e+01
1.971000000000000000e+03 9.224827133083010722e+01 9.259999847412109375e+01
1.972000000000000000e+03 9.823378783167032680e+01 9.930000305175781250e+01
1.973000000000000000e+03 9.947653821781365480e+01 9.890000152587890625e+01
1.974000000000000000e+03 1.011217494768099954e+02 1.003000030517578125e+02
1.975000000000000000e+03 1.010587048539364758e+02 1.030999984741210938e+02
1.976000000000000000e+03 1.033655057543215321e+02 1.024000015258789062e+02
1.977000000000000000e+03 1.035621492647116924e+02 1.024000015258789062e+02
1.978000000000000000e+03 1.033465413275141458e+02 1.030999984741210938e+02
1.979000000000000000e+03 1.027247987266576246e+02 1.010000000000000000e+02
1.980000000000000000e+03 1.004597550862468012e+02 1.026999969482421875e+02
1.981000000000000000e+03 1.024533752640952429e+02 1.030000000000000000e+02
1.982000000000000000e+03 9.899282509331392532e+01 9.750000000000000000e+01
1.983000000000000000e+03 9.456663919865162882e+01 9.630000305175781250e+01
1.984000000000000000e+03 9.045299955234388278e+01 8.890000152587890625e+01
1.985000000000000000e+03 8.825393142104944388e+01 8.800000000000000000e+01
1.986000000000000000e+03 8.581009300410195806e+01 8.819999694824218750e+01
1.987000000000000000e+03 8.442192194327842003e+01 8.230000305175781250e+01
1.988000000000000000e+03 7.484654143203012211e+01 7.769999694824218750e+01
1.989000000000000000e+03 7.320266715607259300e+01 7.440000152587890625e+01
1.990000000000000000e+03 7.063407273134488662e+01 7.080000305175781250e+01
1.991000000000000000e+03 7.067997610232573891e+01 6.990000152587890625e+01
1.992000000000000000e+03 7.080996936252981300e+01 7.140000152587890625e+01
1.993000000000000000e+03 7.160407908831285795e+01 6.900000000000000000e+01
1.994000000000000000e+03 7.156631602506014644e+01 6.819999694824218750e+01
1.995000000000000000e+03 6.714758369683526951e+01 6.700000000000000000e+01
1.996000000000000000e+03 6.695239022685616703e+01 6.569999694824218750e+01
1.997000000000000000e+03 6.818094467936298031e+01 6.179999923706054688e+01
1.998000000000000000e+03 6.089438738817154473e+01 6.259999847412109375e+01
1.999000000000000000e+03 6.011054626178071203e+01 5.970000076293945312e+01
2.000000000000000000e+03 5.587592069118306881e+01 5.379999923706054688e+01
2.001000000000000000e+03 5.360606676176472973e+01 5.370000076293945312e+01
2.002000000000000000e+03 5.294957126625820365e+01 5.220000076293945312e+01
2.003000000000000000e+03 4.950039366363573379e+01 5.350000000000000000e+01
2.004000000000000000e+03 4.722715664150278059e+01 3.540000152587890625e+01
2.005000000000000000e+03 4.523320095726380430e+01 3.550000000000000000e+01
2.006000000000000000e+03 4.431134747249848260e+01 3.540000152587890625e+01
2.007000000000000000e+03 4.245134041772436007e+01 3.459999847412109375e+01
2.008000000000000000e+03 4.009237027868242365e+01 3.400000000000000000e+01
2.009000000000000000e+03 3.699738304656290921e+01 3.270000076293945312e+01
2.010000000000000000e+03 3.439240860154376378e+01 3.029999923706054688e+01
2.011000000000000000e+03 3.181181876133609876e+01 2.729999923706054688e+01
2.012000000000000000e+03 3.192132042630687394e+01 2.670000076293945312e+01
2.013000000000000000e+03 2.977416829369205686e+01 2.639999961853027344e+01
2.014000000000000000e+03 2.817400258716262584e+01 2.460000038146972656e+01
2.015000000000000000e+03 2.831705527503099518e+01 2.579999923706054688e+01
2.016000000000000000e+03 2.725392939056542829e+01 2.460000038146972656e+01
2.017000000000000000e+03 2.657320074804846399e+01 2.400000000000000000e+01
