# predictor, synthetic, actual, weights
1.970000000000000000e+03 9.011312429933998658e+01 9.000000000000000000e+01 5.555553812544175574e-02
1.971000000000000000e+03 9.224827133083010722e+01 9.259999847412109375e+01 5.555552714459596059e-02
1.972000000000000000e+03 9.823378783167032680e+01 9.930000305175781250e+01 5.555570910647152083e-02
1.973000000000000000e+03 9.947653821781365480e+01 9.890000152587890625e+01 5.555552714459596059e-02
1.974000000000000000e+03 1.011217494768099954e+02 1.003000030517578125e+02 5.555552714459596059e-02
1.975000000000000000e+03 1.010587048539364758e+02 1.030999984741210938e+02 5.555585328717516785e-02
1.976000000000000000e+03 1.033655057543215321e+02 1.024000015258789062e+02 5.555552714459596059e-02
1.977000000000000000e+03 1.035621492647116924e+02 1.024000015258789062e+02 5.555552714459596059e-02
1.978000000000000000e+03 1.033465413275141458e+02 1.030999984741210938e+02 5.555557340027408170e-02
1.979000000000000000e+03 1.027247987266576246e+02 1.010000000000000000e+02 5.555552714459596059e-02
1.980000000000000000e+03 1.004597550862468012e+02 1.026999969482421875e+02 5.555568385918715352e-02
1.981000000000000000e+03 1.024533752640952429e+02 1.030000000000000000e+02 5.555554866025369520e-02
1.982000000000000000e+03 9.899282509331392532e+01 9.750000000000000000e+01 5.555552714459596059e-02
1.983000000000000000e+03 9.456663919865162882e+01 9.630000305175781250e+01 5.555552714459596059e-02
1.984000000000000000e+03 9.045299955234388278e+01 8.890000152587890625e+01 5.555580133077046151e-02
1.985000000000000000e+03 8.825393142104944388e+01 8.800000000000000000e+01 5.555593294106557500e-02
1.986000000000000000e+03 8.581009300410195806e+01 8.819999694824218750e+01 5.555603854186858676e-02
1.987000000000000000e+03 8.442192194327842003e+01 8.230000305175781250e+01 5.555552714459596059e-02
