# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.756265182301785615e+02 1.895000000000000000e+02 5.555567797064423635e-02
1.971000000000000000e+03 1.857014003529268962e+02 1.905000000000000000e+02 5.555567877432981277e-02
1.972000000000000000e+03 2.019372425115166436e+02 1.986000061035156250e+02 5.555567871123807955e-02
1.973000000000000000e+03 1.994869536069405740e+02 2.015000000000000000e+02 5.555555941313167906e-02
1.974000000000000000e+03 1.970604421873812555e+02 2.046999969482421875e+02 5.555567607145125986e-02
1.975000000000000000e+03 1.964545921503732586e+02 2.051999969482421875e+02 5.555567580826711177e-02
1.976000000000000000e+03 2.066696401682058593e+02 2.013999938964843750e+02 5.555565902019178603e-02
1.977000000000000000e+03 1.984219464750768793e+02 1.908000030517578125e+02 5.555565763452335881e-02
1.978000000000000000e+03 1.915684159180068491e+02 1.870000000000000000e+02 5.555567807885570392e-02
1.979000000000000000e+03 1.831051795057358902e+02 1.833000030517578125e+02 5.555566917320459153e-02
1.980000000000000000e+03 1.762516646171505101e+02 1.776999969482421875e+02 5.555555799910809334e-02
1.981000000000000000e+03 1.735927960939332308e+02 1.718999938964843750e+02 5.555567792251028814e-02
1.982000000000000000e+03 1.701011034669933224e+02 1.651000061035156250e+02 5.555567947456061667e-02
1.983000000000000000e+03 1.631774737728335083e+02 1.591999969482421875e+02 5.555567164161164667e-02
1.984000000000000000e+03 1.526781839416003663e+02 1.366000061035156250e+02 5.555567166523409789e-02
1.985000000000000000e+03 1.460066852992131885e+02 1.466999969482421875e+02 5.555567965476548853e-02
1.986000000000000000e+03 1.427670272259579747e+02 1.426000061035156250e+02 5.555567912921182544e-02
1.987000000000000000e+03 1.422841213816528807e+02 1.476999969482421875e+02 5.555567633906510067e-02
