# year, synthetic, actual
1.970000000000000000e+03 1.186243454923605469e+02 1.190000000000000000e+02
1.971000000000000000e+03 1.214040164387197080e+02 1.233000030517578125e+02
1.972000000000000000e+03 1.198514379295582160e+02 1.199000015258789062e+02
1.973000000000000000e+03 1.204426910419082475e+02 1.186999969482421875e+02
1.974000000000000000e+03 1.216263986915536464e+02 1.215999984741210938e+02
1.975000000000000000e+03 1.218013498998751487e+02 1.239000015258789062e+02
1.976000000000000000e+03 1.256413762541942276e+02 1.245999984741210938e+02
1.977000000000000000e+03 1.270013516194002960e+02 1.255000000000000000e+02
1.978000000000000000e+03 1.274546545798866362e+02 1.264000015258789062e+02
1.979000000000000000e+03 1.264133286311433437e+02 1.244000015258789062e+02
1.980000000000000000e+03 1.273669291619196287e+02 1.275999984741210938e+02
1.981000000000000000e+03 1.280304071835110165e+02 1.301000061035156250e+02
1.982000000000000000e+03 1.277785341388235878e+02 1.285000000000000000e+02
1.983000000000000000e+03 1.235480847596857927e+02 1.245999984741210938e+02
1.984000000000000000e+03 1.189058986408336693e+02 1.193000030517578125e+02
1.985000000000000000e+03 1.166426160450510423e+02 1.159000015258789062e+02
1.986000000000000000e+03 1.136499837313893693e+02 1.140000000000000000e+02
1.987000000000000000e+03 1.102263215681563793e+02 1.089000015258789062e+02
1.988000000000000000e+03 1.029789180063614680e+02 1.061999969482421875e+02
1.989000000000000000e+03 9.998103465081351260e+01 1.000999984741210938e+02
1.990000000000000000e+03 9.557258939325345182e+01 9.369999694824218750e+01
1.991000000000000000e+03 9.256018356315051676e+01 8.640000152587890625e+01
1.992000000000000000e+03 9.121310767877623960e+01 8.240000152587890625e+01
1.993000000000000000e+03 9.028419430435799597e+01 7.819999694824218750e+01
1.994000000000000000e+03 8.997398321100440910e+01 7.159999847412109375e+01
1.995000000000000000e+03 9.005681703760990331e+01 7.050000000000000000e+01
1.996000000000000000e+03 8.778811477888419290e+01 6.590000152587890625e+01
1.997000000000000000e+03 8.710649166800169496e+01 6.450000000000000000e+01
1.998000000000000000e+03 8.724089992461311738e+01 6.490000152587890625e+01
1.999000000000000000e+03 8.468664328993189372e+01 6.290000152587890625e+01
2.000000000000000000e+03 8.143669259664534366e+01 5.779999923706054688e+01
2.001000000000000000e+03 7.916113556339490742e+01 4.800000000000000000e+01
2.002000000000000000e+03 7.654124033633156898e+01 4.650000000000000000e+01
2.003000000000000000e+03 7.682142688314459633e+01 3.529999923706054688e+01
2.004000000000000000e+03 7.273024808683898357e+01 3.370000076293945312e+01
2.005000000000000000e+03 7.092599859929757145e+01 3.240000152587890625e+01
2.006000000000000000e+03 6.521347932864614449e+01 3.240000152587890625e+01
2.007000000000000000e+03 6.349068815813667754e+01 3.229999923706054688e+01
2.008000000000000000e+03 5.681805524482653880e+01 3.150000000000000000e+01
2.009000000000000000e+03 5.404301999810345336e+01 2.479999923706054688e+01
2.010000000000000000e+03 4.862173309355183193e+01 2.410000038146972656e+01
2.011000000000000000e+03 4.703506811499062223e+01 1.829999923706054688e+01
2.012000000000000000e+03 4.422176179307042077e+01 1.800000000000000000e+01
2.013000000000000000e+03 4.297562799275652168e+01 1.660000038146972656e+01
2.014000000000000000e+03 3.992894048529299766e+01 1.539999961853027344e+01
2.015000000000000000e+03 3.912188453561113732e+01 1.460000038146972656e+01
2.016000000000000000e+03 3.835808908694089325e+01 1.400000000000000000e+01
2.017000000000000000e+03 3.750996031292721256e+01 1.330000019073486328e+01
