# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.186243454923605469e+02 1.190000000000000000e+02 5.555595954365411676e-02
1.971000000000000000e+03 1.214040164387197080e+02 1.233000030517578125e+02 5.555545300459784064e-02
1.972000000000000000e+03 1.198514379295582160e+02 1.199000015258789062e+02 5.555558702521586067e-02
1.973000000000000000e+03 1.204426910419082475e+02 1.186999969482421875e+02 5.555566256850054396e-02
1.974000000000000000e+03 1.216263986915536464e+02 1.215999984741210938e+02 5.555595095892858215e-02
1.975000000000000000e+03 1.218013498998751487e+02 1.239000015258789062e+02 5.555596487963890273e-02
1.976000000000000000e+03 1.256413762541942276e+02 1.245999984741210938e+02 5.555547876452442135e-02
1.977000000000000000e+03 1.270013516194002960e+02 1.255000000000000000e+02 5.555556170228803659e-02
1.978000000000000000e+03 1.274546545798866362e+02 1.264000015258789062e+02 5.555578765364403010e-02
1.979000000000000000e+03 1.264133286311433437e+02 1.244000015258789062e+02 5.555546911605192123e-02
1.980000000000000000e+03 1.273669291619196287e+02 1.275999984741210938e+02 5.555533166844366794e-02
1.981000000000000000e+03 1.280304071835110165e+02 1.301000061035156250e+02 5.555573988853017287e-02
1.982000000000000000e+03 1.277785341388235878e+02 1.285000000000000000e+02 5.555609898650667317e-02
1.983000000000000000e+03 1.235480847596857927e+02 1.245999984741210938e+02 5.555561695388055304e-02
1.984000000000000000e+03 1.189058986408336693e+02 1.193000030517578125e+02 5.555568021520024963e-02
1.985000000000000000e+03 1.166426160450510423e+02 1.159000015258789062e+02 5.555544397137358870e-02
1.986000000000000000e+03 1.136499837313893693e+02 1.140000000000000000e+02 5.555552660438806828e-02
1.987000000000000000e+03 1.102263215681563793e+02 1.089000015258789062e+02 5.555599417005542551e-02
