# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.214251974590997207e+02 1.215999984741210938e+02 5.555555555555555247e-02
1.971000000000000000e+03 1.242936093472706034e+02 1.245999984741210938e+02 5.555555555555555247e-02
1.972000000000000000e+03 1.211859444290745387e+02 1.244000015258789062e+02 5.555555555555555247e-02
1.973000000000000000e+03 1.219138380551707286e+02 1.205000000000000000e+02 5.555555555555555247e-02
1.974000000000000000e+03 1.227834487803458927e+02 1.220999984741210938e+02 5.555555555555555247e-02
1.975000000000000000e+03 1.230594245875074506e+02 1.225000000000000000e+02 5.555555555555555247e-02
1.976000000000000000e+03 1.272978374061728601e+02 1.245999984741210938e+02 5.555555555555555247e-02
1.977000000000000000e+03 1.299365744720543319e+02 1.273000030517578125e+02 5.555555555555555247e-02
1.978000000000000000e+03 1.325366643861843556e+02 1.313000030517578125e+02 5.555555555555555247e-02
1.979000000000000000e+03 1.307569933194185694e+02 1.308999938964843750e+02 5.555555555555555247e-02
1.980000000000000000e+03 1.331905546359764685e+02 1.335000000000000000e+02 5.555555555555555247e-02
1.981000000000000000e+03 1.320402936284563395e+02 1.328000030517578125e+02 5.555555555555555247e-02
1.982000000000000000e+03 1.315414262185467749e+02 1.340000000000000000e+02 5.555555555555555247e-02
1.983000000000000000e+03 1.301612532569628229e+02 1.300000000000000000e+02 5.555555555555555247e-02
1.984000000000000000e+03 1.261364189558284608e+02 1.270999984741210938e+02 5.555555555555555247e-02
1.985000000000000000e+03 1.270655879555036734e+02 1.266999969482421875e+02 5.555555555555555247e-02
1.986000000000000000e+03 1.252919174701100644e+02 1.263000030517578125e+02 5.555555555555555247e-02
1.987000000000000000e+03 1.243162338242232181e+02 1.245999984741210938e+02 5.555555555555555247e-02
