# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.113165150166910280e+02 1.084000015258789062e+02 5.555558666057230227e-02
1.971000000000000000e+03 1.152158517258256438e+02 1.154000015258789062e+02 5.555558666057230227e-02
1.972000000000000000e+03 1.196837869166408552e+02 1.216999969482421875e+02 5.555556772874992166e-02
1.973000000000000000e+03 1.254377764333186320e+02 1.240999984741210938e+02 5.555556944150780163e-02
1.974000000000000000e+03 1.301266285724802572e+02 1.305000000000000000e+02 5.555555372584868729e-02
1.975000000000000000e+03 1.344435181307944731e+02 1.328999938964843750e+02 5.555555372584868729e-02
1.976000000000000000e+03 1.412417775138258378e+02 1.386000061035156250e+02 5.555557374675722943e-02
1.977000000000000000e+03 1.417402810929501129e+02 1.403999938964843750e+02 5.555555372584868729e-02
1.978000000000000000e+03 1.419260717851865365e+02 1.436000061035156250e+02 5.555555372584868729e-02
1.979000000000000000e+03 1.402060342390570327e+02 1.416000061035156250e+02 5.555555591027592360e-02
1.980000000000000000e+03 1.426699553847870447e+02 1.416000061035156250e+02 5.555557222439418130e-02
1.981000000000000000e+03 1.420618219613411384e+02 1.436999969482421875e+02 5.555558191255682843e-02
1.982000000000000000e+03 1.435734039807242652e+02 1.470000000000000000e+02 5.555555372584868729e-02
1.983000000000000000e+03 1.373864586474477107e+02 1.400000000000000000e+02 5.555555372584868729e-02
1.984000000000000000e+03 1.269222857755944744e+02 1.281000061035156250e+02 5.555558666057230227e-02
1.985000000000000000e+03 1.248641177775483584e+02 1.241999969482421875e+02 5.555555372584868729e-02
1.986000000000000000e+03 1.207824549287076508e+02 1.199000015258789062e+02 5.555556741315690467e-02
1.987000000000000000e+03 1.146001930769688926e+02 1.130999984741210938e+02 5.555555804016604898e-02
