# year, synthetic, actual
1.970000000000000000e+03 1.070211880200046579e+02 1.073000030517578125e+02
1.971000000000000000e+03 1.068258912326117809e+02 1.063000030517578125e+02
1.972000000000000000e+03 1.088088544266548467e+02 1.090000000000000000e+02
1.973000000000000000e+03 1.103659508414125980e+02 1.106999969482421875e+02
1.974000000000000000e+03 1.129441887654205914e+02 1.141999969482421875e+02
1.975000000000000000e+03 1.156664321956943837e+02 1.145999984741210938e+02
1.976000000000000000e+03 1.189656647911147758e+02 1.188000030517578125e+02
1.977000000000000000e+03 1.210888510183039983e+02 1.200999984741210938e+02
1.978000000000000000e+03 1.231755305020245146e+02 1.223000030517578125e+02
1.979000000000000000e+03 1.224535790547564744e+02 1.225999984741210938e+02
1.980000000000000000e+03 1.251311507892665276e+02 1.240000000000000000e+02
1.981000000000000000e+03 1.249401771146898312e+02 1.251999969482421875e+02
1.982000000000000000e+03 1.238271541602780417e+02 1.233000030517578125e+02
1.983000000000000000e+03 1.219067546635123307e+02 1.253000030517578125e+02
1.984000000000000000e+03 1.166287872224840214e+02 1.153000030517578125e+02
1.985000000000000000e+03 1.157899681561965082e+02 1.158000030517578125e+02
1.986000000000000000e+03 1.136508216360039683e+02 1.139000015258789062e+02
1.987000000000000000e+03 1.103450737492227347e+02 1.105999984741210938e+02
1.988000000000000000e+03 1.069932548469539171e+02 1.075999984741210938e+02
1.989000000000000000e+03 1.029660581961021535e+02 1.070999984741210938e+02
1.990000000000000000e+03 9.814133765480474381e+01 1.013000030517578125e+02
1.991000000000000000e+03 9.686444346685723872e+01 1.025000000000000000e+02
1.992000000000000000e+03 9.844103138438768497e+01 9.619999694824218750e+01
1.993000000000000000e+03 9.448564969822940895e+01 9.469999694824218750e+01
1.994000000000000000e+03 9.222496669601261488e+01 9.540000152587890625e+01
1.995000000000000000e+03 9.343206877171081715e+01 9.540000152587890625e+01
1.996000000000000000e+03 9.145077119055478931e+01 9.330000305175781250e+01
1.997000000000000000e+03 9.027863576415664681e+01 9.290000152587890625e+01
1.998000000000000000e+03 9.000937137209923833e+01 9.209999847412109375e+01
1.999000000000000000e+03 8.617609253574686079e+01 9.109999847412109375e+01
2.000000000000000000e+03 8.224269662222791055e+01 8.790000152587890625e+01
2.001000000000000000e+03 8.121422103721646124e+01 8.680000305175781250e+01
2.002000000000000000e+03 7.578572494374699886e+01 8.690000152587890625e+01
2.003000000000000000e+03 7.224702258769769969e+01 7.469999694824218750e+01
2.004000000000000000e+03 6.367342685640146271e+01 6.890000152587890625e+01
2.005000000000000000e+03 6.408065375427757715e+01 6.279999923706054688e+01
2.006000000000000000e+03 6.176422991387934758e+01 6.240000152587890625e+01
2.007000000000000000e+03 5.948346067617659116e+01 6.079999923706054688e+01
2.008000000000000000e+03 5.664168358577540374e+01 6.140000152587890625e+01
2.009000000000000000e+03 5.409175116874213529e+01 5.920000076293945312e+01
2.010000000000000000e+03 4.900946464019470028e+01 5.700000000000000000e+01
2.011000000000000000e+03 4.645867114468180858e+01 5.640000152587890625e+01
2.012000000000000000e+03 4.584011211970604904e+01 5.500000000000000000e+01
2.013000000000000000e+03 4.404453685602933888e+01 5.279999923706054688e+01
2.014000000000000000e+03 4.198791927734837515e+01 5.079999923706054688e+01
2.015000000000000000e+03 4.170304353880731441e+01 4.850000000000000000e+01
2.016000000000000000e+03 4.064338187662712443e+01 4.820000076293945312e+01
2.017000000000000000e+03 3.922436822595790318e+01 4.050000000000000000e+01
