# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.239417093296545573e+02 1.239000015258789062e+02 5.555554993679009956e-02
1.971000000000000000e+03 1.263041695919211804e+02 1.231999969482421875e+02 5.555551961664948607e-02
1.972000000000000000e+03 1.341899399744141590e+02 1.343999938964843750e+02 5.555551961664948607e-02
1.973000000000000000e+03 1.410353809621211099e+02 1.420000000000000000e+02 5.555567220193540628e-02
1.974000000000000000e+03 1.450241578060739016e+02 1.461000061035156250e+02 5.555566060220004654e-02
1.975000000000000000e+03 1.481908311080475755e+02 1.546999969482421875e+02 5.555551961664948607e-02
1.976000000000000000e+03 1.520752956824885871e+02 1.501999969482421875e+02 5.555564765476996014e-02
1.977000000000000000e+03 1.521676702708093671e+02 1.488000030517578125e+02 5.555551961664948607e-02
1.978000000000000000e+03 1.499901568747139038e+02 1.468000030517578125e+02 5.555567076966502760e-02
1.979000000000000000e+03 1.481426687969806437e+02 1.458000030517578125e+02 5.555551961664948607e-02
1.980000000000000000e+03 1.483428053099261774e+02 1.493000030517578125e+02 5.555565080061671684e-02
1.981000000000000000e+03 1.477359650603770831e+02 1.511999969482421875e+02 5.555551961664948607e-02
1.982000000000000000e+03 1.463797758100721182e+02 1.463000030517578125e+02 5.555563376229882833e-02
1.983000000000000000e+03 1.404448881710143269e+02 1.358000030517578125e+02 5.555563966788607672e-02
1.984000000000000000e+03 1.338638116849521680e+02 1.368999938964843750e+02 5.555564768051037688e-02
1.985000000000000000e+03 1.327931967293704361e+02 1.333999938964843750e+02 5.555563446464450994e-02
1.986000000000000000e+03 1.310318083537210327e+02 1.363000030517578125e+02 5.555551961664948607e-02
1.987000000000000000e+03 1.275352347049263244e+02 1.244000015258789062e+02 5.555551961664948607e-02
