# year, synthetic, actual
1.970000000000000000e+03 1.068637055216928644e+02 1.035999984741210938e+02
1.971000000000000000e+03 1.141041659374002535e+02 1.150000000000000000e+02
1.972000000000000000e+03 1.193479528935238108e+02 1.186999969482421875e+02
1.973000000000000000e+03 1.251996052125295478e+02 1.255000000000000000e+02
1.974000000000000000e+03 1.293096480521468834e+02 1.296999969482421875e+02
1.975000000000000000e+03 1.313629439842781892e+02 1.305000000000000000e+02
1.976000000000000000e+03 1.355494624082354278e+02 1.368000030517578125e+02
1.977000000000000000e+03 1.368852288526562120e+02 1.371999969482421875e+02
1.978000000000000000e+03 1.384943997550775237e+02 1.403999938964843750e+02
1.979000000000000000e+03 1.366448976475930408e+02 1.356999969482421875e+02
1.980000000000000000e+03 1.388434627555422196e+02 1.383000030517578125e+02
1.981000000000000000e+03 1.366076436583099678e+02 1.361000061035156250e+02
1.982000000000000000e+03 1.362414228310003637e+02 1.360000000000000000e+02
1.983000000000000000e+03 1.325058223280778975e+02 1.311000061035156250e+02
1.984000000000000000e+03 1.263404174369034649e+02 1.270000000000000000e+02
1.985000000000000000e+03 1.271524295239850062e+02 1.254000015258789062e+02
1.986000000000000000e+03 1.255082294265082794e+02 1.265999984741210938e+02
1.987000000000000000e+03 1.238069734168429932e+02 1.265999984741210938e+02
1.988000000000000000e+03 1.207227017252209862e+02 1.244000015258789062e+02
1.989000000000000000e+03 1.178239587793433856e+02 1.224000015258789062e+02
1.990000000000000000e+03 1.156334219133457992e+02 1.185999984741210938e+02
1.991000000000000000e+03 1.139257224380337874e+02 1.215000000000000000e+02
1.992000000000000000e+03 1.141085307599651912e+02 1.129000015258789062e+02
1.993000000000000000e+03 1.131331361009565768e+02 1.151999969482421875e+02
1.994000000000000000e+03 1.125579194659047317e+02 1.121999969482421875e+02
1.995000000000000000e+03 1.117045654152711620e+02 1.091999969482421875e+02
1.996000000000000000e+03 1.126409906836463222e+02 1.029000015258789062e+02
1.997000000000000000e+03 1.130749461413213055e+02 1.245000000000000000e+02
1.998000000000000000e+03 1.094812459146030790e+02 1.269000015258789062e+02
1.999000000000000000e+03 1.060632768016382528e+02 1.094000015258789062e+02
2.000000000000000000e+03 9.873682016582634446e+01 1.039000015258789062e+02
2.001000000000000000e+03 9.650648585707564564e+01 9.659999847412109375e+01
2.002000000000000000e+03 9.027873398664198135e+01 9.750000000000000000e+01
2.003000000000000000e+03 9.681544984666975040e+01 9.569999694824218750e+01
2.004000000000000000e+03 8.943851611281129976e+01 9.219999694824218750e+01
2.005000000000000000e+03 9.162918173537156008e+01 9.400000000000000000e+01
2.006000000000000000e+03 8.619888289584906715e+01 9.640000152587890625e+01
2.007000000000000000e+03 8.330256250654313988e+01 9.119999694824218750e+01
2.008000000000000000e+03 8.233542658748297072e+01 8.909999847412109375e+01
2.009000000000000000e+03 7.714748349657948268e+01 8.500000000000000000e+01
2.010000000000000000e+03 6.687356232620270191e+01 8.450000000000000000e+01
2.011000000000000000e+03 6.407491973702232713e+01 6.990000152587890625e+01
2.012000000000000000e+03 6.264044480241531687e+01 6.190000152587890625e+01
2.013000000000000000e+03 5.927605142990905307e+01 6.200000000000000000e+01
2.014000000000000000e+03 5.687096917230387305e+01 5.890000152587890625e+01
2.015000000000000000e+03 5.599196114011653691e+01 5.609999847412109375e+01
2.016000000000000000e+03 5.531080528296870114e+01 5.729999923706054688e+01
2.017000000000000000e+03 5.430843292573388936e+01 5.550000000000000000e+01
