# year, synthetic, actual
1.970000000000000000e+03 9.363439771013236168e+01 9.269999694824218750e+01
1.971000000000000000e+03 9.721454648546469457e+01 9.669999694824218750e+01
1.972000000000000000e+03 1.027429765841167750e+02 1.030000000000000000e+02
1.973000000000000000e+03 1.045525693670809630e+02 1.035000000000000000e+02
1.974000000000000000e+03 1.082183960281256958e+02 1.084000015258789062e+02
1.975000000000000000e+03 1.119425801956292474e+02 1.135000000000000000e+02
1.976000000000000000e+03 1.167155862393609169e+02 1.166999969482421875e+02
1.977000000000000000e+03 1.166680632576416485e+02 1.155999984741210938e+02
1.978000000000000000e+03 1.163650139898250160e+02 1.169000015258789062e+02
1.979000000000000000e+03 1.157829642618882247e+02 1.174000015258789062e+02
1.980000000000000000e+03 1.147330827991697646e+02 1.146999969482421875e+02
1.981000000000000000e+03 1.165453192031612417e+02 1.156999969482421875e+02
1.982000000000000000e+03 1.147817347041008986e+02 1.130000000000000000e+02
1.983000000000000000e+03 1.096647476375812715e+02 1.098000030517578125e+02
1.984000000000000000e+03 1.038426288011054481e+02 1.056999969482421875e+02
1.985000000000000000e+03 1.027940168180283678e+02 1.044000015258789062e+02
1.986000000000000000e+03 9.744177344238757144e+01 9.700000000000000000e+01
1.987000000000000000e+03 9.730781152123822153e+01 9.580000305175781250e+01
1.988000000000000000e+03 9.029793624754420023e+01 9.190000152587890625e+01
1.989000000000000000e+03 8.957084584311274966e+01 8.740000152587890625e+01
1.990000000000000000e+03 8.530876293219816375e+01 8.830000305175781250e+01
1.991000000000000000e+03 8.724315055041647327e+01 9.180000305175781250e+01
1.992000000000000000e+03 8.655236172160631725e+01 9.300000000000000000e+01
1.993000000000000000e+03 8.680741630475678505e+01 9.159999847412109375e+01
1.994000000000000000e+03 8.593082356188240567e+01 9.480000305175781250e+01
1.995000000000000000e+03 8.545665529492896439e+01 9.859999847412109375e+01
1.996000000000000000e+03 8.328365709132860673e+01 9.230000305175781250e+01
1.997000000000000000e+03 8.286542883524522551e+01 8.880000305175781250e+01
1.998000000000000000e+03 7.772919420073259289e+01 8.830000305175781250e+01
1.999000000000000000e+03 7.567945662380117255e+01 8.350000000000000000e+01
2.000000000000000000e+03 7.098644917246045338e+01 7.509999847412109375e+01
2.001000000000000000e+03 6.928971129886865299e+01 7.809999847412109375e+01
2.002000000000000000e+03 6.893283058278549902e+01 7.540000152587890625e+01
2.003000000000000000e+03 6.489050241307171518e+01 7.319999694824218750e+01
2.004000000000000000e+03 6.015046722155032199e+01 6.930000305175781250e+01
2.005000000000000000e+03 6.031259071030949315e+01 6.869999694824218750e+01
2.006000000000000000e+03 6.182080118846442929e+01 6.919999694824218750e+01
2.007000000000000000e+03 6.127056793378039856e+01 5.850000000000000000e+01
2.008000000000000000e+03 5.505554159522660740e+01 4.950000000000000000e+01
2.009000000000000000e+03 5.340325223235406327e+01 4.970000076293945312e+01
2.010000000000000000e+03 4.911039674137801825e+01 4.859999847412109375e+01
2.011000000000000000e+03 4.749129913126451186e+01 4.379999923706054688e+01
2.012000000000000000e+03 4.714841939810705185e+01 4.279999923706054688e+01
2.013000000000000000e+03 4.439572309295930097e+01 4.270000076293945312e+01
2.014000000000000000e+03 4.309447294643678106e+01 4.229999923706054688e+01
2.015000000000000000e+03 4.333874895248716541e+01 4.070000076293945312e+01
2.016000000000000000e+03 4.115618854530926995e+01 4.459999847412109375e+01
2.017000000000000000e+03 3.966196210012230239e+01 4.159999847412109375e+01
