# year, synthetic, actual
1.970000000000000000e+03 1.029369032821824419e+02 9.980000305175781250e+01
1.971000000000000000e+03 1.082271792054034449e+02 1.063000030517578125e+02
1.972000000000000000e+03 1.087960941607914833e+02 1.115000000000000000e+02
1.973000000000000000e+03 1.125636087687454960e+02 1.096999969482421875e+02
1.974000000000000000e+03 1.147330215517469867e+02 1.148000030517578125e+02
1.975000000000000000e+03 1.181200167986828404e+02 1.174000015258789062e+02
1.976000000000000000e+03 1.223933761006556296e+02 1.216999969482421875e+02
1.977000000000000000e+03 1.250704782753103359e+02 1.245999984741210938e+02
1.978000000000000000e+03 1.285465693676123067e+02 1.273000030517578125e+02
1.979000000000000000e+03 1.271519045052102399e+02 1.271999969482421875e+02
1.980000000000000000e+03 1.315088278273893536e+02 1.303999938964843750e+02
1.981000000000000000e+03 1.289739660467483304e+02 1.291000061035156250e+02
1.982000000000000000e+03 1.281298316905521517e+02 1.313999938964843750e+02
1.983000000000000000e+03 1.272909356924723880e+02 1.290000000000000000e+02
1.984000000000000000e+03 1.230006278046424484e+02 1.250999984741210938e+02
1.985000000000000000e+03 1.238108711278929093e+02 1.286999969482421875e+02
1.986000000000000000e+03 1.221644973150685161e+02 1.079000015258789062e+02
1.987000000000000000e+03 1.200895755704060264e+02 1.306000061035156250e+02
1.988000000000000000e+03 1.188104607169616287e+02 1.253000030517578125e+02
1.989000000000000000e+03 1.160733019810977851e+02 1.246999969482421875e+02
1.990000000000000000e+03 1.109301761977827283e+02 1.218000030517578125e+02
1.991000000000000000e+03 1.136910702496072929e+02 1.205999984741210938e+02
1.992000000000000000e+03 1.195755388464352791e+02 1.210000000000000000e+02
1.993000000000000000e+03 1.104662047881543998e+02 1.208000030517578125e+02
1.994000000000000000e+03 1.063011191669268385e+02 1.188000030517578125e+02
1.995000000000000000e+03 1.095408285627315905e+02 1.254000015258789062e+02
1.996000000000000000e+03 1.074384064935972276e+02 1.191999969482421875e+02
1.997000000000000000e+03 1.061766995524982633e+02 1.189000015258789062e+02
1.998000000000000000e+03 1.058904423333125209e+02 1.196999969482421875e+02
1.999000000000000000e+03 1.009497671244385089e+02 1.158000030517578125e+02
2.000000000000000000e+03 9.573754509173159022e+01 1.086999969482421875e+02
2.001000000000000000e+03 9.663055174730388330e+01 1.035000000000000000e+02
2.002000000000000000e+03 8.595573845540860702e+01 1.034000015258789062e+02
2.003000000000000000e+03 8.830553426734395828e+01 9.319999694824218750e+01
2.004000000000000000e+03 7.949778808423320697e+01 9.650000000000000000e+01
2.005000000000000000e+03 8.076298566465706585e+01 9.700000000000000000e+01
2.006000000000000000e+03 7.953054875910339661e+01 9.869999694824218750e+01
2.007000000000000000e+03 7.599700971330236143e+01 1.074000015258789062e+02
2.008000000000000000e+03 7.507737357804327871e+01 6.950000000000000000e+01
2.009000000000000000e+03 7.103392751844303632e+01 7.700000000000000000e+01
2.010000000000000000e+03 6.198640628251648366e+01 7.259999847412109375e+01
2.011000000000000000e+03 6.008411337196594104e+01 7.169999694824218750e+01
2.012000000000000000e+03 5.872158897797036303e+01 6.830000305175781250e+01
2.013000000000000000e+03 5.642632391172192996e+01 6.619999694824218750e+01
2.014000000000000000e+03 5.336767329215351907e+01 6.259999847412109375e+01
2.015000000000000000e+03 5.315752789162165470e+01 6.220000076293945312e+01
2.016000000000000000e+03 5.311949139404987363e+01 6.159999847412109375e+01
2.017000000000000000e+03 5.190983062366002798e+01 5.920000076293945312e+01
