# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.029369032821824419e+02 9.980000305175781250e+01 5.555559758801267844e-02
1.971000000000000000e+03 1.082271792054034449e+02 1.063000030517578125e+02 5.555605134048367810e-02
1.972000000000000000e+03 1.087960941607914833e+02 1.115000000000000000e+02 5.555552639173624851e-02
1.973000000000000000e+03 1.125636087687454960e+02 1.096999969482421875e+02 5.555552639173624851e-02
1.974000000000000000e+03 1.147330215517469867e+02 1.148000030517578125e+02 5.555567542235965994e-02
1.975000000000000000e+03 1.181200167986828404e+02 1.174000015258789062e+02 5.555552639173624851e-02
1.976000000000000000e+03 1.223933761006556296e+02 1.216999969482421875e+02 5.555586234832953635e-02
1.977000000000000000e+03 1.250704782753103359e+02 1.245999984741210938e+02 5.555605134048367810e-02
1.978000000000000000e+03 1.285465693676123067e+02 1.273000030517578125e+02 5.555552639173624851e-02
1.979000000000000000e+03 1.271519045052102399e+02 1.271999969482421875e+02 5.555572736165745318e-02
1.980000000000000000e+03 1.315088278273893536e+02 1.303999938964843750e+02 5.555565966690221430e-02
1.981000000000000000e+03 1.289739660467483304e+02 1.291000061035156250e+02 5.555565852105075891e-02
1.982000000000000000e+03 1.281298316905521517e+02 1.313999938964843750e+02 5.555603866323753637e-02
1.983000000000000000e+03 1.272909356924723880e+02 1.290000000000000000e+02 5.555577433261497250e-02
1.984000000000000000e+03 1.230006278046424484e+02 1.250999984741210938e+02 5.555605134048367810e-02
1.985000000000000000e+03 1.238108711278929093e+02 1.286999969482421875e+02 5.555552639173624851e-02
1.986000000000000000e+03 1.221644973150685161e+02 1.079000015258789062e+02 5.555565257396237466e-02
1.987000000000000000e+03 1.200895755704060264e+02 1.306000061035156250e+02 5.555605134048367810e-02
