# year, synthetic, actual
1.970000000000000000e+03 1.048705589594116390e+02 1.064000015258789062e+02
1.971000000000000000e+03 1.079042161409620206e+02 1.089000015258789062e+02
1.972000000000000000e+03 1.093799381120079062e+02 1.085999984741210938e+02
1.973000000000000000e+03 1.119906071709283566e+02 1.104000015258789062e+02
1.974000000000000000e+03 1.151195479488744269e+02 1.146999969482421875e+02
1.975000000000000000e+03 1.183927713778321333e+02 1.160000000000000000e+02
1.976000000000000000e+03 1.236058350723679666e+02 1.214000015258789062e+02
1.977000000000000000e+03 1.248620672440482195e+02 1.241999969482421875e+02
1.978000000000000000e+03 1.267740401866378903e+02 1.265999984741210938e+02
1.979000000000000000e+03 1.260128332095185755e+02 1.264000015258789062e+02
1.980000000000000000e+03 1.281546183402720658e+02 1.296999969482421875e+02
1.981000000000000000e+03 1.281501136371769576e+02 1.290000000000000000e+02
1.982000000000000000e+03 1.283137467335241979e+02 1.311999969482421875e+02
1.983000000000000000e+03 1.251086731083988894e+02 1.264000015258789062e+02
1.984000000000000000e+03 1.176237636907217166e+02 1.171999969482421875e+02
1.985000000000000000e+03 1.155208972935272271e+02 1.159000015258789062e+02
1.986000000000000000e+03 1.130971870457214834e+02 1.136999969482421875e+02
1.987000000000000000e+03 1.086407530833607069e+02 1.058000030517578125e+02
1.988000000000000000e+03 1.039824354550920020e+02 9.650000000000000000e+01
1.989000000000000000e+03 1.002432754222227231e+02 9.450000000000000000e+01
1.990000000000000000e+03 9.289628360221206549e+01 8.559999847412109375e+01
1.991000000000000000e+03 9.492863239303588330e+01 7.959999847412109375e+01
1.992000000000000000e+03 9.275978343834084683e+01 7.719999694824218750e+01
1.993000000000000000e+03 9.109716704426136857e+01 8.130000305175781250e+01
1.994000000000000000e+03 9.273897971188961264e+01 7.880000305175781250e+01
1.995000000000000000e+03 9.516094534660480520e+01 7.519999694824218750e+01
1.996000000000000000e+03 9.408359685567005215e+01 7.459999847412109375e+01
1.997000000000000000e+03 9.287357445356406060e+01 7.259999847412109375e+01
1.998000000000000000e+03 9.343063189293708604e+01 7.319999694824218750e+01
1.999000000000000000e+03 9.044791087921829842e+01 6.780000305175781250e+01
2.000000000000000000e+03 8.738765024463613429e+01 6.930000305175781250e+01
2.001000000000000000e+03 8.647555046407090629e+01 6.209999847412109375e+01
2.002000000000000000e+03 8.086777956900367315e+01 5.829999923706054688e+01
2.003000000000000000e+03 7.901139588234819655e+01 5.890000152587890625e+01
2.004000000000000000e+03 7.408566549488791964e+01 5.579999923706054688e+01
2.005000000000000000e+03 7.286600198655189331e+01 5.540000152587890625e+01
2.006000000000000000e+03 7.268060214077097214e+01 5.429999923706054688e+01
2.007000000000000000e+03 7.206109523048876042e+01 4.929999923706054688e+01
2.008000000000000000e+03 7.080469424269649892e+01 4.390000152587890625e+01
2.009000000000000000e+03 6.738923586322252390e+01 4.229999923706054688e+01
2.010000000000000000e+03 6.134211121794454868e+01 3.820000076293945312e+01
2.011000000000000000e+03 5.973718315591951011e+01 3.870000076293945312e+01
2.012000000000000000e+03 6.044359356398738470e+01 3.670000076293945312e+01
2.013000000000000000e+03 5.773624805871607890e+01 3.620000076293945312e+01
2.014000000000000000e+03 5.686100528938676746e+01 3.370000076293945312e+01
2.015000000000000000e+03 5.592203756629660205e+01 3.379999923706054688e+01
2.016000000000000000e+03 5.408789151645299853e+01 3.279999923706054688e+01
2.017000000000000000e+03 5.118832723956950304e+01 3.189999961853027344e+01
