# year, synthetic, actual
1.970000000000000000e+03 9.000000005436481842e+01 6.550000000000000000e+01
1.971000000000000000e+03 9.259999853124153901e+01 6.769999694824218750e+01
1.972000000000000000e+03 9.930000311467246377e+01 7.130000305175781250e+01
1.973000000000000000e+03 9.890000159188055306e+01 7.269999694824218750e+01
1.974000000000000000e+03 1.003000031189435646e+02 7.559999847412109375e+01
1.975000000000000000e+03 1.030999985419230995e+02 7.580000305175781250e+01
1.976000000000000000e+03 1.024000015950286695e+02 7.790000152587890625e+01
1.977000000000000000e+03 1.024000015928547782e+02 7.890000152587890625e+01
1.978000000000000000e+03 1.030999985382204756e+02 7.959999847412109375e+01
1.979000000000000000e+03 1.010000000618191933e+02 7.909999847412109375e+01
1.980000000000000000e+03 1.026999970083705591e+02 7.480000305175781250e+01
1.981000000000000000e+03 1.030000000584319935e+02 7.759999847412109375e+01
1.982000000000000000e+03 9.750000005785646806e+01 7.359999847412109375e+01
1.983000000000000000e+03 9.630000310720431855e+01 6.900000000000000000e+01
1.984000000000000000e+03 8.890000157716698936e+01 6.630000305175781250e+01
1.985000000000000000e+03 8.800000005100137912e+01 6.650000000000000000e+01
1.986000000000000000e+03 8.819999699853369179e+01 6.440000152587890625e+01
1.987000000000000000e+03 8.230000310110376915e+01 6.769999694824218750e+01
1.988000000000000000e+03 7.769999699645062208e+01 5.500000000000000000e+01
1.989000000000000000e+03 7.440000157245457046e+01 5.700000000000000000e+01
1.990000000000000000e+03 7.080000309813989645e+01 5.340000152587890625e+01
1.991000000000000000e+03 6.990000156979461110e+01 5.350000000000000000e+01
1.992000000000000000e+03 7.140000156882105387e+01 5.500000000000000000e+01
1.993000000000000000e+03 6.900000004308209611e+01 5.620000076293945312e+01
1.994000000000000000e+03 6.819999698930379850e+01 5.579999923706054688e+01
1.995000000000000000e+03 6.700000004280084909e+01 5.200000000000000000e+01
1.996000000000000000e+03 6.569999699137005678e+01 5.400000000000000000e+01
1.997000000000000000e+03 6.179999928007268295e+01 5.700000000000000000e+01
1.998000000000000000e+03 6.259999851681645566e+01 4.229999923706054688e+01
1.999000000000000000e+03 5.970000080350082072e+01 4.390000152587890625e+01
2.000000000000000000e+03 5.379999927518002778e+01 4.070000076293945312e+01
2.001000000000000000e+03 5.370000079941668503e+01 3.870000076293945312e+01
2.002000000000000000e+03 5.220000079796245984e+01 4.009999847412109375e+01
2.003000000000000000e+03 5.350000003665456205e+01 3.650000000000000000e+01
2.004000000000000000e+03 3.540000156064326831e+01 3.420000076293945312e+01
2.005000000000000000e+03 3.550000003450164598e+01 3.359999847412109375e+01
2.006000000000000000e+03 3.540000155801575232e+01 3.450000000000000000e+01
2.007000000000000000e+03 3.459999850442270031e+01 3.290000152587890625e+01
2.008000000000000000e+03 3.400000002861628445e+01 3.129999923706054688e+01
2.009000000000000000e+03 3.270000078958563705e+01 2.760000038146972656e+01
2.010000000000000000e+03 3.029999926091086948e+01 2.670000076293945312e+01
2.011000000000000000e+03 2.729999926008304101e+01 2.229999923706054688e+01
2.012000000000000000e+03 2.670000078542137345e+01 2.300000000000000000e+01
2.013000000000000000e+03 2.639999964015759204e+01 2.139999961853027344e+01
2.014000000000000000e+03 2.460000040236214858e+01 1.950000000000000000e+01
2.015000000000000000e+03 2.579999925762169966e+01 2.000000000000000000e+01
2.016000000000000000e+03 2.460000040119329157e+01 1.850000000000000000e+01
2.017000000000000000e+03 2.400000001959904594e+01 1.839999961853027344e+01
