# year, synthetic, actual
1.970000000000000000e+03 1.240171913592741504e+02 1.243000030517578125e+02
1.971000000000000000e+03 1.291456629189074476e+02 1.283999938964843750e+02
1.972000000000000000e+03 1.367906042049757787e+02 1.370000000000000000e+02
1.973000000000000000e+03 1.439074505854152335e+02 1.431000061035156250e+02
1.974000000000000000e+03 1.489042088880539154e+02 1.496000061035156250e+02
1.975000000000000000e+03 1.524019832404352996e+02 1.526999969482421875e+02
1.976000000000000000e+03 1.578298672616227805e+02 1.581000061035156250e+02
1.977000000000000000e+03 1.583252873872801274e+02 1.576999969482421875e+02
1.978000000000000000e+03 1.552853229790989076e+02 1.558999938964843750e+02
1.979000000000000000e+03 1.507666960457970333e+02 1.518000030517578125e+02
1.980000000000000000e+03 1.510411804067654771e+02 1.488999938964843750e+02
1.981000000000000000e+03 1.492387461667518949e+02 1.498999938964843750e+02
1.982000000000000000e+03 1.484830178552203677e+02 1.473999938964843750e+02
1.983000000000000000e+03 1.438484729471609569e+02 1.446999969482421875e+02
1.984000000000000000e+03 1.364392238364380034e+02 1.368000030517578125e+02
1.985000000000000000e+03 1.357940589644163083e+02 1.346000061035156250e+02
1.986000000000000000e+03 1.354596643098891207e+02 1.358000030517578125e+02
1.987000000000000000e+03 1.318609224997277920e+02 1.330000000000000000e+02
1.988000000000000000e+03 1.288936351054416605e+02 1.295000000000000000e+02
1.989000000000000000e+03 1.256041521873784177e+02 1.225000000000000000e+02
1.990000000000000000e+03 1.256976994969812438e+02 1.189000015258789062e+02
1.991000000000000000e+03 1.219355178847754928e+02 1.090999984741210938e+02
1.992000000000000000e+03 1.194389132188215825e+02 1.081999969482421875e+02
1.993000000000000000e+03 1.210676989462108821e+02 1.054000015258789062e+02
1.994000000000000000e+03 1.191222609501224809e+02 1.061999969482421875e+02
1.995000000000000000e+03 1.203861766396395296e+02 1.066999969482421875e+02
1.996000000000000000e+03 1.210565942888614899e+02 1.045999984741210938e+02
1.997000000000000000e+03 1.237404641360435278e+02 1.080000000000000000e+02
1.998000000000000000e+03 1.203407546405576340e+02 1.055999984741210938e+02
1.999000000000000000e+03 1.149379696716131889e+02 1.020999984741210938e+02
2.000000000000000000e+03 1.081041750827218095e+02 9.669999694824218750e+01
2.001000000000000000e+03 1.052248453253323817e+02 9.409999847412109375e+01
2.002000000000000000e+03 1.011753921080453580e+02 9.209999847412109375e+01
2.003000000000000000e+03 1.081459916971714534e+02 9.550000000000000000e+01
2.004000000000000000e+03 1.000744348239293799e+02 9.740000152587890625e+01
2.005000000000000000e+03 1.013575557599851891e+02 8.250000000000000000e+01
2.006000000000000000e+03 9.475176042240731533e+01 7.890000152587890625e+01
2.007000000000000000e+03 9.150147062902046002e+01 7.609999847412109375e+01
2.008000000000000000e+03 8.801434680368492991e+01 7.359999847412109375e+01
2.009000000000000000e+03 8.327523329115396677e+01 7.340000152587890625e+01
2.010000000000000000e+03 7.734072935110377500e+01 6.890000152587890625e+01
2.011000000000000000e+03 7.320980011328106229e+01 6.709999847412109375e+01
2.012000000000000000e+03 7.058497311626807402e+01 7.240000152587890625e+01
2.013000000000000000e+03 6.773488079505048631e+01 6.940000152587890625e+01
2.014000000000000000e+03 6.493854480415899388e+01 6.700000000000000000e+01
2.015000000000000000e+03 6.286723501977234463e+01 6.609999847412109375e+01
2.016000000000000000e+03 6.320709082400705370e+01 6.359999847412109375e+01
2.017000000000000000e+03 5.975267392776608233e+01 6.079999923706054688e+01
