# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.240171913592741504e+02 1.243000030517578125e+02 5.555555583858103746e-02
1.971000000000000000e+03 1.291456629189074476e+02 1.283999938964843750e+02 5.555555510846106604e-02
1.972000000000000000e+03 1.367906042049757787e+02 1.370000000000000000e+02 5.555555510846106604e-02
1.973000000000000000e+03 1.439074505854152335e+02 1.431000061035156250e+02 5.555555551750784166e-02
1.974000000000000000e+03 1.489042088880539154e+02 1.496000061035156250e+02 5.555555510846106604e-02
1.975000000000000000e+03 1.524019832404352996e+02 1.526999969482421875e+02 5.555555579594873700e-02
1.976000000000000000e+03 1.578298672616227805e+02 1.581000061035156250e+02 5.555556315616184265e-02
1.977000000000000000e+03 1.583252873872801274e+02 1.576999969482421875e+02 5.555555546020397861e-02
1.978000000000000000e+03 1.552853229790989076e+02 1.558999938964843750e+02 5.555555510846106604e-02
1.979000000000000000e+03 1.507666960457970333e+02 1.518000030517578125e+02 5.555555552109603390e-02
1.980000000000000000e+03 1.510411804067654771e+02 1.488999938964843750e+02 5.555555510846106604e-02
1.981000000000000000e+03 1.492387461667518949e+02 1.498999938964843750e+02 5.555555685354207629e-02
1.982000000000000000e+03 1.484830178552203677e+02 1.473999938964843750e+02 5.555555510846106604e-02
1.983000000000000000e+03 1.438484729471609569e+02 1.446999969482421875e+02 5.555555573372290140e-02
1.984000000000000000e+03 1.364392238364380034e+02 1.368000030517578125e+02 5.555555510846106604e-02
1.985000000000000000e+03 1.357940589644163083e+02 1.346000061035156250e+02 5.555555665149108924e-02
1.986000000000000000e+03 1.354596643098891207e+02 1.358000030517578125e+02 5.555555692619226077e-02
1.987000000000000000e+03 1.318609224997277920e+02 1.330000000000000000e+02 5.555555510846106604e-02
