# year, synthetic, actual
1.970000000000000000e+03 1.226550104503898098e+02 1.225999984741210938e+02
1.971000000000000000e+03 1.269756481600332023e+02 1.244000015258789062e+02
1.972000000000000000e+03 1.367103263235688075e+02 1.380000000000000000e+02
1.973000000000000000e+03 1.464481559913687079e+02 1.468000030517578125e+02
1.974000000000000000e+03 1.524426746716885077e+02 1.518000030517578125e+02
1.975000000000000000e+03 1.611600241718124096e+02 1.555000000000000000e+02
1.976000000000000000e+03 1.685223881412239280e+02 1.711000061035156250e+02
1.977000000000000000e+03 1.670344137634843094e+02 1.693999938964843750e+02
1.978000000000000000e+03 1.642531592226830810e+02 1.623999938964843750e+02
1.979000000000000000e+03 1.599258404311932509e+02 1.608999938964843750e+02
1.980000000000000000e+03 1.608657482847652034e+02 1.616000061035156250e+02
1.981000000000000000e+03 1.604602730062003673e+02 1.638000030517578125e+02
1.982000000000000000e+03 1.616577166388169076e+02 1.623000030517578125e+02
1.983000000000000000e+03 1.550228556080947726e+02 1.538000030517578125e+02
1.984000000000000000e+03 1.429484291002920600e+02 1.443000030517578125e+02
1.985000000000000000e+03 1.403847501736651395e+02 1.445000000000000000e+02
1.986000000000000000e+03 1.345864408484798389e+02 1.311999969482421875e+02
1.987000000000000000e+03 1.306044080295979768e+02 1.283000030517578125e+02
1.988000000000000000e+03 1.264589194541332233e+02 1.286999969482421875e+02
1.989000000000000000e+03 1.253552714598187237e+02 1.209000015258789062e+02
1.990000000000000000e+03 1.270966715463582233e+02 1.243000030517578125e+02
1.991000000000000000e+03 1.248398575957428278e+02 1.209000015258789062e+02
1.992000000000000000e+03 1.201554988529593260e+02 1.265000000000000000e+02
1.993000000000000000e+03 1.223036264837028426e+02 1.171999969482421875e+02
1.994000000000000000e+03 1.224091153828325531e+02 1.203000030517578125e+02
1.995000000000000000e+03 1.249674295364190186e+02 1.231999969482421875e+02
1.996000000000000000e+03 1.253917530706218884e+02 1.025000000000000000e+02
1.997000000000000000e+03 1.267304173701574399e+02 9.769999694824218750e+01
1.998000000000000000e+03 1.209976296570718830e+02 9.700000000000000000e+01
1.999000000000000000e+03 1.158640695498539799e+02 9.409999847412109375e+01
2.000000000000000000e+03 1.099254172386704624e+02 8.890000152587890625e+01
2.001000000000000000e+03 1.069189906144732305e+02 9.430000305175781250e+01
2.002000000000000000e+03 1.017726914935486491e+02 9.300000000000000000e+01
2.003000000000000000e+03 1.113507919121079226e+02 7.790000152587890625e+01
2.004000000000000000e+03 1.102158671824202543e+02 6.919999694824218750e+01
2.005000000000000000e+03 1.130238073935466758e+02 6.390000152587890625e+01
2.006000000000000000e+03 1.012370620731562951e+02 6.390000152587890625e+01
2.007000000000000000e+03 1.015271606377660447e+02 5.450000000000000000e+01
2.008000000000000000e+03 9.487876480862298934e+01 5.159999847412109375e+01
2.009000000000000000e+03 8.937440301190859770e+01 4.890000152587890625e+01
2.010000000000000000e+03 8.108787223095704633e+01 4.770000076293945312e+01
2.011000000000000000e+03 7.785571016464537308e+01 4.870000076293945312e+01
2.012000000000000000e+03 7.750411488531592852e+01 4.570000076293945312e+01
2.013000000000000000e+03 7.373458960595921496e+01 4.209999847412109375e+01
2.014000000000000000e+03 7.211778432954538687e+01 4.040000152587890625e+01
2.015000000000000000e+03 7.023947295605512409e+01 4.040000152587890625e+01
2.016000000000000000e+03 6.914945354226315999e+01 3.740000152587890625e+01
2.017000000000000000e+03 6.641567851533734768e+01 3.629999923706054688e+01
