# year, synthetic, actual
1.970000000000000000e+03 9.215289543885562296e+01 9.669999694824218750e+01
1.971000000000000000e+03 9.650148314731755761e+01 9.700000000000000000e+01
1.972000000000000000e+03 9.133746312507528842e+01 8.850000000000000000e+01
1.973000000000000000e+03 9.517852483443635947e+01 9.100000000000000000e+01
1.974000000000000000e+03 9.857467906286051118e+01 9.859999847412109375e+01
1.975000000000000000e+03 9.888043971303031299e+01 9.950000000000000000e+01
1.976000000000000000e+03 1.026061238563147384e+02 1.003000030517578125e+02
1.977000000000000000e+03 1.039573299374865485e+02 9.930000305175781250e+01
1.978000000000000000e+03 1.052203151216755117e+02 1.013000030517578125e+02
1.979000000000000000e+03 1.048472560936119322e+02 1.014000015258789062e+02
1.980000000000000000e+03 1.035782464690622646e+02 1.014000015258789062e+02
1.981000000000000000e+03 1.055136340311660632e+02 1.126999969482421875e+02
1.982000000000000000e+03 1.033787819506470811e+02 1.065999984741210938e+02
1.983000000000000000e+03 9.944460485488517065e+01 1.024000015258789062e+02
1.984000000000000000e+03 9.554815350652522454e+01 9.619999694824218750e+01
1.985000000000000000e+03 9.603942254755374108e+01 9.650000000000000000e+01
1.986000000000000000e+03 9.198483631246764958e+01 9.419999694824218750e+01
1.987000000000000000e+03 9.341372581728120394e+01 9.130000305175781250e+01
1.988000000000000000e+03 8.247914361115670090e+01 8.819999694824218750e+01
1.989000000000000000e+03 8.192398734224781265e+01 8.609999847412109375e+01
1.990000000000000000e+03 7.763497910886466968e+01 8.340000152587890625e+01
1.991000000000000000e+03 7.532891645285120319e+01 7.869999694824218750e+01
1.992000000000000000e+03 7.387687525292714952e+01 8.109999847412109375e+01
1.993000000000000000e+03 7.334410614800133033e+01 7.940000152587890625e+01
1.994000000000000000e+03 7.332913362302419102e+01 7.259999847412109375e+01
1.995000000000000000e+03 7.211366454811941651e+01 6.740000152587890625e+01
1.996000000000000000e+03 7.145486503783943988e+01 5.809999847412109375e+01
1.997000000000000000e+03 7.308843100676558890e+01 5.559999847412109375e+01
1.998000000000000000e+03 6.724050363471864955e+01 5.640000152587890625e+01
1.999000000000000000e+03 6.620814783290076377e+01 5.509999847412109375e+01
2.000000000000000000e+03 6.309024733500047688e+01 5.279999923706054688e+01
2.001000000000000000e+03 6.071460932695954682e+01 5.020000076293945312e+01
2.002000000000000000e+03 5.965839650598258714e+01 4.500000000000000000e+01
2.003000000000000000e+03 5.638171385585852136e+01 4.009999847412109375e+01
2.004000000000000000e+03 5.425353116584877000e+01 3.770000076293945312e+01
2.005000000000000000e+03 5.068883280253468371e+01 3.720000076293945312e+01
2.006000000000000000e+03 4.785798394592041660e+01 3.370000076293945312e+01
2.007000000000000000e+03 4.577175116330565885e+01 3.240000152587890625e+01
2.008000000000000000e+03 4.375890637656895876e+01 3.189999961853027344e+01
2.009000000000000000e+03 4.112745461575102723e+01 3.010000038146972656e+01
2.010000000000000000e+03 3.891242460865257158e+01 2.560000038146972656e+01
2.011000000000000000e+03 3.828170098415574074e+01 2.170000076293945312e+01
2.012000000000000000e+03 3.368965857523541274e+01 2.029999923706054688e+01
2.013000000000000000e+03 3.417552645425206492e+01 1.950000000000000000e+01
2.014000000000000000e+03 2.923561865391370418e+01 1.860000038146972656e+01
2.015000000000000000e+03 2.863677149573667080e+01 1.879999923706054688e+01
2.016000000000000000e+03 2.777819748133030586e+01 1.800000000000000000e+01
2.017000000000000000e+03 2.612978423106065407e+01 1.700000000000000000e+01
