# predictor, synthetic, actual, weights
1.970000000000000000e+03 9.215289543885562296e+01 9.669999694824218750e+01 5.555555555555551084e-02
1.971000000000000000e+03 9.650148314731755761e+01 9.700000000000000000e+01 5.555555555555551084e-02
1.972000000000000000e+03 9.133746312507528842e+01 8.850000000000000000e+01 5.555555555555551084e-02
1.973000000000000000e+03 9.517852483443635947e+01 9.100000000000000000e+01 5.555555555555628106e-02
1.974000000000000000e+03 9.857467906286051118e+01 9.859999847412109375e+01 5.555555555555628106e-02
1.975000000000000000e+03 9.888043971303031299e+01 9.950000000000000000e+01 5.555555555555628106e-02
1.976000000000000000e+03 1.026061238563147384e+02 1.003000030517578125e+02 5.555555555555628106e-02
1.977000000000000000e+03 1.039573299374865485e+02 9.930000305175781250e+01 5.555555555555551084e-02
1.978000000000000000e+03 1.052203151216755117e+02 1.013000030517578125e+02 5.555555555555628106e-02
1.979000000000000000e+03 1.048472560936119322e+02 1.014000015258789062e+02 5.555555555555551084e-02
1.980000000000000000e+03 1.035782464690622646e+02 1.014000015258789062e+02 5.555555555555628106e-02
1.981000000000000000e+03 1.055136340311660632e+02 1.126999969482421875e+02 5.555555555555551084e-02
1.982000000000000000e+03 1.033787819506470811e+02 1.065999984741210938e+02 5.555555555555628106e-02
1.983000000000000000e+03 9.944460485488517065e+01 1.024000015258789062e+02 5.555555555555628106e-02
1.984000000000000000e+03 9.554815350652522454e+01 9.619999694824218750e+01 5.555555555555551084e-02
1.985000000000000000e+03 9.603942254755374108e+01 9.650000000000000000e+01 5.555555555555551084e-02
1.986000000000000000e+03 9.198483631246764958e+01 9.419999694824218750e+01 5.555555555555551084e-02
1.987000000000000000e+03 9.341372581728120394e+01 9.130000305175781250e+01 5.555555555555551084e-02
