# year, synthetic, actual
1.970000000000000000e+03 1.049437096077490139e+02 1.064000015258789062e+02
1.971000000000000000e+03 1.064040286078846691e+02 1.054000015258789062e+02
1.972000000000000000e+03 1.085961662588802881e+02 1.088000030517578125e+02
1.973000000000000000e+03 1.094184360545721120e+02 1.095000000000000000e+02
1.974000000000000000e+03 1.125509634112760011e+02 1.118000030517578125e+02
1.975000000000000000e+03 1.140587988827251849e+02 1.135000000000000000e+02
1.976000000000000000e+03 1.154713795221659893e+02 1.154000015258789062e+02
1.977000000000000000e+03 1.165906576384953581e+02 1.171999969482421875e+02
1.978000000000000000e+03 1.176763641520124679e+02 1.166999969482421875e+02
1.979000000000000000e+03 1.171635770780359564e+02 1.170999984741210938e+02
1.980000000000000000e+03 1.168348490386914307e+02 1.175999984741210938e+02
1.981000000000000000e+03 1.178818554783320707e+02 1.199000015258789062e+02
1.982000000000000000e+03 1.144380638915975084e+02 1.155999984741210938e+02
1.983000000000000000e+03 1.099601264327069288e+02 1.063000030517578125e+02
1.984000000000000000e+03 1.068932199191041690e+02 1.055999984741210938e+02
1.985000000000000000e+03 1.065988907988201504e+02 1.070000000000000000e+02
1.986000000000000000e+03 1.053689682884172782e+02 1.054000015258789062e+02
1.987000000000000000e+03 1.042665690249747286e+02 1.060000000000000000e+02
1.988000000000000000e+03 1.003992323737726906e+02 1.025999984741210938e+02
1.989000000000000000e+03 9.619680568022363332e+01 1.003000030517578125e+02
1.990000000000000000e+03 9.023507015957082444e+01 9.409999847412109375e+01
1.991000000000000000e+03 8.866608929146394757e+01 9.550000000000000000e+01
1.992000000000000000e+03 8.774955793150937211e+01 9.619999694824218750e+01
1.993000000000000000e+03 8.572083221309600276e+01 9.119999694824218750e+01
1.994000000000000000e+03 8.482121529495701395e+01 9.180000305175781250e+01
1.995000000000000000e+03 8.374894636809210624e+01 9.350000000000000000e+01
1.996000000000000000e+03 8.276920804508451113e+01 9.209999847412109375e+01
1.997000000000000000e+03 8.385332120953263768e+01 9.190000152587890625e+01
1.998000000000000000e+03 7.878097755682145475e+01 8.869999694824218750e+01
1.999000000000000000e+03 7.785022926304290536e+01 8.440000152587890625e+01
2.000000000000000000e+03 7.355742480882005907e+01 8.009999847412109375e+01
2.001000000000000000e+03 7.172829198347260160e+01 7.819999694824218750e+01
2.002000000000000000e+03 6.961277644059350678e+01 7.530000305175781250e+01
2.003000000000000000e+03 6.621281984991226466e+01 7.100000000000000000e+01
2.004000000000000000e+03 5.947225595600079373e+01 6.990000152587890625e+01
2.005000000000000000e+03 5.884184002635034005e+01 7.009999847412109375e+01
2.006000000000000000e+03 5.496382635086771273e+01 7.130000305175781250e+01
2.007000000000000000e+03 5.257788281022190091e+01 6.969999694824218750e+01
2.008000000000000000e+03 4.890782384861034870e+01 6.669999694824218750e+01
2.009000000000000000e+03 4.618090382515529058e+01 5.529999923706054688e+01
2.010000000000000000e+03 4.286210836474295149e+01 4.820000076293945312e+01
2.011000000000000000e+03 4.004172187475043643e+01 4.250000000000000000e+01
2.012000000000000000e+03 3.916580390206623008e+01 4.120000076293945312e+01
2.013000000000000000e+03 3.778247874954689678e+01 3.979999923706054688e+01
2.014000000000000000e+03 3.659557918043301328e+01 3.990000152587890625e+01
2.015000000000000000e+03 3.636996729661282046e+01 3.950000000000000000e+01
2.016000000000000000e+03 3.482046307069960278e+01 3.970000076293945312e+01
2.017000000000000000e+03 3.404936737987652151e+01 3.900000000000000000e+01
