# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.049437096077490139e+02 1.064000015258789062e+02 5.555555558192752652e-02
1.971000000000000000e+03 1.064040286078846691e+02 1.054000015258789062e+02 5.555555558192752652e-02
1.972000000000000000e+03 1.085961662588802881e+02 1.088000030517578125e+02 5.555555558193794180e-02
1.973000000000000000e+03 1.094184360545721120e+02 1.095000000000000000e+02 5.555555558192752652e-02
1.974000000000000000e+03 1.125509634112760011e+02 1.118000030517578125e+02 5.555555558192752652e-02
1.975000000000000000e+03 1.140587988827251849e+02 1.135000000000000000e+02 5.555555558192752652e-02
1.976000000000000000e+03 1.154713795221659893e+02 1.154000015258789062e+02 5.555555558192752652e-02
1.977000000000000000e+03 1.165906576384953581e+02 1.171999969482421875e+02 5.555555558192752652e-02
1.978000000000000000e+03 1.176763641520124679e+02 1.166999969482421875e+02 5.555555558193794180e-02
1.979000000000000000e+03 1.171635770780359564e+02 1.170999984741210938e+02 5.555555558192752652e-02
1.980000000000000000e+03 1.168348490386914307e+02 1.175999984741210938e+02 5.555555555401406331e-02
1.981000000000000000e+03 1.178818554783320707e+02 1.199000015258789062e+02 5.555555558192752652e-02
1.982000000000000000e+03 1.144380638915975084e+02 1.155999984741210938e+02 5.555555558192752652e-02
1.983000000000000000e+03 1.099601264327069288e+02 1.063000030517578125e+02 5.555555558192752652e-02
1.984000000000000000e+03 1.068932199191041690e+02 1.055999984741210938e+02 5.555555557907346231e-02
1.985000000000000000e+03 1.065988907988201504e+02 1.070000000000000000e+02 5.555555555400364803e-02
1.986000000000000000e+03 1.053689682884172782e+02 1.054000015258789062e+02 5.555555558192752652e-02
1.987000000000000000e+03 1.042665690249747286e+02 1.060000000000000000e+02 5.555555555400364803e-02
