# year, synthetic, actual
1.970000000000000000e+03 1.120391760232540292e+02 1.145000000000000000e+02
1.971000000000000000e+03 1.138146442094044772e+02 1.115000000000000000e+02
1.972000000000000000e+03 1.167659643356796124e+02 1.175000000000000000e+02
1.973000000000000000e+03 1.181843299773951657e+02 1.165999984741210938e+02
1.974000000000000000e+03 1.217024824006400792e+02 1.199000015258789062e+02
1.975000000000000000e+03 1.243124171771523407e+02 1.231999969482421875e+02
1.976000000000000000e+03 1.295152173522700423e+02 1.296999969482421875e+02
1.977000000000000000e+03 1.306099942323241976e+02 1.338999938964843750e+02
1.978000000000000000e+03 1.262230185138511303e+02 1.316000061035156250e+02
1.979000000000000000e+03 1.238579068644527439e+02 1.220999984741210938e+02
1.980000000000000000e+03 1.216432373342159536e+02 1.223000030517578125e+02
1.981000000000000000e+03 1.229020816967434655e+02 1.205000000000000000e+02
1.982000000000000000e+03 1.211747459456285583e+02 1.198000030517578125e+02
1.983000000000000000e+03 1.179272476441670250e+02 1.156999969482421875e+02
1.984000000000000000e+03 1.123989384656474186e+02 1.119000015258789062e+02
1.985000000000000000e+03 1.105517023829930423e+02 1.090999984741210938e+02
1.986000000000000000e+03 1.088387132446202372e+02 1.120999984741210938e+02
1.987000000000000000e+03 1.072279281467932464e+02 1.075000000000000000e+02
1.988000000000000000e+03 9.810296479687495719e+01 1.090999984741210938e+02
1.989000000000000000e+03 9.791445784296426780e+01 1.040000000000000000e+02
1.990000000000000000e+03 9.380809784444123522e+01 1.040999984741210938e+02
1.991000000000000000e+03 9.072228505181902847e+01 1.000999984741210938e+02
1.992000000000000000e+03 8.968290202999708072e+01 9.800000000000000000e+01
1.993000000000000000e+03 8.812574214014928486e+01 1.110000000000000000e+02
1.994000000000000000e+03 8.762693592321255665e+01 1.041999969482421875e+02
1.995000000000000000e+03 8.804103425102138658e+01 1.158000030517578125e+02
1.996000000000000000e+03 8.768929898897835074e+01 1.126999969482421875e+02
1.997000000000000000e+03 8.901317624014636465e+01 1.145000000000000000e+02
1.998000000000000000e+03 8.293308860180380293e+01 1.145999984741210938e+02
1.999000000000000000e+03 8.096593294434082111e+01 1.124000015258789062e+02
2.000000000000000000e+03 7.629825003115996651e+01 1.079000015258789062e+02
2.001000000000000000e+03 7.353862942653120172e+01 1.094000015258789062e+02
2.002000000000000000e+03 7.210222355134240502e+01 1.106999969482421875e+02
2.003000000000000000e+03 6.958520543905602551e+01 1.221999969482421875e+02
2.004000000000000000e+03 6.658838546015358872e+01 1.040000000000000000e+02
2.005000000000000000e+03 6.387469952046842536e+01 1.024000015258789062e+02
2.006000000000000000e+03 6.161373233800171079e+01 1.121999969482421875e+02
2.007000000000000000e+03 6.065325319150039007e+01 1.105000000000000000e+02
2.008000000000000000e+03 5.563323213697364622e+01 1.128000030517578125e+02
2.009000000000000000e+03 5.277412735086700479e+01 1.158000030517578125e+02
2.010000000000000000e+03 4.802552935012732860e+01 1.130000000000000000e+02
2.011000000000000000e+03 4.429121590749728909e+01 1.079000015258789062e+02
2.012000000000000000e+03 4.325524347731536068e+01 1.050000000000000000e+02
2.013000000000000000e+03 4.120438751729781757e+01 1.030999984741210938e+02
2.014000000000000000e+03 3.926608350170582185e+01 9.740000152587890625e+01
2.015000000000000000e+03 3.834662690192710244e+01 9.730000305175781250e+01
2.016000000000000000e+03 3.775967944819313260e+01 9.550000000000000000e+01
2.017000000000000000e+03 3.632397988946222256e+01 8.219999694824218750e+01
