# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.120391760232540292e+02 1.145000000000000000e+02 5.555553525861004621e-02
1.971000000000000000e+03 1.138146442094044772e+02 1.115000000000000000e+02 5.555553525861004621e-02
1.972000000000000000e+03 1.167659643356796124e+02 1.175000000000000000e+02 5.555553525861004621e-02
1.973000000000000000e+03 1.181843299773951657e+02 1.165999984741210938e+02 5.555553525861004621e-02
1.974000000000000000e+03 1.217024824006400792e+02 1.199000015258789062e+02 5.555553525861004621e-02
1.975000000000000000e+03 1.243124171771523407e+02 1.231999969482421875e+02 5.555553525861004621e-02
1.976000000000000000e+03 1.295152173522700423e+02 1.296999969482421875e+02 5.555590060362918664e-02
1.977000000000000000e+03 1.306099942323241976e+02 1.338999938964843750e+02 5.555590060362918664e-02
1.978000000000000000e+03 1.262230185138511303e+02 1.316000061035156250e+02 5.555575775066076000e-02
1.979000000000000000e+03 1.238579068644527439e+02 1.220999984741210938e+02 5.555590060362918664e-02
1.980000000000000000e+03 1.216432373342159536e+02 1.223000030517578125e+02 5.555590060362918664e-02
1.981000000000000000e+03 1.229020816967434655e+02 1.205000000000000000e+02 5.555553525861004621e-02
1.982000000000000000e+03 1.211747459456285583e+02 1.198000030517578125e+02 5.555590060362918664e-02
1.983000000000000000e+03 1.179272476441670250e+02 1.156999969482421875e+02 5.555590060362918664e-02
1.984000000000000000e+03 1.123989384656474186e+02 1.119000015258789062e+02 5.555590060362918664e-02
1.985000000000000000e+03 1.105517023829930423e+02 1.090999984741210938e+02 5.555553525861004621e-02
1.986000000000000000e+03 1.088387132446202372e+02 1.120999984741210938e+02 5.555590060362918664e-02
1.987000000000000000e+03 1.072279281467932464e+02 1.075000000000000000e+02 5.555590060362918664e-02
