# year, synthetic, actual
1.970000000000000000e+03 1.275736732081393683e+02 1.321999969482421875e+02
1.971000000000000000e+03 1.331006352844277956e+02 1.316999969482421875e+02
1.972000000000000000e+03 1.414155225157526843e+02 1.400000000000000000e+02
1.973000000000000000e+03 1.467665587039686841e+02 1.411999969482421875e+02
1.974000000000000000e+03 1.493017408418792229e+02 1.458000030517578125e+02
1.975000000000000000e+03 1.559364794114249833e+02 1.606999969482421875e+02
1.976000000000000000e+03 1.642853571971818667e+02 1.615000000000000000e+02
1.977000000000000000e+03 1.605660262423764095e+02 1.603999938964843750e+02
1.978000000000000000e+03 1.585662102755889578e+02 1.603000030517578125e+02
1.979000000000000000e+03 1.545136403753895991e+02 1.686000061035156250e+02
1.980000000000000000e+03 1.551430413433255353e+02 1.581000061035156250e+02
1.981000000000000000e+03 1.555379954054047857e+02 1.631000061035156250e+02
1.982000000000000000e+03 1.542138575125394766e+02 1.576999969482421875e+02
1.983000000000000000e+03 1.472001445489812568e+02 1.411999969482421875e+02
1.984000000000000000e+03 1.348359107564458270e+02 1.288999938964843750e+02
1.985000000000000000e+03 1.297076970246039025e+02 1.256999969482421875e+02
1.986000000000000000e+03 1.260864029401983402e+02 1.248000030517578125e+02
1.987000000000000000e+03 1.199011606351639330e+02 1.104000015258789062e+02
1.988000000000000000e+03 1.153021224705123871e+02 1.143000030517578125e+02
1.989000000000000000e+03 1.118218856658975398e+02 1.114000015258789062e+02
1.990000000000000000e+03 1.074535658961518862e+02 9.690000152587890625e+01
1.991000000000000000e+03 1.087889808721118783e+02 1.090999984741210938e+02
1.992000000000000000e+03 1.012580564821320763e+02 1.108000030517578125e+02
1.993000000000000000e+03 1.066995629131681511e+02 1.084000015258789062e+02
1.994000000000000000e+03 1.064440601258409345e+02 1.111999969482421875e+02
1.995000000000000000e+03 1.074241381907331458e+02 1.150000000000000000e+02
1.996000000000000000e+03 1.081630664005088533e+02 1.103000030517578125e+02
1.997000000000000000e+03 1.091697323228397636e+02 1.088000030517578125e+02
1.998000000000000000e+03 1.075524576711834186e+02 1.029000015258789062e+02
1.999000000000000000e+03 1.034855363945254538e+02 1.048000030517578125e+02
2.000000000000000000e+03 9.736180057884840267e+01 9.050000000000000000e+01
2.001000000000000000e+03 9.380920363134609374e+01 9.290000152587890625e+01
2.002000000000000000e+03 8.988140321214532946e+01 9.319999694824218750e+01
2.003000000000000000e+03 9.614365157779467097e+01 1.155000000000000000e+02
2.004000000000000000e+03 9.539383603764915165e+01 4.750000000000000000e+01
2.005000000000000000e+03 9.587139153538362280e+01 7.640000152587890625e+01
2.006000000000000000e+03 9.372588477131240836e+01 7.880000305175781250e+01
2.007000000000000000e+03 9.321619812809053940e+01 8.300000000000000000e+01
2.008000000000000000e+03 8.856636557606029214e+01 7.900000000000000000e+01
2.009000000000000000e+03 8.486386411311387690e+01 7.669999694824218750e+01
2.010000000000000000e+03 7.744914884352566276e+01 6.569999694824218750e+01
2.011000000000000000e+03 7.531702762892095393e+01 7.050000000000000000e+01
2.012000000000000000e+03 7.795589643873229591e+01 6.150000000000000000e+01
2.013000000000000000e+03 7.511657516763331444e+01 6.079999923706054688e+01
2.014000000000000000e+03 7.623628060778266047e+01 5.640000152587890625e+01
2.015000000000000000e+03 7.545200248655014263e+01 5.859999847412109375e+01
2.016000000000000000e+03 7.226904886979492915e+01 5.459999847412109375e+01
2.017000000000000000e+03 6.854950289832135013e+01 5.240000152587890625e+01
