# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.275736732081393683e+02 1.321999969482421875e+02 5.555555516300301339e-02
1.971000000000000000e+03 1.331006352844277956e+02 1.316999969482421875e+02 5.555555516300301339e-02
1.972000000000000000e+03 1.414155225157526843e+02 1.400000000000000000e+02 5.555556222894868224e-02
1.973000000000000000e+03 1.467665587039686841e+02 1.411999969482421875e+02 5.555555516300301339e-02
1.974000000000000000e+03 1.493017408418792229e+02 1.458000030517578125e+02 5.555555516300301339e-02
1.975000000000000000e+03 1.559364794114249833e+02 1.606999969482421875e+02 5.555556222894868224e-02
1.976000000000000000e+03 1.642853571971818667e+02 1.615000000000000000e+02 5.555556222894868224e-02
1.977000000000000000e+03 1.605660262423764095e+02 1.603999938964843750e+02 5.555555516300301339e-02
1.978000000000000000e+03 1.585662102755889578e+02 1.603000030517578125e+02 5.555555516300301339e-02
1.979000000000000000e+03 1.545136403753895991e+02 1.686000061035156250e+02 5.555555516300301339e-02
1.980000000000000000e+03 1.551430413433255353e+02 1.581000061035156250e+02 5.555555516300301339e-02
1.981000000000000000e+03 1.555379954054047857e+02 1.631000061035156250e+02 5.555555516300301339e-02
1.982000000000000000e+03 1.542138575125394766e+02 1.576999969482421875e+02 5.555555516300301339e-02
1.983000000000000000e+03 1.472001445489812568e+02 1.411999969482421875e+02 5.555555516300301339e-02
1.984000000000000000e+03 1.348359107564458270e+02 1.288999938964843750e+02 5.555555516300301339e-02
1.985000000000000000e+03 1.297076970246039025e+02 1.256999969482421875e+02 5.555555570416698119e-02
1.986000000000000000e+03 1.260864029401983402e+02 1.248000030517578125e+02 5.555555516300301339e-02
1.987000000000000000e+03 1.199011606351639330e+02 1.104000015258789062e+02 5.555555516300301339e-02
