# year, synthetic, actual
1.970000000000000000e+03 1.185717789572346845e+02 1.213000030517578125e+02
1.971000000000000000e+03 1.207937217797023806e+02 1.230000000000000000e+02
1.972000000000000000e+03 1.303966435432477056e+02 1.300000000000000000e+02
1.973000000000000000e+03 1.365164916431479867e+02 1.258000030517578125e+02
1.974000000000000000e+03 1.397445896632050903e+02 1.303999938964843750e+02
1.975000000000000000e+03 1.443816864511358915e+02 1.503999938964843750e+02
1.976000000000000000e+03 1.534337088115080405e+02 1.648000030517578125e+02
1.977000000000000000e+03 1.533983111565421211e+02 1.593000030517578125e+02
1.978000000000000000e+03 1.451644768795793539e+02 1.436000061035156250e+02
1.979000000000000000e+03 1.436516154925130593e+02 1.381000061035156250e+02
1.980000000000000000e+03 1.440355371949315781e+02 1.340000000000000000e+02
1.981000000000000000e+03 1.462275931580782640e+02 1.440000000000000000e+02
1.982000000000000000e+03 1.456727256383401539e+02 1.483000030517578125e+02
1.983000000000000000e+03 1.391465977310261906e+02 1.468999938964843750e+02
1.984000000000000000e+03 1.307858204354588167e+02 1.336000061035156250e+02
1.985000000000000000e+03 1.274009749640598983e+02 1.288999938964843750e+02
1.986000000000000000e+03 1.220746145420474278e+02 1.263000030517578125e+02
1.987000000000000000e+03 1.174843620235729276e+02 1.104000015258789062e+02
1.988000000000000000e+03 1.155349722452167214e+02 8.000000000000000000e+01
1.989000000000000000e+03 1.109594647464557085e+02 9.440000152587890625e+01
1.990000000000000000e+03 1.081708599832958981e+02 1.001999969482421875e+02
1.991000000000000000e+03 1.089037612289434378e+02 1.018000030517578125e+02
1.992000000000000000e+03 1.073756713330736403e+02 9.850000000000000000e+01
1.993000000000000000e+03 1.068538290486741715e+02 9.519999694824218750e+01
1.994000000000000000e+03 1.075648012416964434e+02 9.409999847412109375e+01
1.995000000000000000e+03 1.103973390207086425e+02 8.950000000000000000e+01
1.996000000000000000e+03 1.038282528845863055e+02 8.990000152587890625e+01
1.997000000000000000e+03 1.017407619000941992e+02 8.169999694824218750e+01
1.998000000000000000e+03 1.019852152215854346e+02 7.859999847412109375e+01
1.999000000000000000e+03 9.856741081119157855e+01 7.050000000000000000e+01
2.000000000000000000e+03 9.344628703384599078e+01 6.600000000000000000e+01
2.001000000000000000e+03 9.293033552266160768e+01 6.519999694824218750e+01
2.002000000000000000e+03 9.189317923943674771e+01 6.370000076293945312e+01
2.003000000000000000e+03 7.956092452502002743e+01 6.359999847412109375e+01
2.004000000000000000e+03 7.555717703324162926e+01 6.359999847412109375e+01
2.005000000000000000e+03 7.326834601289084503e+01 6.020000076293945312e+01
2.006000000000000000e+03 7.629396582210185329e+01 5.450000000000000000e+01
2.007000000000000000e+03 7.467718917439452753e+01 5.290000152587890625e+01
2.008000000000000000e+03 6.738252124213715888e+01 4.700000000000000000e+01
2.009000000000000000e+03 6.526182447729523517e+01 4.579999923706054688e+01
2.010000000000000000e+03 6.114898156581123345e+01 4.379999923706054688e+01
2.011000000000000000e+03 6.031280133002562849e+01 4.329999923706054688e+01
2.012000000000000000e+03 6.034786637942668364e+01 4.120000076293945312e+01
2.013000000000000000e+03 5.856357663693903248e+01 3.900000000000000000e+01
2.014000000000000000e+03 5.804815351928381517e+01 3.720000076293945312e+01
2.015000000000000000e+03 5.777513535432353109e+01 3.579999923706054688e+01
2.016000000000000000e+03 5.477970326675222168e+01 3.559999847412109375e+01
2.017000000000000000e+03 5.231867209353116976e+01 3.290000152587890625e+01
