# year, synthetic, actual
1.970000000000000000e+03 1.214702713425095197e+02 1.003000030517578125e+02
1.971000000000000000e+03 1.251432433257232191e+02 1.040999984741210938e+02
1.972000000000000000e+03 1.306432439443227622e+02 1.039000015258789062e+02
1.973000000000000000e+03 1.327945944296347136e+02 1.080000000000000000e+02
1.974000000000000000e+03 1.359432428720835446e+02 1.096999969482421875e+02
1.975000000000000000e+03 1.385756755519557544e+02 1.148000030517578125e+02
1.976000000000000000e+03 1.431729730142129711e+02 1.190999984741210938e+02
1.977000000000000000e+03 1.427540530642947942e+02 1.225999984741210938e+02
1.978000000000000000e+03 1.413864865689664327e+02 1.273000030517578125e+02
1.979000000000000000e+03 1.388513517637510688e+02 1.265000000000000000e+02
1.980000000000000000e+03 1.385513513925913571e+02 1.318000030517578125e+02
1.981000000000000000e+03 1.388972970086175280e+02 1.286999969482421875e+02
1.982000000000000000e+03 1.373243241181244798e+02 1.274000015258789062e+02
1.983000000000000000e+03 1.321621625745619042e+02 1.280000000000000000e+02
1.984000000000000000e+03 1.255081083967879181e+02 1.230999984741210938e+02
1.985000000000000000e+03 1.234324320200327350e+02 1.258000030517578125e+02
1.986000000000000000e+03 1.201621623683620186e+02 1.260000000000000000e+02
1.987000000000000000e+03 1.173621626158018501e+02 1.223000030517578125e+02
1.988000000000000000e+03 1.127486481537690111e+02 1.215000000000000000e+02
1.989000000000000000e+03 1.091270273569467975e+02 1.183000030517578125e+02
1.990000000000000000e+03 1.052405407879803789e+02 1.130999984741210938e+02
1.991000000000000000e+03 1.038567564680769806e+02 1.168000030517578125e+02
1.992000000000000000e+03 1.025108108520508097e+02 1.260000000000000000e+02
1.993000000000000000e+03 1.020351344959155995e+02 1.138000030517578125e+02
1.994000000000000000e+03 1.015891889623693487e+02 1.088000030517578125e+02
1.995000000000000000e+03 1.025540538478542203e+02 1.130000000000000000e+02
1.996000000000000000e+03 1.006162162986961732e+02 1.106999969482421875e+02
1.997000000000000000e+03 1.009756757375356528e+02 1.086999969482421875e+02
1.998000000000000000e+03 9.988918850872971689e+01 1.095000000000000000e+02
1.999000000000000000e+03 9.660000022681984433e+01 1.048000030517578125e+02
2.000000000000000000e+03 9.111351363723343866e+01 9.940000152587890625e+01
2.001000000000000000e+03 8.815135131011139435e+01 1.016999969482421875e+02
2.002000000000000000e+03 8.648378382502377804e+01 8.719999694824218750e+01
2.003000000000000000e+03 8.607837749171902431e+01 9.159999847412109375e+01
2.004000000000000000e+03 8.046216150232265818e+01 7.980000305175781250e+01
2.005000000000000000e+03 7.935405442521376074e+01 8.209999847412109375e+01
2.006000000000000000e+03 7.674864866926863272e+01 8.140000152587890625e+01
2.007000000000000000e+03 7.470810792252824228e+01 7.840000152587890625e+01
2.008000000000000000e+03 6.914594557478621084e+01 7.700000000000000000e+01
2.009000000000000000e+03 6.612162167317158890e+01 7.259999847412109375e+01
2.010000000000000000e+03 6.025405388909417326e+01 6.320000076293945312e+01
2.011000000000000000e+03 5.825135112453150299e+01 6.109999847412109375e+01
2.012000000000000000e+03 5.645675710729649666e+01 6.050000000000000000e+01
2.013000000000000000e+03 5.445675654024691426e+01 5.750000000000000000e+01
2.014000000000000000e+03 5.211621624714618406e+01 5.440000152587890625e+01
2.015000000000000000e+03 5.178648659989639924e+01 5.400000000000000000e+01
2.016000000000000000e+03 5.024594590470597666e+01 5.420000076293945312e+01
2.017000000000000000e+03 4.856486459680505163e+01 5.240000152587890625e+01
