# year, synthetic, actual
1.970000000000000000e+03 1.236468288255456542e+02 1.248000030517578125e+02
1.971000000000000000e+03 1.270126403498504288e+02 1.255000000000000000e+02
1.972000000000000000e+03 1.333874826478286195e+02 1.343000030517578125e+02
1.973000000000000000e+03 1.312030711250304478e+02 1.378999938964843750e+02
1.974000000000000000e+03 1.313795837532972826e+02 1.328000030517578125e+02
1.975000000000000000e+03 1.328266545926275342e+02 1.310000000000000000e+02
1.976000000000000000e+03 1.359781748212496950e+02 1.341999969482421875e+02
1.977000000000000000e+03 1.355975653835155583e+02 1.320000000000000000e+02
1.978000000000000000e+03 1.352655987871663683e+02 1.291999969482421875e+02
1.979000000000000000e+03 1.301493574931657520e+02 1.315000000000000000e+02
1.980000000000000000e+03 1.307589930376230143e+02 1.310000000000000000e+02
1.981000000000000000e+03 1.310347897181780468e+02 1.338000030517578125e+02
1.982000000000000000e+03 1.290524343182073039e+02 1.305000000000000000e+02
1.983000000000000000e+03 1.242822440823590426e+02 1.253000030517578125e+02
1.984000000000000000e+03 1.175375808137254410e+02 1.196999969482421875e+02
1.985000000000000000e+03 1.134143991439839709e+02 1.124000015258789062e+02
1.986000000000000000e+03 1.103313999295482546e+02 1.099000015258789062e+02
1.987000000000000000e+03 1.055861833390501658e+02 1.024000015258789062e+02
1.988000000000000000e+03 1.004137740104836354e+02 9.459999847412109375e+01
1.989000000000000000e+03 9.690771514971987699e+01 8.880000305175781250e+01
1.990000000000000000e+03 9.247027842088006366e+01 8.740000152587890625e+01
1.991000000000000000e+03 8.953729556289010816e+01 9.019999694824218750e+01
1.992000000000000000e+03 9.114991027463996431e+01 8.830000305175781250e+01
1.993000000000000000e+03 9.105302088770730506e+01 8.859999847412109375e+01
1.994000000000000000e+03 9.204524148221106827e+01 8.909999847412109375e+01
1.995000000000000000e+03 9.305995065127635257e+01 8.540000152587890625e+01
1.996000000000000000e+03 9.157285639436874192e+01 8.309999847412109375e+01
1.997000000000000000e+03 9.156971491062309099e+01 8.130000305175781250e+01
1.998000000000000000e+03 9.290749090953170253e+01 8.119999694824218750e+01
1.999000000000000000e+03 9.004811838131544732e+01 7.959999847412109375e+01
2.000000000000000000e+03 8.330351008882165331e+01 7.300000000000000000e+01
2.001000000000000000e+03 8.194858543508870241e+01 7.040000152587890625e+01
2.002000000000000000e+03 8.094904279013378812e+01 6.619999694824218750e+01
2.003000000000000000e+03 8.601808008173118480e+01 6.379999923706054688e+01
2.004000000000000000e+03 7.693155771330930293e+01 6.070000076293945312e+01
2.005000000000000000e+03 7.490958493741993607e+01 5.790000152587890625e+01
2.006000000000000000e+03 7.147121804968014658e+01 5.309999847412109375e+01
2.007000000000000000e+03 7.110604607739706751e+01 5.109999847412109375e+01
2.008000000000000000e+03 6.213578869336234334e+01 4.840000152587890625e+01
2.009000000000000000e+03 5.937738781630235962e+01 4.600000000000000000e+01
2.010000000000000000e+03 5.184207564701343784e+01 4.140000152587890625e+01
2.011000000000000000e+03 4.845049536424736658e+01 4.059999847412109375e+01
2.012000000000000000e+03 4.811272306382207375e+01 4.059999847412109375e+01
2.013000000000000000e+03 4.599505322775835481e+01 3.829999923706054688e+01
2.014000000000000000e+03 4.408135529684926013e+01 3.670000076293945312e+01
2.015000000000000000e+03 4.399507909660581362e+01 3.629999923706054688e+01
2.016000000000000000e+03 4.320392477546576515e+01 3.579999923706054688e+01
2.017000000000000000e+03 4.270326998735807678e+01 3.450000000000000000e+01
