# year, synthetic, actual
1.970000000000000000e+03 1.492305135273985854e+02 1.550000000000000000e+02
1.971000000000000000e+03 1.540137431387631182e+02 1.611000061035156250e+02
1.972000000000000000e+03 1.573418629399116924e+02 1.563000030517578125e+02
1.973000000000000000e+03 1.508916467368735255e+02 1.546999969482421875e+02
1.974000000000000000e+03 1.504207938034379879e+02 1.513000030517578125e+02
1.975000000000000000e+03 1.506098792259680010e+02 1.476000061035156250e+02
1.976000000000000000e+03 1.564105624374314232e+02 1.530000000000000000e+02
1.977000000000000000e+03 1.563494307318549943e+02 1.533000030517578125e+02
1.978000000000000000e+03 1.578183955057729406e+02 1.555000000000000000e+02
1.979000000000000000e+03 1.546189059496251161e+02 1.501999969482421875e+02
1.980000000000000000e+03 1.554165039322360258e+02 1.505000000000000000e+02
1.981000000000000000e+03 1.543905376418673541e+02 1.526000061035156250e+02
1.982000000000000000e+03 1.542866685215971643e+02 1.541000061035156250e+02
1.983000000000000000e+03 1.497306046968092801e+02 1.496000061035156250e+02
1.984000000000000000e+03 1.439735994197676803e+02 1.440000000000000000e+02
1.985000000000000000e+03 1.409658613277930499e+02 1.445000000000000000e+02
1.986000000000000000e+03 1.396454859897450547e+02 1.423999938964843750e+02
1.987000000000000000e+03 1.381180549165976856e+02 1.410000000000000000e+02
1.988000000000000000e+03 1.335212380362697502e+02 1.371000061035156250e+02
1.989000000000000000e+03 1.290117775997881324e+02 1.316999969482421875e+02
1.990000000000000000e+03 1.225754097502093884e+02 1.271999969482421875e+02
1.991000000000000000e+03 1.192591587366309511e+02 1.188000030517578125e+02
1.992000000000000000e+03 1.183208133520312657e+02 1.200000000000000000e+02
1.993000000000000000e+03 1.165698214068716396e+02 1.238000030517578125e+02
1.994000000000000000e+03 1.172668966569069369e+02 1.260999984741210938e+02
1.995000000000000000e+03 1.206736875527377748e+02 1.271999969482421875e+02
1.996000000000000000e+03 1.172639718197643219e+02 1.283000030517578125e+02
1.997000000000000000e+03 1.212168489441256298e+02 1.240999984741210938e+02
1.998000000000000000e+03 1.193236454144017529e+02 1.328000030517578125e+02
1.999000000000000000e+03 1.169811663961079802e+02 1.395000000000000000e+02
2.000000000000000000e+03 1.089887378508950349e+02 1.406999969482421875e+02
2.001000000000000000e+03 1.069220147395983673e+02 1.413999938964843750e+02
2.002000000000000000e+03 1.034727480492694980e+02 1.423999938964843750e+02
2.003000000000000000e+03 1.009377432072552807e+02 1.841999969482421875e+02
2.004000000000000000e+03 9.788409010571044178e+01 1.760000000000000000e+02
2.005000000000000000e+03 9.851057663088643324e+01 1.788000030517578125e+02
2.006000000000000000e+03 8.296345319246798056e+01 1.836000061035156250e+02
2.007000000000000000e+03 8.003336228868950286e+01 1.851999969482421875e+02
2.008000000000000000e+03 7.405717583066956422e+01 1.333000030517578125e+02
2.009000000000000000e+03 7.214599755241933110e+01 1.228000030517578125e+02
2.010000000000000000e+03 6.654797773748542511e+01 9.500000000000000000e+01
2.011000000000000000e+03 6.372201118089357408e+01 8.759999847412109375e+01
2.012000000000000000e+03 6.302467746089495648e+01 8.490000152587890625e+01
2.013000000000000000e+03 6.131108973601482148e+01 7.709999847412109375e+01
2.014000000000000000e+03 6.045210447896165107e+01 7.119999694824218750e+01
2.015000000000000000e+03 5.953293175491798905e+01 7.009999847412109375e+01
2.016000000000000000e+03 5.860403877412190354e+01 6.809999847412109375e+01
2.017000000000000000e+03 5.723292991251852868e+01 7.259999847412109375e+01
