# year, synthetic, actual
1.970000000000000000e+03 1.212108119242900415e+02 8.209999847412109375e+01
1.971000000000000000e+03 1.248297298534496775e+02 8.500000000000000000e+01
1.972000000000000000e+03 1.302891899315087016e+02 8.159999847412109375e+01
1.973000000000000000e+03 1.324756754282358600e+02 7.919999694824218750e+01
1.974000000000000000e+03 1.355648644937051586e+02 8.930000305175781250e+01
1.975000000000000000e+03 1.383567566742768236e+02 9.240000152587890625e+01
1.976000000000000000e+03 1.429891891479492472e+02 9.940000152587890625e+01
1.977000000000000000e+03 1.426108097385715894e+02 9.509999847412109375e+01
1.978000000000000000e+03 1.412972972972973196e+02 9.319999694824218750e+01
1.979000000000000000e+03 1.387297301421294549e+02 8.880000305175781250e+01
1.980000000000000000e+03 1.384918920156118247e+02 8.940000152587890625e+01
1.981000000000000000e+03 1.388162159275364615e+02 8.559999847412109375e+01
1.982000000000000000e+03 1.372216215391416938e+02 7.769999694824218750e+01
1.983000000000000000e+03 1.321459461933857824e+02 8.000000000000000000e+01
1.984000000000000000e+03 1.254216217865815253e+02 7.569999694824218750e+01
1.985000000000000000e+03 1.233513509389516400e+02 6.980000305175781250e+01
1.986000000000000000e+03 1.200810812872809379e+02 6.120000076293945312e+01
1.987000000000000000e+03 1.171729734266126570e+02 5.470000076293945312e+01
1.988000000000000000e+03 1.126783779247386974e+02 5.559999847412109375e+01
1.989000000000000000e+03 1.091594599130991412e+02 5.740000152587890625e+01
1.990000000000000000e+03 1.052216217453415368e+02 4.890000152587890625e+01
1.991000000000000000e+03 1.040513511863914857e+02 5.470000076293945312e+01
1.992000000000000000e+03 1.029648649885848073e+02 5.129999923706054688e+01
1.993000000000000000e+03 1.021594589851998052e+02 5.240000152587890625e+01
1.994000000000000000e+03 1.016162159893963803e+02 4.420000076293945312e+01
1.995000000000000000e+03 1.028972970086174996e+02 4.570000076293945312e+01
1.996000000000000000e+03 1.008324325149123695e+02 5.159999847412109375e+01
1.997000000000000000e+03 1.011945946152146121e+02 4.909999847412109375e+01
1.998000000000000000e+03 1.001324317519729590e+02 3.550000000000000000e+01
1.999000000000000000e+03 9.680810845864786529e+01 3.250000000000000000e+01
2.000000000000000000e+03 9.141891912511877649e+01 3.189999961853027344e+01
2.001000000000000000e+03 8.857837821341850315e+01 4.279999923706054688e+01
2.002000000000000000e+03 8.669189185065194181e+01 5.109999847412109375e+01
2.003000000000000000e+03 8.630810722144875058e+01 5.120000076293945312e+01
2.004000000000000000e+03 8.077837784225877726e+01 4.740000152587890625e+01
2.005000000000000000e+03 7.967567608807536317e+01 4.700000000000000000e+01
2.006000000000000000e+03 7.710540554974531346e+01 4.800000000000000000e+01
2.007000000000000000e+03 7.507837831651842464e+01 4.370000076293945312e+01
2.008000000000000000e+03 6.956216183224239558e+01 4.400000000000000000e+01
2.009000000000000000e+03 6.649459462552458433e+01 4.109999847412109375e+01
2.010000000000000000e+03 6.046756744384765625e+01 3.620000076293945312e+01
2.011000000000000000e+03 5.843513488769530539e+01 3.290000152587890625e+01
2.012000000000000000e+03 5.665675714853647094e+01 2.979999923706054688e+01
2.013000000000000000e+03 5.466216190441235057e+01 2.700000000000000000e+01
2.014000000000000000e+03 5.226216223433210217e+01 2.539999961853027344e+01
2.015000000000000000e+03 5.196756770159746708e+01 2.679999923706054688e+01
2.016000000000000000e+03 5.043243243243243512e+01 2.539999961853027344e+01
2.017000000000000000e+03 4.874864846306877553e+01 2.510000038146972656e+01
