# year, synthetic, actual
1.970000000000000000e+03 1.245718902402392843e+02 1.248000030517578125e+02
1.971000000000000000e+03 1.251933816863399045e+02 1.255999984741210938e+02
1.972000000000000000e+03 1.265807085949959259e+02 1.265999984741210938e+02
1.973000000000000000e+03 1.266533189154236823e+02 1.244000015258789062e+02
1.974000000000000000e+03 1.295852027353493270e+02 1.318999938964843750e+02
1.975000000000000000e+03 1.315749303680822493e+02 1.318000030517578125e+02
1.976000000000000000e+03 1.344035031105623261e+02 1.343999938964843750e+02
1.977000000000000000e+03 1.358471134637836997e+02 1.340000000000000000e+02
1.978000000000000000e+03 1.355694961583546103e+02 1.366999969482421875e+02
1.979000000000000000e+03 1.344004351040703398e+02 1.353000030517578125e+02
1.980000000000000000e+03 1.346441069459598339e+02 1.351999969482421875e+02
1.981000000000000000e+03 1.342264448994952488e+02 1.330000000000000000e+02
1.982000000000000000e+03 1.326888287152852399e+02 1.306999969482421875e+02
1.983000000000000000e+03 1.271867668817789081e+02 1.279000015258789062e+02
1.984000000000000000e+03 1.226391398058427740e+02 1.240000000000000000e+02
1.985000000000000000e+03 1.195585458490789534e+02 1.215999984741210938e+02
1.986000000000000000e+03 1.174345501795799862e+02 1.181999969482421875e+02
1.987000000000000000e+03 1.124793540804543426e+02 1.095000000000000000e+02
1.988000000000000000e+03 1.100297354866404191e+02 1.075999984741210938e+02
1.989000000000000000e+03 1.048352290318845093e+02 1.045999984741210938e+02
1.990000000000000000e+03 9.459385661193519468e+01 9.409999847412109375e+01
1.991000000000000000e+03 9.231448365925663779e+01 9.609999847412109375e+01
1.992000000000000000e+03 9.066506993593287689e+01 9.480000305175781250e+01
1.993000000000000000e+03 8.865750526302771561e+01 9.459999847412109375e+01
1.994000000000000000e+03 8.739026950673334682e+01 8.569999694824218750e+01
1.995000000000000000e+03 8.870369631608762973e+01 8.430000305175781250e+01
1.996000000000000000e+03 8.602978820284698713e+01 8.180000305175781250e+01
1.997000000000000000e+03 8.667657754559367334e+01 7.959999847412109375e+01
1.998000000000000000e+03 8.591424547688779967e+01 8.030000305175781250e+01
1.999000000000000000e+03 8.286753631787338747e+01 7.219999694824218750e+01
2.000000000000000000e+03 7.858221255348863110e+01 7.000000000000000000e+01
2.001000000000000000e+03 7.523420243964889664e+01 6.709999847412109375e+01
2.002000000000000000e+03 7.270392436606523745e+01 7.090000152587890625e+01
2.003000000000000000e+03 7.123901073368280379e+01 5.140000152587890625e+01
2.004000000000000000e+03 6.094147881765304220e+01 6.000000000000000000e+01
2.005000000000000000e+03 5.941844139827669835e+01 5.220000076293945312e+01
2.006000000000000000e+03 5.770981758011793517e+01 5.150000000000000000e+01
2.007000000000000000e+03 5.652900300937271538e+01 4.859999847412109375e+01
2.008000000000000000e+03 5.288488358507773057e+01 4.790000152587890625e+01
2.009000000000000000e+03 5.158806203655488076e+01 4.520000076293945312e+01
2.010000000000000000e+03 4.553781192468239425e+01 4.409999847412109375e+01
2.011000000000000000e+03 4.363870669322446361e+01 4.529999923706054688e+01
2.012000000000000000e+03 4.133250032512198402e+01 4.650000000000000000e+01
2.013000000000000000e+03 3.986409689212335650e+01 3.170000076293945312e+01
2.014000000000000000e+03 3.854694302557199137e+01 3.359999847412109375e+01
2.015000000000000000e+03 3.795459168435516517e+01 3.340000152587890625e+01
2.016000000000000000e+03 3.718797583561077147e+01 3.150000000000000000e+01
2.017000000000000000e+03 3.564338969863610629e+01 3.070000076293945312e+01
