# year, synthetic, actual
1.970000000000000000e+03 1.330031994170742564e+02 1.346000061035156250e+02
1.971000000000000000e+03 1.399643739478341615e+02 1.393000030517578125e+02
1.972000000000000000e+03 1.510228732397446834e+02 1.491999969482421875e+02
1.973000000000000000e+03 1.549510695104542322e+02 1.560000000000000000e+02
1.974000000000000000e+03 1.579175134844900583e+02 1.596000061035156250e+02
1.975000000000000000e+03 1.618948551076749709e+02 1.623999938964843750e+02
1.976000000000000000e+03 1.681360425236043170e+02 1.666000061035156250e+02
1.977000000000000000e+03 1.638915327539910152e+02 1.730000000000000000e+02
1.978000000000000000e+03 1.575314502937631573e+02 1.508999938964843750e+02
1.979000000000000000e+03 1.528142771196252454e+02 1.488999938964843750e+02
1.980000000000000000e+03 1.499731114454779970e+02 1.468999938964843750e+02
1.981000000000000000e+03 1.484320127151900977e+02 1.485000000000000000e+02
1.982000000000000000e+03 1.490225545952877724e+02 1.476999969482421875e+02
1.983000000000000000e+03 1.443742158462602561e+02 1.430000000000000000e+02
1.984000000000000000e+03 1.373451119401246103e+02 1.378000030517578125e+02
1.985000000000000000e+03 1.355338501706800969e+02 1.353000030517578125e+02
1.986000000000000000e+03 1.347501187099391586e+02 1.376000061035156250e+02
1.987000000000000000e+03 1.296633904087350118e+02 1.340000000000000000e+02
1.988000000000000000e+03 1.199684634146923230e+02 1.340000000000000000e+02
1.989000000000000000e+03 1.179123546195359467e+02 1.325000000000000000e+02
1.990000000000000000e+03 1.162122716241868972e+02 1.283000030517578125e+02
1.991000000000000000e+03 1.142936102977787698e+02 1.271999969482421875e+02
1.992000000000000000e+03 1.119715067410938047e+02 1.281999969482421875e+02
1.993000000000000000e+03 1.129656532275361513e+02 1.268000030517578125e+02
1.994000000000000000e+03 1.060844549002547410e+02 1.281999969482421875e+02
1.995000000000000000e+03 1.076009368968253597e+02 1.353999938964843750e+02
1.996000000000000000e+03 1.097332911505768891e+02 1.351000061035156250e+02
1.997000000000000000e+03 1.060863821746932274e+02 1.353000030517578125e+02
1.998000000000000000e+03 1.055551458627938644e+02 1.358999938964843750e+02
1.999000000000000000e+03 9.827823430344052724e+01 1.333000030517578125e+02
2.000000000000000000e+03 9.234670656244905729e+01 1.255000000000000000e+02
2.001000000000000000e+03 8.872439713500513392e+01 1.214000015258789062e+02
2.002000000000000000e+03 8.578169323440265259e+01 1.214000015258789062e+02
2.003000000000000000e+03 8.819297562982947625e+01 1.010999984741210938e+02
2.004000000000000000e+03 8.024186655508766819e+01 9.769999694824218750e+01
2.005000000000000000e+03 7.950879356356398375e+01 9.609999847412109375e+01
2.006000000000000000e+03 7.731008177338883058e+01 9.869999694824218750e+01
2.007000000000000000e+03 7.194900058363644746e+01 1.023000030517578125e+02
2.008000000000000000e+03 6.813983356803889535e+01 8.169999694824218750e+01
2.009000000000000000e+03 6.586595027064159069e+01 7.890000152587890625e+01
2.010000000000000000e+03 6.119520913605811074e+01 7.169999694824218750e+01
2.011000000000000000e+03 5.996059087051015979e+01 6.959999847412109375e+01
2.012000000000000000e+03 5.869452495856500462e+01 6.600000000000000000e+01
2.013000000000000000e+03 5.583213149655383489e+01 6.690000152587890625e+01
2.014000000000000000e+03 5.422877075118519485e+01 6.359999847412109375e+01
2.015000000000000000e+03 5.248212166516499622e+01 6.270000076293945312e+01
2.016000000000000000e+03 5.233138164940978498e+01 6.240000152587890625e+01
2.017000000000000000e+03 4.976127157460049233e+01 6.120000076293945312e+01
