# year, synthetic, actual
1.970000000000000000e+03 1.211000011541606085e+02 1.140000000000000000e+02
1.971000000000000000e+03 1.251783783365532656e+02 1.028000030517578125e+02
1.972000000000000000e+03 1.304513520930295272e+02 1.110000000000000000e+02
1.973000000000000000e+03 1.325999999168638510e+02 1.151999969482421875e+02
1.974000000000000000e+03 1.357027022897781308e+02 1.185999984741210938e+02
1.975000000000000000e+03 1.383432431600970176e+02 1.234000015258789062e+02
1.976000000000000000e+03 1.429405406222728914e+02 1.276999969482421875e+02
1.977000000000000000e+03 1.426108097380044057e+02 1.279000015258789062e+02
1.978000000000000000e+03 1.413918920977653215e+02 1.270999984741210938e+02
1.979000000000000000e+03 1.388540544250158177e+02 1.264000015258789062e+02
1.980000000000000000e+03 1.386783785427795692e+02 1.270999984741210938e+02
1.981000000000000000e+03 1.388081077366785223e+02 1.320000000000000000e+02
1.982000000000000000e+03 1.372297297291190148e+02 1.308999938964843750e+02
1.983000000000000000e+03 1.321729734258743463e+02 1.275999984741210938e+02
1.984000000000000000e+03 1.255459462752724846e+02 1.216999969482421875e+02
1.985000000000000000e+03 1.237054051575175606e+02 1.156999969482421875e+02
1.986000000000000000e+03 1.206108109752541537e+02 1.094000015258789062e+02
1.987000000000000000e+03 1.178243249429230559e+02 1.051999969482421875e+02
1.988000000000000000e+03 1.132432428297887128e+02 1.031999969482421875e+02
1.989000000000000000e+03 1.097162166279719315e+02 9.650000000000000000e+01
1.990000000000000000e+03 1.057486487716050050e+02 9.430000305175781250e+01
1.991000000000000000e+03 1.045324321431236712e+02 9.180000305175781250e+01
1.992000000000000000e+03 1.034837838245960313e+02 9.000000000000000000e+01
1.993000000000000000e+03 1.026810804828503763e+02 8.990000152587890625e+01
1.994000000000000000e+03 1.021216215182630549e+02 8.909999847412109375e+01
1.995000000000000000e+03 1.031729728072973700e+02 9.009999847412109375e+01
1.996000000000000000e+03 1.012108108928615451e+02 8.869999694824218750e+01
1.997000000000000000e+03 1.015027027643740354e+02 8.919999694824218750e+01
1.998000000000000000e+03 1.004810804402946616e+02 8.759999847412109375e+01
1.999000000000000000e+03 9.718108130667810940e+01 8.330000305175781250e+01
2.000000000000000000e+03 9.164324332448732946e+01 7.980000305175781250e+01
2.001000000000000000e+03 8.878918910546607890e+01 7.809999847412109375e+01
2.002000000000000000e+03 8.674594590371916070e+01 7.750000000000000000e+01
2.003000000000000000e+03 8.691351256352285759e+01 6.070000076293945312e+01
2.004000000000000000e+03 8.109729673917297532e+01 5.629999923706054688e+01
2.005000000000000000e+03 8.008918947646479580e+01 5.490000152587890625e+01
2.006000000000000000e+03 7.745135137088982447e+01 5.540000152587890625e+01
2.007000000000000000e+03 7.539189178766230270e+01 5.309999847412109375e+01
2.008000000000000000e+03 6.982972933702774299e+01 5.170000076293945312e+01
2.009000000000000000e+03 6.675675680720887328e+01 4.909999847412109375e+01
2.010000000000000000e+03 6.074054037477536383e+01 4.520000076293945312e+01
2.011000000000000000e+03 5.878918889936230840e+01 4.120000076293945312e+01
2.012000000000000000e+03 5.692973007929472118e+01 4.300000000000000000e+01
2.013000000000000000e+03 5.490270248520620555e+01 4.100000000000000000e+01
2.014000000000000000e+03 5.251891899003967268e+01 3.950000000000000000e+01
2.015000000000000000e+03 5.218378391682670525e+01 3.929999923706054688e+01
2.016000000000000000e+03 5.072702696414439316e+01 3.640000152587890625e+01
2.017000000000000000e+03 4.904864842084272425e+01 3.450000000000000000e+01
