# year, synthetic, actual
1.970000000000000000e+03 1.871485018741540785e+02 1.558000030517578125e+02
1.971000000000000000e+03 1.936847634586461879e+02 1.635000000000000000e+02
1.972000000000000000e+03 2.093597098533948042e+02 1.793999938964843750e+02
1.973000000000000000e+03 2.064318488100519176e+02 2.018999938964843750e+02
1.974000000000000000e+03 2.050266275828301730e+02 2.123999938964843750e+02
1.975000000000000000e+03 2.067419220556945447e+02 2.230000000000000000e+02
1.976000000000000000e+03 2.249581337577358795e+02 2.308999938964843750e+02
1.977000000000000000e+03 2.187473982905217724e+02 2.293999938964843750e+02
1.978000000000000000e+03 2.107550433404341277e+02 2.246999969482421875e+02
1.979000000000000000e+03 2.031655712407423664e+02 2.148999938964843750e+02
1.980000000000000000e+03 2.004825316666205026e+02 2.153000030517578125e+02
1.981000000000000000e+03 2.006075914316546971e+02 2.096999969482421875e+02
1.982000000000000000e+03 1.972582018216962467e+02 2.106000061035156250e+02
1.983000000000000000e+03 1.894799063056417765e+02 2.011000061035156250e+02
1.984000000000000000e+03 1.762360111899120909e+02 1.831999969482421875e+02
1.985000000000000000e+03 1.700307873457396681e+02 1.823999938964843750e+02
1.986000000000000000e+03 1.603844680433243752e+02 1.798000030517578125e+02
1.987000000000000000e+03 1.584317200699026102e+02 1.711999969482421875e+02
1.988000000000000000e+03 1.520205211282919606e+02 1.731999969482421875e+02
1.989000000000000000e+03 1.443558435147085959e+02 1.716000061035156250e+02
1.990000000000000000e+03 1.369752195391533860e+02 1.825000000000000000e+02
1.991000000000000000e+03 1.316807249314484238e+02 1.708000030517578125e+02
1.992000000000000000e+03 1.342585330601978910e+02 1.676000061035156250e+02
1.993000000000000000e+03 1.314990743474616579e+02 1.676000061035156250e+02
1.994000000000000000e+03 1.354109985559632321e+02 1.701999969482421875e+02
1.995000000000000000e+03 1.391229290360341793e+02 1.753000030517578125e+02
1.996000000000000000e+03 1.275345947216918461e+02 1.790000000000000000e+02
1.997000000000000000e+03 1.322973099916501099e+02 1.868000030517578125e+02
1.998000000000000000e+03 1.316424224755046168e+02 1.713000030517578125e+02
1.999000000000000000e+03 1.291032659622362928e+02 1.653000030517578125e+02
2.000000000000000000e+03 1.152426896005141117e+02 1.561999969482421875e+02
2.001000000000000000e+03 1.131548904612381534e+02 1.526000061035156250e+02
2.002000000000000000e+03 1.104114564258318865e+02 1.408000030517578125e+02
2.003000000000000000e+03 1.087082914584787261e+02 1.758000030517578125e+02
2.004000000000000000e+03 1.049249617968187209e+02 1.743999938964843750e+02
2.005000000000000000e+03 9.759515006114206415e+01 1.818000030517578125e+02
2.006000000000000000e+03 9.619682052824491336e+01 1.453000030517578125e+02
2.007000000000000000e+03 8.927771448138476273e+01 1.418999938964843750e+02
2.008000000000000000e+03 7.952141658124087087e+01 1.418999938964843750e+02
2.009000000000000000e+03 7.943762993947892426e+01 1.264000015258789062e+02
2.010000000000000000e+03 6.998300767907187492e+01 1.106999969482421875e+02
2.011000000000000000e+03 6.863743442154826369e+01 1.036999969482421875e+02
2.012000000000000000e+03 6.744171986214276160e+01 1.000999984741210938e+02
2.013000000000000000e+03 6.352596656125933094e+01 9.350000000000000000e+01
2.014000000000000000e+03 6.304385934491352117e+01 8.900000000000000000e+01
2.015000000000000000e+03 6.259278538546514881e+01 8.450000000000000000e+01
2.016000000000000000e+03 6.180303837327674898e+01 8.700000000000000000e+01
2.017000000000000000e+03 5.930471517350765254e+01 8.559999847412109375e+01
