# year, synthetic, actual
1.970000000000000000e+03 1.209131509361860424e+02 1.243000030517578125e+02
1.971000000000000000e+03 1.245894654040326230e+02 1.214000015258789062e+02
1.972000000000000000e+03 1.299394656623213109e+02 1.179000015258789062e+02
1.973000000000000000e+03 1.321420961870054214e+02 1.211999969482421875e+02
1.974000000000000000e+03 1.352526226751093361e+02 1.243000030517578125e+02
1.975000000000000000e+03 1.379499906563448803e+02 1.260999984741210938e+02
1.976000000000000000e+03 1.425394637810617553e+02 1.169000015258789062e+02
1.977000000000000000e+03 1.422236741217679992e+02 1.189000015258789062e+02
1.978000000000000000e+03 1.410157816318969424e+02 1.205000000000000000e+02
1.979000000000000000e+03 1.385263088799220554e+02 1.181999969482421875e+02
1.980000000000000000e+03 1.383736751804460994e+02 1.205000000000000000e+02
1.981000000000000000e+03 1.386289391993378501e+02 1.231999969482421875e+02
1.982000000000000000e+03 1.370631483603569336e+02 1.223000030517578125e+02
1.983000000000000000e+03 1.320526221733067871e+02 1.198000030517578125e+02
1.984000000000000000e+03 1.254447282754018858e+02 1.160000000000000000e+02
1.985000000000000000e+03 1.234947285137517952e+02 1.171999969482421875e+02
1.986000000000000000e+03 1.203157815626689313e+02 1.158000030517578125e+02
1.987000000000000000e+03 1.174921002944453647e+02 1.138000030517578125e+02
1.988000000000000000e+03 1.129789365233517202e+02 1.116999969482421875e+02
1.989000000000000000e+03 1.093684132665758426e+02 1.044000015258789062e+02
1.990000000000000000e+03 1.054473600307273529e+02 9.940000152587890625e+01
1.991000000000000000e+03 1.041973602448434377e+02 9.350000000000000000e+01
1.992000000000000000e+03 1.031289404904059808e+02 9.050000000000000000e+01
1.993000000000000000e+03 1.023447302423374765e+02 8.409999847412109375e+01
1.994000000000000000e+03 1.017789411347924045e+02 7.700000000000000000e+01
1.995000000000000000e+03 1.028289388078392790e+02 7.690000152587890625e+01
1.996000000000000000e+03 1.008815720902097155e+02 7.459999847412109375e+01
1.997000000000000000e+03 1.011789416900825671e+02 6.669999694824218750e+01
1.998000000000000000e+03 1.001420922402468676e+02 6.359999847412109375e+01
1.999000000000000000e+03 9.681577927302200237e+01 6.040000152587890625e+01
2.000000000000000000e+03 9.133156878399155687e+01 5.829999923706054688e+01
2.001000000000000000e+03 8.850788437189895319e+01 5.479999923706054688e+01
2.002000000000000000e+03 8.650262262793341961e+01 5.550000000000000000e+01
2.003000000000000000e+03 8.622367228122683969e+01 4.750000000000000000e+01
2.004000000000000000e+03 8.044472592563495539e+01 4.359999847412109375e+01
2.005000000000000000e+03 7.942630571403677209e+01 4.270000076293945312e+01
2.006000000000000000e+03 7.687104385614097168e+01 4.409999847412109375e+01
2.007000000000000000e+03 7.480525404641043963e+01 4.300000000000000000e+01
2.008000000000000000e+03 6.935262345429669040e+01 4.309999847412109375e+01
2.009000000000000000e+03 6.629209677511333609e+01 3.459999847412109375e+01
2.010000000000000000e+03 6.033157196984392812e+01 3.370000076293945312e+01
2.011000000000000000e+03 5.832630714661819127e+01 3.420000076293945312e+01
2.012000000000000000e+03 5.656315075209658971e+01 3.350000000000000000e+01
2.013000000000000000e+03 5.453683440865469834e+01 3.220000076293945312e+01
2.014000000000000000e+03 5.217630818669928061e+01 2.710000038146972656e+01
2.015000000000000000e+03 5.184472959809701820e+01 2.589999961853027344e+01
2.016000000000000000e+03 5.034999251459739611e+01 2.560000038146972656e+01
2.017000000000000000e+03 4.866578210707845642e+01 2.429999923706054688e+01
