# year, synthetic, actual
1.970000000000000000e+03 1.238546351865573172e+02 1.235000000000000000e+02
1.971000000000000000e+03 1.262486091151353946e+02 1.266999969482421875e+02
1.972000000000000000e+03 1.334799828531615731e+02 1.331999969482421875e+02
1.973000000000000000e+03 1.362574201928556192e+02 1.373000030517578125e+02
1.974000000000000000e+03 1.389531275098693754e+02 1.448000030517578125e+02
1.975000000000000000e+03 1.411435855740951979e+02 1.461000061035156250e+02
1.976000000000000000e+03 1.406883628580952177e+02 1.371000061035156250e+02
1.977000000000000000e+03 1.391563392136393134e+02 1.356999969482421875e+02
1.978000000000000000e+03 1.381381890425989809e+02 1.341000061035156250e+02
1.979000000000000000e+03 1.358461621518199536e+02 1.318999938964843750e+02
1.980000000000000000e+03 1.355431771921368522e+02 1.315000000000000000e+02
1.981000000000000000e+03 1.358042709423076246e+02 1.371000061035156250e+02
1.982000000000000000e+03 1.323622748501708202e+02 1.313000030517578125e+02
1.983000000000000000e+03 1.263051649439735655e+02 1.281999969482421875e+02
1.984000000000000000e+03 1.211185946577751196e+02 1.225000000000000000e+02
1.985000000000000000e+03 1.212873412923501775e+02 1.219000015258789062e+02
1.986000000000000000e+03 1.206119345153418294e+02 1.218000030517578125e+02
1.987000000000000000e+03 1.174304487514667983e+02 1.193000030517578125e+02
1.988000000000000000e+03 1.168561332151771381e+02 1.150000000000000000e+02
1.989000000000000000e+03 1.086820933236699034e+02 1.090000000000000000e+02
1.990000000000000000e+03 1.019111269110417766e+02 1.028000030517578125e+02
1.991000000000000000e+03 9.752879993438999406e+01 9.759999847412109375e+01
1.992000000000000000e+03 9.592077148551943822e+01 9.169999694824218750e+01
1.993000000000000000e+03 9.451883082818447690e+01 8.259999847412109375e+01
1.994000000000000000e+03 9.427376783718409570e+01 8.080000305175781250e+01
1.995000000000000000e+03 9.041098562835480834e+01 7.709999847412109375e+01
1.996000000000000000e+03 8.915181003640539359e+01 7.500000000000000000e+01
1.997000000000000000e+03 8.943925606931188099e+01 7.269999694824218750e+01
1.998000000000000000e+03 8.916943458347749640e+01 7.200000000000000000e+01
1.999000000000000000e+03 8.915944327459546059e+01 7.140000152587890625e+01
2.000000000000000000e+03 8.414480802862213693e+01 5.770000076293945312e+01
2.001000000000000000e+03 8.205603011953152759e+01 5.809999847412109375e+01
2.002000000000000000e+03 7.865655020301092293e+01 5.600000000000000000e+01
2.003000000000000000e+03 8.216483578101036755e+01 4.950000000000000000e+01
2.004000000000000000e+03 7.440408325956575197e+01 4.890000152587890625e+01
2.005000000000000000e+03 7.055170811369941930e+01 4.870000076293945312e+01
2.006000000000000000e+03 7.038191992307025657e+01 4.890000152587890625e+01
2.007000000000000000e+03 6.893551314126744956e+01 4.829999923706054688e+01
2.008000000000000000e+03 5.974462194918200453e+01 4.329999923706054688e+01
2.009000000000000000e+03 5.620203205550802039e+01 3.540000152587890625e+01
2.010000000000000000e+03 4.783050191835316411e+01 3.500000000000000000e+01
2.011000000000000000e+03 4.527040636991703337e+01 3.459999847412109375e+01
2.012000000000000000e+03 4.410436990538877922e+01 3.440000152587890625e+01
2.013000000000000000e+03 4.229955271078779333e+01 3.259999847412109375e+01
2.014000000000000000e+03 4.104367345682494062e+01 3.160000038146972656e+01
2.015000000000000000e+03 4.152499078017279999e+01 3.039999961853027344e+01
2.016000000000000000e+03 3.827865258157813599e+01 3.039999961853027344e+01
2.017000000000000000e+03 3.892262756439325955e+01 2.920000076293945312e+01
