# year, synthetic, actual
1.970000000000000000e+03 1.284536985725723639e+02 1.285000000000000000e+02
1.971000000000000000e+03 1.325036057892510541e+02 1.331999969482421875e+02
1.972000000000000000e+03 1.378346795592225646e+02 1.365000000000000000e+02
1.973000000000000000e+03 1.379570718686764508e+02 1.380000000000000000e+02
1.974000000000000000e+03 1.401124853044473468e+02 1.421000061035156250e+02
1.975000000000000000e+03 1.407450360830002296e+02 1.406999969482421875e+02
1.976000000000000000e+03 1.452929917020113635e+02 1.448999938964843750e+02
1.977000000000000000e+03 1.455028883544561893e+02 1.456000061035156250e+02
1.978000000000000000e+03 1.439119646857116095e+02 1.438999938964843750e+02
1.979000000000000000e+03 1.407373828252943326e+02 1.385000000000000000e+02
1.980000000000000000e+03 1.406741191376540314e+02 1.411999969482421875e+02
1.981000000000000000e+03 1.396436683379422448e+02 1.388999938964843750e+02
1.982000000000000000e+03 1.398893236665149402e+02 1.395000000000000000e+02
1.983000000000000000e+03 1.356239210851337305e+02 1.353999938964843750e+02
1.984000000000000000e+03 1.306080443662401365e+02 1.355000000000000000e+02
1.985000000000000000e+03 1.288440746687333558e+02 1.279000015258789062e+02
1.986000000000000000e+03 1.204030098400880604e+02 1.190000000000000000e+02
1.987000000000000000e+03 1.251451657789105241e+02 1.250000000000000000e+02
1.988000000000000000e+03 1.204060929775136515e+02 1.250000000000000000e+02
1.989000000000000000e+03 1.170410015618064961e+02 1.224000015258789062e+02
1.990000000000000000e+03 1.120005879770769610e+02 1.175000000000000000e+02
1.991000000000000000e+03 1.089406563746708940e+02 1.160999984741210938e+02
1.992000000000000000e+03 1.084745009808849261e+02 1.146999969482421875e+02
1.993000000000000000e+03 1.081365841900221199e+02 1.085000000000000000e+02
1.994000000000000000e+03 1.059997564263436090e+02 1.015999984741210938e+02
1.995000000000000000e+03 1.107403926354027419e+02 1.023000030517578125e+02
1.996000000000000000e+03 1.083712995872647440e+02 1.000000000000000000e+02
1.997000000000000000e+03 1.084076034081690096e+02 1.010999984741210938e+02
1.998000000000000000e+03 1.093435807709202692e+02 9.450000000000000000e+01
1.999000000000000000e+03 1.056288398684643681e+02 8.550000000000000000e+01
2.000000000000000000e+03 1.001878622625476396e+02 8.290000152587890625e+01
2.001000000000000000e+03 9.636814246376971482e+01 8.119999694824218750e+01
2.002000000000000000e+03 9.551317234249202670e+01 7.959999847412109375e+01
2.003000000000000000e+03 9.326061728925724026e+01 7.459999847412109375e+01
2.004000000000000000e+03 9.103091274409759137e+01 7.240000152587890625e+01
2.005000000000000000e+03 8.939584128057845192e+01 7.150000000000000000e+01
2.006000000000000000e+03 8.847579493705055143e+01 6.480000305175781250e+01
2.007000000000000000e+03 8.972682557676507997e+01 5.850000000000000000e+01
2.008000000000000000e+03 7.069760182672470705e+01 5.520000076293945312e+01
2.009000000000000000e+03 7.048221918765895566e+01 5.229999923706054688e+01
2.010000000000000000e+03 6.275119377023465717e+01 5.300000000000000000e+01
2.011000000000000000e+03 6.002677103500619893e+01 5.109999847412109375e+01
2.012000000000000000e+03 5.817883951195521774e+01 4.890000152587890625e+01
2.013000000000000000e+03 5.561755318843044904e+01 4.850000000000000000e+01
2.014000000000000000e+03 5.314544521585995795e+01 4.740000152587890625e+01
2.015000000000000000e+03 5.215016222264763712e+01 4.690000152587890625e+01
2.016000000000000000e+03 5.154424115877377943e+01 4.890000152587890625e+01
2.017000000000000000e+03 5.041114336909603111e+01 4.959999847412109375e+01
