# year, synthetic, actual
1.970000000000000000e+03 1.269834315084655572e+02 1.286000061035156250e+02
1.971000000000000000e+03 1.280549083185857171e+02 1.260999984741210938e+02
1.972000000000000000e+03 1.313378096520222016e+02 1.313999938964843750e+02
1.973000000000000000e+03 1.332872607922733721e+02 1.336999969482421875e+02
1.974000000000000000e+03 1.366527969939680816e+02 1.388000030517578125e+02
1.975000000000000000e+03 1.389147095004465200e+02 1.368000030517578125e+02
1.976000000000000000e+03 1.401579972338981577e+02 1.380000000000000000e+02
1.977000000000000000e+03 1.402744808724219183e+02 1.403000030517578125e+02
1.978000000000000000e+03 1.401824288136750170e+02 1.418000030517578125e+02
1.979000000000000000e+03 1.393205497048814152e+02 1.408999938964843750e+02
1.980000000000000000e+03 1.400290017942333236e+02 1.406999969482421875e+02
1.981000000000000000e+03 1.398003101784601938e+02 1.395000000000000000e+02
1.982000000000000000e+03 1.368728575571259114e+02 1.373000030517578125e+02
1.983000000000000000e+03 1.308200004872304874e+02 1.283000030517578125e+02
1.984000000000000000e+03 1.274181413957351765e+02 1.281999969482421875e+02
1.985000000000000000e+03 1.268077819686360073e+02 1.265999984741210938e+02
1.986000000000000000e+03 1.260251927884970371e+02 1.265000000000000000e+02
1.987000000000000000e+03 1.220484206775039979e+02 1.220999984741210938e+02
1.988000000000000000e+03 1.223304209964501155e+02 1.210999984741210938e+02
1.989000000000000000e+03 1.149487074176177828e+02 1.165999984741210938e+02
1.990000000000000000e+03 1.051966812482169900e+02 1.144000015258789062e+02
1.991000000000000000e+03 1.031854131993210615e+02 1.103000030517578125e+02
1.992000000000000000e+03 1.015139820376749213e+02 1.075999984741210938e+02
1.993000000000000000e+03 9.871919294799394606e+01 1.065000000000000000e+02
1.994000000000000000e+03 9.694269133409565598e+01 1.129000015258789062e+02
1.995000000000000000e+03 9.614181826006971221e+01 8.280000305175781250e+01
1.996000000000000000e+03 9.457789037436747037e+01 8.290000152587890625e+01
1.997000000000000000e+03 9.453314765748370974e+01 7.559999847412109375e+01
1.998000000000000000e+03 9.410072803577328671e+01 7.369999694824218750e+01
1.999000000000000000e+03 9.168983218678846470e+01 8.169999694824218750e+01
2.000000000000000000e+03 8.644343069098862031e+01 8.369999694824218750e+01
2.001000000000000000e+03 8.390744562780054139e+01 7.919999694824218750e+01
2.002000000000000000e+03 8.065766097858104899e+01 7.809999847412109375e+01
2.003000000000000000e+03 7.995645124343997168e+01 7.230000305175781250e+01
2.004000000000000000e+03 7.160887877802224466e+01 6.850000000000000000e+01
2.005000000000000000e+03 6.907172707555407953e+01 5.790000152587890625e+01
2.006000000000000000e+03 6.821895041618802225e+01 5.650000000000000000e+01
2.007000000000000000e+03 6.653980607234129252e+01 5.500000000000000000e+01
2.008000000000000000e+03 6.103394690350066298e+01 5.240000152587890625e+01
2.009000000000000000e+03 5.744835946126414683e+01 5.059999847412109375e+01
2.010000000000000000e+03 5.022556268604824226e+01 4.879999923706054688e+01
2.011000000000000000e+03 4.787344024299273570e+01 4.640000152587890625e+01
2.012000000000000000e+03 4.634145968929444592e+01 4.670000076293945312e+01
2.013000000000000000e+03 4.298781104847424217e+01 4.540000152587890625e+01
2.014000000000000000e+03 4.252345772943260727e+01 4.450000000000000000e+01
2.015000000000000000e+03 4.208612128548185893e+01 4.450000000000000000e+01
2.016000000000000000e+03 4.055775207654563275e+01 4.490000152587890625e+01
2.017000000000000000e+03 3.985055090499596986e+01 4.440000152587890625e+01
