# year, synthetic, actual
1.970000000000000000e+03 1.213621632344014216e+02 1.043000030517578125e+02
1.971000000000000000e+03 1.248108108108108496e+02 1.164000015258789062e+02
1.972000000000000000e+03 1.308351357949746898e+02 9.680000305175781250e+01
1.973000000000000000e+03 1.328270267795872144e+02 1.068000030517578125e+02
1.974000000000000000e+03 1.359189185065192191e+02 1.105999984741210938e+02
1.975000000000000000e+03 1.386648648236248960e+02 1.115000000000000000e+02
1.976000000000000000e+03 1.432378379203177872e+02 1.166999969482421875e+02
1.977000000000000000e+03 1.428999990514807052e+02 1.171999969482421875e+02
1.978000000000000000e+03 1.416135136372334387e+02 1.189000015258789062e+02
1.979000000000000000e+03 1.390729733028927626e+02 1.183000030517578125e+02
1.980000000000000000e+03 1.389324326386323207e+02 1.176999969482421875e+02
1.981000000000000000e+03 1.391108103571711467e+02 1.208000030517578125e+02
1.982000000000000000e+03 1.375405403343406761e+02 1.194000015258789062e+02
1.983000000000000000e+03 1.325621626570418243e+02 1.131999969482421875e+02
1.984000000000000000e+03 1.258405407055004446e+02 1.108000030517578125e+02
1.985000000000000000e+03 1.237783780484585918e+02 1.130000000000000000e+02
1.986000000000000000e+03 1.207351352588550384e+02 1.048000030517578125e+02
1.987000000000000000e+03 1.177270274806667061e+02 1.088000030517578125e+02
1.988000000000000000e+03 1.134891887355495044e+02 9.409999847412109375e+01
1.989000000000000000e+03 1.098297300596494921e+02 9.230000305175781250e+01
1.990000000000000000e+03 1.058459462346257425e+02 9.069999694824218750e+01
1.991000000000000000e+03 1.046837836600638809e+02 8.619999694824218750e+01
1.992000000000000000e+03 1.036513513101114086e+02 8.380000305175781250e+01
1.993000000000000000e+03 1.029054048899057818e+02 8.159999847412109375e+01
1.994000000000000000e+03 1.022756754900958072e+02 8.340000152587890625e+01
1.995000000000000000e+03 1.033351349701752611e+02 8.409999847412109375e+01
1.996000000000000000e+03 1.014000000824799486e+02 8.169999694824218750e+01
1.997000000000000000e+03 1.016405405611605488e+02 8.409999847412109375e+01
1.998000000000000000e+03 1.005999994020204582e+02 8.319999694824218750e+01
1.999000000000000000e+03 9.725135174313108166e+01 8.069999694824218750e+01
2.000000000000000000e+03 9.174594611090583385e+01 7.600000000000000000e+01
2.001000000000000000e+03 8.889459455335463645e+01 7.419999694824218750e+01
2.002000000000000000e+03 8.692162158038168229e+01 7.100000000000000000e+01
2.003000000000000000e+03 8.661621537079683719e+01 7.169999694824218750e+01
2.004000000000000000e+03 8.064594536858638207e+01 7.300000000000000000e+01
2.005000000000000000e+03 7.979729770969699132e+01 6.569999694824218750e+01
2.006000000000000000e+03 7.744594604904588664e+01 5.559999847412109375e+01
2.007000000000000000e+03 7.539459445025470075e+01 5.300000000000000000e+01
2.008000000000000000e+03 6.985135093895164005e+01 5.090000152587890625e+01
2.009000000000000000e+03 6.676756755725757841e+01 4.870000076293945312e+01
2.010000000000000000e+03 6.070540526106550772e+01 4.650000000000000000e+01
2.011000000000000000e+03 5.851081054275099547e+01 5.150000000000000000e+01
2.012000000000000000e+03 5.706756787686734356e+01 3.790000152587890625e+01
2.013000000000000000e+03 5.484594577067607446e+01 4.309999847412109375e+01
2.014000000000000000e+03 5.273783792031777296e+01 3.139999961853027344e+01
2.015000000000000000e+03 5.242972982251966130e+01 3.020000076293945312e+01
2.016000000000000000e+03 5.090540540540540349e+01 2.979999923706054688e+01
2.017000000000000000e+03 4.921621601001636037e+01 2.829999923706054688e+01
