# year, synthetic, actual
1.970000000000000000e+03 1.914465379611210381e+02 1.723999938964843750e+02
1.971000000000000000e+03 1.953210786877805560e+02 1.876000061035156250e+02
1.972000000000000000e+03 2.063909406097455417e+02 2.141000061035156250e+02
1.973000000000000000e+03 2.111458125416130542e+02 2.265000000000000000e+02
1.974000000000000000e+03 2.144308402405473544e+02 2.273000030517578125e+02
1.975000000000000000e+03 2.170158137339682014e+02 2.260000000000000000e+02
1.976000000000000000e+03 2.189095732344431156e+02 2.301999969482421875e+02
1.977000000000000000e+03 2.101857670244694702e+02 2.170000000000000000e+02
1.978000000000000000e+03 2.055209353717849865e+02 2.055000000000000000e+02
1.979000000000000000e+03 1.990790521251150267e+02 1.973000030517578125e+02
1.980000000000000000e+03 1.946575422914914384e+02 1.878000030517578125e+02
1.981000000000000000e+03 1.893209780819602202e+02 1.793000030517578125e+02
1.982000000000000000e+03 1.843712172387259329e+02 1.790000000000000000e+02
1.983000000000000000e+03 1.775519686776617334e+02 1.696999969482421875e+02
1.984000000000000000e+03 1.565827702165007054e+02 1.606000061035156250e+02
1.985000000000000000e+03 1.613015054117109912e+02 1.563000030517578125e+02
1.986000000000000000e+03 1.573974623445838859e+02 1.543999938964843750e+02
1.987000000000000000e+03 1.587411788009616203e+02 1.505000000000000000e+02
1.988000000000000000e+03 1.535681330384398393e+02 1.460000000000000000e+02
1.989000000000000000e+03 1.496671422988069651e+02 1.393000030517578125e+02
1.990000000000000000e+03 1.491559351113453147e+02 1.336999969482421875e+02
1.991000000000000000e+03 1.313396264713416315e+02 1.326999969482421875e+02
1.992000000000000000e+03 1.268906124870740655e+02 1.288000030517578125e+02
1.993000000000000000e+03 1.262860748812828575e+02 1.296999969482421875e+02
1.994000000000000000e+03 1.255637445112820387e+02 1.126999969482421875e+02
1.995000000000000000e+03 1.244515225391477031e+02 1.249000015258789062e+02
1.996000000000000000e+03 1.239621411012304577e+02 1.296999969482421875e+02
1.997000000000000000e+03 1.254795074876780205e+02 1.255999984741210938e+02
1.998000000000000000e+03 1.264370312447776428e+02 1.260000000000000000e+02
1.999000000000000000e+03 1.258350278146325394e+02 1.130999984741210938e+02
2.000000000000000000e+03 1.137994799057197071e+02 1.090000000000000000e+02
2.001000000000000000e+03 1.098524684465210584e+02 1.000999984741210938e+02
2.002000000000000000e+03 1.012471954374554457e+02 9.850000000000000000e+01
2.003000000000000000e+03 1.136697921632330406e+02 9.769999694824218750e+01
2.004000000000000000e+03 1.026825340799210693e+02 9.559999847412109375e+01
2.005000000000000000e+03 1.029790424331319372e+02 9.380000305175781250e+01
2.006000000000000000e+03 9.374069639136186538e+01 8.959999847412109375e+01
2.007000000000000000e+03 9.054127623236445288e+01 7.830000305175781250e+01
2.008000000000000000e+03 8.594928486800293399e+01 7.369999694824218750e+01
2.009000000000000000e+03 7.739750750757286824e+01 6.959999847412109375e+01
2.010000000000000000e+03 6.798183924484330021e+01 6.150000000000000000e+01
2.011000000000000000e+03 6.434290915978870373e+01 6.090000152587890625e+01
2.012000000000000000e+03 6.196568787092068931e+01 6.070000076293945312e+01
2.013000000000000000e+03 6.004193820761824441e+01 5.750000000000000000e+01
2.014000000000000000e+03 5.812135462482871162e+01 5.670000076293945312e+01
2.015000000000000000e+03 6.015020094488582458e+01 5.409999847412109375e+01
2.016000000000000000e+03 5.077496903352577107e+01 5.440000152587890625e+01
2.017000000000000000e+03 5.348795569209157463e+01 5.450000000000000000e+01
