# year, synthetic, actual
1.970000000000000000e+03 1.216459470181852112e+02 9.380000305175781250e+01
1.971000000000000000e+03 1.252945946358345992e+02 9.850000000000000000e+01
1.972000000000000000e+03 1.306459466057854968e+02 1.038000030517578125e+02
1.973000000000000000e+03 1.327756755931957287e+02 1.086999969482421875e+02
1.974000000000000000e+03 1.359216211679819821e+02 1.105000000000000000e+02
1.975000000000000000e+03 1.384918918094119533e+02 1.179000015258789062e+02
1.976000000000000000e+03 1.430027026614627630e+02 1.254000015258789062e+02
1.977000000000000000e+03 1.427648639163455755e+02 1.221999969482421875e+02
1.978000000000000000e+03 1.415324325561523438e+02 1.219000015258789062e+02
1.979000000000000000e+03 1.389918922218116677e+02 1.213000030517578125e+02
1.980000000000000000e+03 1.387702704764701593e+02 1.236999969482421875e+02
1.981000000000000000e+03 1.389783780896985945e+02 1.256999969482421875e+02
1.982000000000000000e+03 1.373405402931007018e+02 1.268000030517578125e+02
1.983000000000000000e+03 1.323891896428288817e+02 1.195999984741210938e+02
1.984000000000000000e+03 1.258783785845782432e+02 1.094000015258789062e+02
1.985000000000000000e+03 1.240432429958034106e+02 1.031999969482421875e+02
1.986000000000000000e+03 1.208702703939901824e+02 9.980000305175781250e+01
1.987000000000000000e+03 1.181729734266126570e+02 9.230000305175781250e+01
1.988000000000000000e+03 1.136783779247386974e+02 8.709999847412109375e+01
1.989000000000000000e+03 1.100513518049910147e+02 8.409999847412109375e+01
1.990000000000000000e+03 1.062135137609533331e+02 7.709999847412109375e+01
1.991000000000000000e+03 1.047108106870909126e+02 8.519999694824218750e+01
1.992000000000000000e+03 1.039054054054054319e+02 7.440000152587890625e+01
1.993000000000000000e+03 1.028675670108279689e+02 8.300000000000000000e+01
1.994000000000000000e+03 1.023405403962006517e+02 8.100000000000000000e+01
1.995000000000000000e+03 1.034297295647698718e+02 8.059999847412109375e+01
1.996000000000000000e+03 1.014243242418443742e+02 8.080000305175781250e+01
1.997000000000000000e+03 1.018189188982989606e+02 7.750000000000000000e+01
1.998000000000000000e+03 1.007108101715913051e+02 7.909999847412109375e+01
1.999000000000000000e+03 9.741351390529322885e+01 7.469999694824218750e+01
2.000000000000000000e+03 9.184054070550044457e+01 7.250000000000000000e+01
2.001000000000000000e+03 8.900540532292546914e+01 7.009999847412109375e+01
2.002000000000000000e+03 8.698918914794924717e+01 6.850000000000000000e+01
2.003000000000000000e+03 8.677837753295899859e+01 6.569999694824218750e+01
2.004000000000000000e+03 8.084324274836362179e+01 6.569999694824218750e+01
2.005000000000000000e+03 7.978918951910894464e+01 6.600000000000000000e+01
2.006000000000000000e+03 7.695675690109666789e+01 7.369999694824218750e+01
2.007000000000000000e+03 7.477567549009580716e+01 7.590000152587890625e+01
2.008000000000000000e+03 6.922702665586729154e+01 7.400000000000000000e+01
2.009000000000000000e+03 6.611351348258354221e+01 7.290000152587890625e+01
2.010000000000000000e+03 6.008918896236935581e+01 6.930000305175781250e+01
2.011000000000000000e+03 5.803783756977802000e+01 6.900000000000000000e+01
2.012000000000000000e+03 5.607837872891812481e+01 7.450000000000000000e+01
2.013000000000000000e+03 5.405135113484151077e+01 7.250000000000000000e+01
2.014000000000000000e+03 5.153783782752783793e+01 7.580000305175781250e+01
2.015000000000000000e+03 5.119729732822727186e+01 7.580000305175781250e+01
2.016000000000000000e+03 4.981351357537346303e+01 7.019999694824218750e+01
2.017000000000000000e+03 4.821891877457901643e+01 6.519999694824218750e+01
