# year, synthetic, actual
1.970000000000000000e+03 1.215388902028401503e+02 1.080999984741210938e+02
1.971000000000000000e+03 1.252833334604899278e+02 1.085999984741210938e+02
1.972000000000000000e+03 1.308500008053249815e+02 1.049000015258789062e+02
1.973000000000000000e+03 1.331916664971245723e+02 1.065999984741210938e+02
1.974000000000000000e+03 1.363111106024848027e+02 1.105000000000000000e+02
1.975000000000000000e+03 1.390083334181043426e+02 1.140999984741210938e+02
1.976000000000000000e+03 1.437083333333333144e+02 1.180999984741210938e+02
1.977000000000000000e+03 1.433277768029107051e+02 1.176999969482421875e+02
1.978000000000000000e+03 1.420555557674831562e+02 1.174000015258789062e+02
1.979000000000000000e+03 1.396555559370252979e+02 1.160999984741210938e+02
1.980000000000000000e+03 1.394416667090521571e+02 1.163000030517578125e+02
1.981000000000000000e+03 1.397166663275824590e+02 1.170000000000000000e+02
1.982000000000000000e+03 1.380249998304579151e+02 1.170999984741210938e+02
1.983000000000000000e+03 1.331527782016330548e+02 1.108000030517578125e+02
1.984000000000000000e+03 1.263638892703585981e+02 1.076999969482421875e+02
1.985000000000000000e+03 1.245583330790201586e+02 1.050999984741210938e+02
1.986000000000000000e+03 1.214194446139865278e+02 1.030999984741210938e+02
1.987000000000000000e+03 1.186583338843451685e+02 1.013000030517578125e+02
1.988000000000000000e+03 1.142555550469292314e+02 9.290000152587890625e+01
1.989000000000000000e+03 1.104444448682996693e+02 9.380000305175781250e+01
1.990000000000000000e+03 1.064555558098686845e+02 8.990000152587890625e+01
1.991000000000000000e+03 1.051166663699679873e+02 9.240000152587890625e+01
1.992000000000000000e+03 1.039361112382676851e+02 9.059999847412109375e+01
1.993000000000000000e+03 1.031111105812920101e+02 9.109999847412109375e+01
1.994000000000000000e+03 1.025972221162584219e+02 8.590000152587890625e+01
1.995000000000000000e+03 1.035694442325168296e+02 8.850000000000000000e+01
1.996000000000000000e+03 1.016666666666666572e+02 8.619999694824218750e+01
1.997000000000000000e+03 1.019555554919772504e+02 8.550000000000000000e+01
1.998000000000000000e+03 1.010166660944620958e+02 7.969999694824218750e+01
1.999000000000000000e+03 9.748888916439477725e+01 8.680000305175781250e+01
2.000000000000000000e+03 9.215277798970541312e+01 7.759999847412109375e+01
2.001000000000000000e+03 8.940833303663464449e+01 6.980000305175781250e+01
2.002000000000000000e+03 8.709444427490234375e+01 7.730000305175781250e+01
2.003000000000000000e+03 8.712222131093344046e+01 6.840000152587890625e+01
2.004000000000000000e+03 8.130833276112873875e+01 6.179999923706054688e+01
2.005000000000000000e+03 8.038055589463976958e+01 6.100000000000000000e+01
2.006000000000000000e+03 7.805555566151934954e+01 5.950000000000000000e+01
2.007000000000000000e+03 7.583055549197726464e+01 6.009999847412109375e+01
2.008000000000000000e+03 6.998888852861192333e+01 6.320000076293945312e+01
2.009000000000000000e+03 6.693055560853744623e+01 5.979999923706054688e+01
2.010000000000000000e+03 6.084166653951009351e+01 5.500000000000000000e+01
2.011000000000000000e+03 5.881666639116075856e+01 5.350000000000000000e+01
2.012000000000000000e+03 5.698333369361028389e+01 5.250000000000000000e+01
2.013000000000000000e+03 5.491388866636488331e+01 5.120000076293945312e+01
2.014000000000000000e+03 5.256666676203408883e+01 4.729999923706054688e+01
2.015000000000000000e+03 5.225833347108628857e+01 4.659999847412109375e+01
2.016000000000000000e+03 5.068888886769613578e+01 4.629999923706054688e+01
2.017000000000000000e+03 4.902222198910184403e+01 4.340000152587890625e+01
