# year, synthetic, actual
1.970000000000000000e+03 1.217486498033678544e+02 9.000000000000000000e+01
1.971000000000000000e+03 1.254540541365340260e+02 9.259999847412109375e+01
1.972000000000000000e+03 1.307675682274071107e+02 9.930000305175781250e+01
1.973000000000000000e+03 1.330405403343407045e+02 9.890000152587890625e+01
1.974000000000000000e+03 1.361972967611777108e+02 1.003000030517578125e+02
1.975000000000000000e+03 1.388918918918919303e+02 1.030999984741210938e+02
1.976000000000000000e+03 1.436243242830843769e+02 1.024000015258789062e+02
1.977000000000000000e+03 1.432999989277607824e+02 1.024000015258789062e+02
1.978000000000000000e+03 1.420405407467404189e+02 1.030999984741210938e+02
1.979000000000000000e+03 1.395405409529402618e+02 1.010000000000000000e+02
1.980000000000000000e+03 1.393378380440377384e+02 1.026999969482421875e+02
1.981000000000000000e+03 1.395918915207321618e+02 1.030000000000000000e+02
1.982000000000000000e+03 1.381324322674725522e+02 9.750000000000000000e+01
1.983000000000000000e+03 1.330189192488386993e+02 9.630000305175781250e+01
1.984000000000000000e+03 1.264324326386323065e+02 8.890000152587890625e+01
1.985000000000000000e+03 1.244540537241342975e+02 8.800000000000000000e+01
1.986000000000000000e+03 1.211837840724635811e+02 8.819999694824218750e+01
1.987000000000000000e+03 1.184432436968829165e+02 8.230000305175781250e+01
1.988000000000000000e+03 1.139324320200327350e+02 7.769999694824218750e+01
1.989000000000000000e+03 1.103135138846732417e+02 7.440000152587890625e+01
1.990000000000000000e+03 1.063837839075036982e+02 7.080000305175781250e+01
1.991000000000000000e+03 1.051243240768845055e+02 6.990000152587890625e+01
1.992000000000000000e+03 1.039864864864865126e+02 7.140000152587890625e+01
1.993000000000000000e+03 1.032459453892063550e+02 6.900000000000000000e+01
1.994000000000000000e+03 1.026864864246265370e+02 6.819999694824218750e+01
1.995000000000000000e+03 1.037972970910974482e+02 6.700000000000000000e+01
1.996000000000000000e+03 1.018324325149123695e+02 6.569999694824218750e+01
1.997000000000000000e+03 1.022432432432432705e+02 6.179999923706054688e+01
1.998000000000000000e+03 1.011567561175372560e+02 6.259999847412109375e+01
1.999000000000000000e+03 9.781891920759871084e+01 5.970000076293945312e+01
2.000000000000000000e+03 9.234594613152583520e+01 5.379999923706054688e+01
2.001000000000000000e+03 8.944864850430876402e+01 5.370000076293945312e+01
2.002000000000000000e+03 8.742972966786980749e+01 5.220000076293945312e+01
2.003000000000000000e+03 8.710810718020879051e+01 5.350000000000000000e+01
2.004000000000000000e+03 8.166216154356263246e+01 3.540000152587890625e+01
2.005000000000000000e+03 8.061351384343326743e+01 3.550000000000000000e+01
2.006000000000000000e+03 7.799189191251188902e+01 3.540000152587890625e+01
2.007000000000000000e+03 7.589189178879195197e+01 3.459999847412109375e+01
2.008000000000000000e+03 7.030810773694837224e+01 3.400000000000000000e+01
2.009000000000000000e+03 6.719999998969002775e+01 3.270000076293945312e+01
2.010000000000000000e+03 6.114324311952334057e+01 3.029999923706054688e+01
2.011000000000000000e+03 5.916486461742503167e+01 2.729999923706054688e+01
2.012000000000000000e+03 5.737027060019002533e+01 2.670000076293945312e+01
2.013000000000000000e+03 5.529729709109744817e+01 2.639999961853027344e+01
2.014000000000000000e+03 5.292162168348156825e+01 2.460000038146972656e+01
2.015000000000000000e+03 5.254864878267854778e+01 2.579999923706054688e+01
2.016000000000000000e+03 5.104594591501596312e+01 2.460000038146972656e+01
2.017000000000000000e+03 4.933243220561259079e+01 2.400000000000000000e+01
