# year, synthetic, actual
1.970000000000000000e+03 1.186243407018215095e+02 1.190000000000000000e+02
1.971000000000000000e+03 1.214039974080557585e+02 1.233000030517578125e+02
1.972000000000000000e+03 1.198514303703340715e+02 1.199000015258789062e+02
1.973000000000000000e+03 1.204427147499646509e+02 1.186999969482421875e+02
1.974000000000000000e+03 1.216264024189148216e+02 1.215999984741210938e+02
1.975000000000000000e+03 1.218013346530061938e+02 1.239000015258789062e+02
1.976000000000000000e+03 1.256413688420581281e+02 1.245999984741210938e+02
1.977000000000000000e+03 1.270013316514137358e+02 1.255000000000000000e+02
1.978000000000000000e+03 1.274546329752272129e+02 1.264000015258789062e+02
1.979000000000000000e+03 1.264133363907031509e+02 1.244000015258789062e+02
1.980000000000000000e+03 1.273669369676626530e+02 1.275999984741210938e+02
1.981000000000000000e+03 1.280304225297056178e+02 1.301000061035156250e+02
1.982000000000000000e+03 1.277785290545323988e+02 1.285000000000000000e+02
1.983000000000000000e+03 1.235480988702983467e+02 1.245999984741210938e+02
1.984000000000000000e+03 1.189058797075996949e+02 1.193000030517578125e+02
1.985000000000000000e+03 1.166426047937177373e+02 1.159000015258789062e+02
1.986000000000000000e+03 1.136499911820614273e+02 1.140000000000000000e+02
1.987000000000000000e+03 1.102263076682618532e+02 1.089000015258789062e+02
1.988000000000000000e+03 1.029788932354223050e+02 1.061999969482421875e+02
1.989000000000000000e+03 9.998098622654681833e+01 1.000999984741210938e+02
1.990000000000000000e+03 9.557251185443841734e+01 9.369999694824218750e+01
1.991000000000000000e+03 9.256009922690043368e+01 8.640000152587890625e+01
1.992000000000000000e+03 9.121300574644982362e+01 8.240000152587890625e+01
1.993000000000000000e+03 9.028412564215928171e+01 7.819999694824218750e+01
1.994000000000000000e+03 8.997390003400192882e+01 7.159999847412109375e+01
1.995000000000000000e+03 9.005669195882353506e+01 7.050000000000000000e+01
1.996000000000000000e+03 8.778801079351046610e+01 6.590000152587890625e+01
1.997000000000000000e+03 8.710635530794554882e+01 6.450000000000000000e+01
1.998000000000000000e+03 8.724078694581136517e+01 6.490000152587890625e+01
1.999000000000000000e+03 8.468655418378922661e+01 6.290000152587890625e+01
2.000000000000000000e+03 8.143663280196736309e+01 5.779999923706054688e+01
2.001000000000000000e+03 7.916105070294409529e+01 4.800000000000000000e+01
2.002000000000000000e+03 7.654114613722094873e+01 4.650000000000000000e+01
2.003000000000000000e+03 7.682142106766421819e+01 3.529999923706054688e+01
2.004000000000000000e+03 7.273020860088800532e+01 3.370000076293945312e+01
2.005000000000000000e+03 7.092597216925146597e+01 3.240000152587890625e+01
2.006000000000000000e+03 6.521356604141151081e+01 3.240000152587890625e+01
2.007000000000000000e+03 6.349076036650644284e+01 3.229999923706054688e+01
2.008000000000000000e+03 5.681804905720831300e+01 3.150000000000000000e+01
2.009000000000000000e+03 5.404301120815364357e+01 2.479999923706054688e+01
2.010000000000000000e+03 4.862168050439944267e+01 2.410000038146972656e+01
2.011000000000000000e+03 4.703501405496619014e+01 1.829999923706054688e+01
2.012000000000000000e+03 4.422171097548655894e+01 1.800000000000000000e+01
2.013000000000000000e+03 4.297556614635377059e+01 1.660000038146972656e+01
2.014000000000000000e+03 3.992887407819494427e+01 1.539999961853027344e+01
2.015000000000000000e+03 3.912182696483372268e+01 1.460000038146972656e+01
2.016000000000000000e+03 3.835802753316276181e+01 1.400000000000000000e+01
2.017000000000000000e+03 3.750990725323285346e+01 1.330000019073486328e+01
