# year, synthetic, actual
1.970000000000000000e+03 1.068637963529347275e+02 1.035999984741210938e+02
1.971000000000000000e+03 1.141042770996451310e+02 1.150000000000000000e+02
1.972000000000000000e+03 1.193480664506955691e+02 1.186999969482421875e+02
1.973000000000000000e+03 1.251996544481189630e+02 1.255000000000000000e+02
1.974000000000000000e+03 1.293097249643290638e+02 1.296999969482421875e+02
1.975000000000000000e+03 1.313629361921682062e+02 1.305000000000000000e+02
1.976000000000000000e+03 1.355494340838899063e+02 1.368000030517578125e+02
1.977000000000000000e+03 1.368851913957071815e+02 1.371999969482421875e+02
1.978000000000000000e+03 1.384943485529604459e+02 1.403999938964843750e+02
1.979000000000000000e+03 1.366448792591761787e+02 1.356999969482421875e+02
1.980000000000000000e+03 1.388434252873188939e+02 1.383000030517578125e+02
1.981000000000000000e+03 1.366076201931480512e+02 1.361000061035156250e+02
1.982000000000000000e+03 1.362414205401747438e+02 1.360000000000000000e+02
1.983000000000000000e+03 1.325057916784175234e+02 1.311000061035156250e+02
1.984000000000000000e+03 1.263404449097741349e+02 1.270000000000000000e+02
1.985000000000000000e+03 1.271524709943698355e+02 1.254000015258789062e+02
1.986000000000000000e+03 1.255081997145071568e+02 1.265999984741210938e+02
1.987000000000000000e+03 1.238070990933706810e+02 1.265999984741210938e+02
1.988000000000000000e+03 1.207227580889180416e+02 1.244000015258789062e+02
1.989000000000000000e+03 1.178239622058239178e+02 1.224000015258789062e+02
1.990000000000000000e+03 1.156334353840611868e+02 1.185999984741210938e+02
1.991000000000000000e+03 1.139256372461125579e+02 1.215000000000000000e+02
1.992000000000000000e+03 1.141083244931626837e+02 1.129000015258789062e+02
1.993000000000000000e+03 1.131330887278964212e+02 1.151999969482421875e+02
1.994000000000000000e+03 1.125579078596396556e+02 1.121999969482421875e+02
1.995000000000000000e+03 1.117044153291698478e+02 1.091999969482421875e+02
1.996000000000000000e+03 1.126408728815376890e+02 1.029000015258789062e+02
1.997000000000000000e+03 1.130748113017162098e+02 1.245000000000000000e+02
1.998000000000000000e+03 1.094811395474830391e+02 1.269000015258789062e+02
1.999000000000000000e+03 1.060631844290130203e+02 1.094000015258789062e+02
2.000000000000000000e+03 9.873667800126550276e+01 1.039000015258789062e+02
2.001000000000000000e+03 9.650627551175244889e+01 9.659999847412109375e+01
2.002000000000000000e+03 9.027865113138059883e+01 9.750000000000000000e+01
2.003000000000000000e+03 9.681526721010757797e+01 9.569999694824218750e+01
2.004000000000000000e+03 8.943830915906038115e+01 9.219999694824218750e+01
2.005000000000000000e+03 9.162896294086048954e+01 9.400000000000000000e+01
2.006000000000000000e+03 8.619870301378902866e+01 9.640000152587890625e+01
2.007000000000000000e+03 8.330242085998418133e+01 9.119999694824218750e+01
2.008000000000000000e+03 8.233510961114002669e+01 8.909999847412109375e+01
2.009000000000000000e+03 7.714725007857894923e+01 8.500000000000000000e+01
2.010000000000000000e+03 6.687344440385669486e+01 8.450000000000000000e+01
2.011000000000000000e+03 6.407483171739312411e+01 6.990000152587890625e+01
2.012000000000000000e+03 6.264034232337659347e+01 6.190000152587890625e+01
2.013000000000000000e+03 5.927595329157255577e+01 6.200000000000000000e+01
2.014000000000000000e+03 5.687089925971768167e+01 5.890000152587890625e+01
2.015000000000000000e+03 5.599187635331317381e+01 5.609999847412109375e+01
2.016000000000000000e+03 5.531071816155104415e+01 5.729999923706054688e+01
2.017000000000000000e+03 5.430833940978067176e+01 5.550000000000000000e+01
