# year, synthetic, actual
1.970000000000000000e+03 1.214837848560230498e+02 9.980000305175781250e+01
1.971000000000000000e+03 1.250837837425438437e+02 1.063000030517578125e+02
1.972000000000000000e+03 1.304378385801573188e+02 1.115000000000000000e+02
1.973000000000000000e+03 1.327486485661687254e+02 1.096999969482421875e+02
1.974000000000000000e+03 1.358054048692857805e+02 1.148000030517578125e+02
1.975000000000000000e+03 1.385054053229254691e+02 1.174000015258789062e+02
1.976000000000000000e+03 1.431027027851826574e+02 1.216999969482421875e+02
1.977000000000000000e+03 1.426999990102407310e+02 1.245999984741210938e+02
1.978000000000000000e+03 1.413864865689664327e+02 1.273000030517578125e+02
1.979000000000000000e+03 1.388324329273120838e+02 1.271999969482421875e+02
1.980000000000000000e+03 1.385891894778690130e+02 1.303999938964843750e+02
1.981000000000000000e+03 1.388864859503669038e+02 1.291000061035156250e+02
1.982000000000000000e+03 1.372162162162161962e+02 1.313999938964843750e+02
1.983000000000000000e+03 1.321351355475348441e+02 1.290000000000000000e+02
1.984000000000000000e+03 1.254540543427338690e+02 1.250999984741210938e+02
1.985000000000000000e+03 1.233540538066142176e+02 1.286999969482421875e+02
1.986000000000000000e+03 1.206513515163112373e+02 1.079000015258789062e+02
1.987000000000000000e+03 1.171378382089975787e+02 1.306000061035156250e+02
1.988000000000000000e+03 1.126459453685863537e+02 1.253000030517578125e+02
1.989000000000000000e+03 1.089540545489336978e+02 1.246999969482421875e+02
1.990000000000000000e+03 1.050054055291253121e+02 1.218000030517578125e+02
1.991000000000000000e+03 1.037540538890941662e+02 1.205999984741210938e+02
1.992000000000000000e+03 1.026459459871859394e+02 1.210000000000000000e+02
1.993000000000000000e+03 1.018459453067264064e+02 1.208000030517578125e+02
1.994000000000000000e+03 1.013189186920990892e+02 1.188000030517578125e+02
1.995000000000000000e+03 1.022189186714791305e+02 1.254000015258789062e+02
1.996000000000000000e+03 1.003864865689664327e+02 1.191999969482421875e+02
1.997000000000000000e+03 1.006999999381400670e+02 1.189000015258789062e+02
1.998000000000000000e+03 9.961351291553397402e+01 1.196999969482421875e+02
1.999000000000000000e+03 9.630270292952253897e+01 1.158000030517578125e+02
2.000000000000000000e+03 9.086216240960199286e+01 1.086999969482421875e+02
2.001000000000000000e+03 8.810270257898280022e+01 1.035000000000000000e+02
2.002000000000000000e+03 8.604594586346603080e+01 1.034000015258789062e+02
2.003000000000000000e+03 8.603513428971574228e+01 9.319999694824218750e+01
2.004000000000000000e+03 8.001081023345123810e+01 9.650000000000000000e+01
2.005000000000000000e+03 7.895135168127109182e+01 9.700000000000000000e+01
2.006000000000000000e+03 7.628108122542099068e+01 9.869999694824218750e+01
2.007000000000000000e+03 7.392432413874446695e+01 1.074000015258789062e+02
2.008000000000000000e+03 6.934864827748891969e+01 6.950000000000000000e+01
2.009000000000000000e+03 6.600270271301270952e+01 7.700000000000000000e+01
2.010000000000000000e+03 5.999999989690007851e+01 7.259999847412109375e+01
2.011000000000000000e+03 5.796486467928498598e+01 7.169999694824218750e+01
2.012000000000000000e+03 5.624594621400575534e+01 6.830000305175781250e+01
2.013000000000000000e+03 5.422162148759171885e+01 6.619999694824218750e+01
2.014000000000000000e+03 5.189459470800450447e+01 6.259999847412109375e+01
2.015000000000000000e+03 5.156486495765479106e+01 6.220000076293945312e+01
2.016000000000000000e+03 5.004594596656592387e+01 6.159999847412109375e+01
2.017000000000000000e+03 4.838108083364124923e+01 5.920000076293945312e+01
