# year, synthetic, actual
1.970000000000000000e+03 1.048705457791218691e+02 1.064000015258789062e+02
1.971000000000000000e+03 1.079041607812427799e+02 1.089000015258789062e+02
1.972000000000000000e+03 1.093800039768294141e+02 1.085999984741210938e+02
1.973000000000000000e+03 1.119906706984668148e+02 1.104000015258789062e+02
1.974000000000000000e+03 1.151196396932837871e+02 1.146999969482421875e+02
1.975000000000000000e+03 1.183928284962677822e+02 1.160000000000000000e+02
1.976000000000000000e+03 1.236059020636776751e+02 1.214000015258789062e+02
1.977000000000000000e+03 1.248620821758656092e+02 1.241999969482421875e+02
1.978000000000000000e+03 1.267740390869471412e+02 1.265999984741210938e+02
1.979000000000000000e+03 1.260128476333399163e+02 1.264000015258789062e+02
1.980000000000000000e+03 1.281545881863129637e+02 1.296999969482421875e+02
1.981000000000000000e+03 1.281501639512082988e+02 1.290000000000000000e+02
1.982000000000000000e+03 1.283137924501978944e+02 1.311999969482421875e+02
1.983000000000000000e+03 1.251087480635536195e+02 1.264000015258789062e+02
1.984000000000000000e+03 1.176236999563054013e+02 1.171999969482421875e+02
1.985000000000000000e+03 1.155208155856102081e+02 1.159000015258789062e+02
1.986000000000000000e+03 1.130970804980211142e+02 1.136999969482421875e+02
1.987000000000000000e+03 1.086406152704121837e+02 1.058000030517578125e+02
1.988000000000000000e+03 1.039822731855461768e+02 9.650000000000000000e+01
1.989000000000000000e+03 1.002431740220503542e+02 9.450000000000000000e+01
1.990000000000000000e+03 9.289619889919318041e+01 8.559999847412109375e+01
1.991000000000000000e+03 9.492856729878211297e+01 7.959999847412109375e+01
1.992000000000000000e+03 9.275949145724831624e+01 7.719999694824218750e+01
1.993000000000000000e+03 9.109704466004261292e+01 8.130000305175781250e+01
1.994000000000000000e+03 9.273896993419469936e+01 7.880000305175781250e+01
1.995000000000000000e+03 9.516086156298565868e+01 7.519999694824218750e+01
1.996000000000000000e+03 9.408352908054568786e+01 7.459999847412109375e+01
1.997000000000000000e+03 9.287352469204854799e+01 7.259999847412109375e+01
1.998000000000000000e+03 9.343055986391358658e+01 7.319999694824218750e+01
1.999000000000000000e+03 9.044789475578357951e+01 6.780000305175781250e+01
2.000000000000000000e+03 8.738765321529548658e+01 6.930000305175781250e+01
2.001000000000000000e+03 8.647552216873657471e+01 6.209999847412109375e+01
2.002000000000000000e+03 8.086795594749717964e+01 5.829999923706054688e+01
2.003000000000000000e+03 7.901132402335584004e+01 5.890000152587890625e+01
2.004000000000000000e+03 7.408568346444135955e+01 5.579999923706054688e+01
2.005000000000000000e+03 7.286589114658852395e+01 5.540000152587890625e+01
2.006000000000000000e+03 7.268047919832508796e+01 5.429999923706054688e+01
2.007000000000000000e+03 7.206098215198974799e+01 4.929999923706054688e+01
2.008000000000000000e+03 7.080463694915788153e+01 4.390000152587890625e+01
2.009000000000000000e+03 6.738919760810220794e+01 4.229999923706054688e+01
2.010000000000000000e+03 6.134218584270720953e+01 3.820000076293945312e+01
2.011000000000000000e+03 5.973731043640306382e+01 3.870000076293945312e+01
2.012000000000000000e+03 6.044372620967497767e+01 3.670000076293945312e+01
2.013000000000000000e+03 5.773638886852848628e+01 3.620000076293945312e+01
2.014000000000000000e+03 5.686115594756264358e+01 3.370000076293945312e+01
2.015000000000000000e+03 5.592215824472100394e+01 3.379999923706054688e+01
2.016000000000000000e+03 5.408800247576687070e+01 3.279999923706054688e+01
2.017000000000000000e+03 5.118831805668670398e+01 3.189999961853027344e+01
