# year, synthetic, actual
1.970000000000000000e+03 1.226550953003659430e+02 1.225999984741210938e+02
1.971000000000000000e+03 1.269754972299390943e+02 1.244000015258789062e+02
1.972000000000000000e+03 1.367102454300008390e+02 1.380000000000000000e+02
1.973000000000000000e+03 1.464482997565606581e+02 1.468000030517578125e+02
1.974000000000000000e+03 1.524427947315457459e+02 1.518000030517578125e+02
1.975000000000000000e+03 1.611600167337633707e+02 1.555000000000000000e+02
1.976000000000000000e+03 1.685222801141685238e+02 1.711000061035156250e+02
1.977000000000000000e+03 1.670343383807735620e+02 1.693999938964843750e+02
1.978000000000000000e+03 1.642531816120209669e+02 1.623999938964843750e+02
1.979000000000000000e+03 1.599258660681807385e+02 1.608999938964843750e+02
1.980000000000000000e+03 1.608658895832555515e+02 1.616000061035156250e+02
1.981000000000000000e+03 1.604602947949630334e+02 1.638000030517578125e+02
1.982000000000000000e+03 1.616576451447855902e+02 1.623000030517578125e+02
1.983000000000000000e+03 1.550228134574356318e+02 1.538000030517578125e+02
1.984000000000000000e+03 1.429485178172778319e+02 1.443000030517578125e+02
1.985000000000000000e+03 1.403848611620090878e+02 1.445000000000000000e+02
1.986000000000000000e+03 1.345864151160982374e+02 1.311999969482421875e+02
1.987000000000000000e+03 1.306046962232771875e+02 1.283000030517578125e+02
1.988000000000000000e+03 1.264596581023875927e+02 1.286999969482421875e+02
1.989000000000000000e+03 1.253558186376720869e+02 1.209000015258789062e+02
1.990000000000000000e+03 1.270973406192674133e+02 1.243000030517578125e+02
1.991000000000000000e+03 1.248403949251430021e+02 1.209000015258789062e+02
1.992000000000000000e+03 1.201560088338006977e+02 1.265000000000000000e+02
1.993000000000000000e+03 1.223042126548029529e+02 1.171999969482421875e+02
1.994000000000000000e+03 1.224093567420184314e+02 1.203000030517578125e+02
1.995000000000000000e+03 1.249677133881359339e+02 1.231999969482421875e+02
1.996000000000000000e+03 1.253919879125536454e+02 1.025000000000000000e+02
1.997000000000000000e+03 1.267307784956707337e+02 9.769999694824218750e+01
1.998000000000000000e+03 1.209979209043156771e+02 9.700000000000000000e+01
1.999000000000000000e+03 1.158643176028611634e+02 9.409999847412109375e+01
2.000000000000000000e+03 1.099256370381128534e+02 8.890000152587890625e+01
2.001000000000000000e+03 1.069191397644285928e+02 9.430000305175781250e+01
2.002000000000000000e+03 1.017728766845520596e+02 9.300000000000000000e+01
2.003000000000000000e+03 1.113507710838570262e+02 7.790000152587890625e+01
2.004000000000000000e+03 1.102159796312551094e+02 6.919999694824218750e+01
2.005000000000000000e+03 1.130239732399430750e+02 6.390000152587890625e+01
2.006000000000000000e+03 1.012373044484792928e+02 6.390000152587890625e+01
2.007000000000000000e+03 1.015274300375882746e+02 5.450000000000000000e+01
2.008000000000000000e+03 9.487886529063193564e+01 5.159999847412109375e+01
2.009000000000000000e+03 8.937455639540017671e+01 4.890000152587890625e+01
2.010000000000000000e+03 8.108801585521840138e+01 4.770000076293945312e+01
2.011000000000000000e+03 7.785573275631662682e+01 4.870000076293945312e+01
2.012000000000000000e+03 7.750419052287575994e+01 4.570000076293945312e+01
2.013000000000000000e+03 7.373467265461759723e+01 4.209999847412109375e+01
2.014000000000000000e+03 7.211789146134842099e+01 4.040000152587890625e+01
2.015000000000000000e+03 7.023958781896367043e+01 4.040000152587890625e+01
2.016000000000000000e+03 6.914954835246608411e+01 3.740000152587890625e+01
2.017000000000000000e+03 6.641575075763124403e+01 3.629999923706054688e+01
