# year, synthetic, actual
1.970000000000000000e+03 1.214944455888535941e+02 1.064000015258789062e+02
1.971000000000000000e+03 1.254861111111111285e+02 1.054000015258789062e+02
1.972000000000000000e+03 1.308722229003906534e+02 1.088000030517578125e+02
1.973000000000000000e+03 1.332027776506212149e+02 1.095000000000000000e+02
1.974000000000000000e+03 1.363305549621582031e+02 1.118000030517578125e+02
1.975000000000000000e+03 1.390388889312743856e+02 1.135000000000000000e+02
1.976000000000000000e+03 1.436500000423855568e+02 1.154000015258789062e+02
1.977000000000000000e+03 1.431499991946750185e+02 1.171999969482421875e+02
1.978000000000000000e+03 1.419527778625487997e+02 1.166999969482421875e+02
1.979000000000000000e+03 1.395777782864040830e+02 1.170999984741210938e+02
1.980000000000000000e+03 1.393972223069932284e+02 1.175999984741210938e+02
1.981000000000000000e+03 1.396527773539225166e+02 1.199000015258789062e+02
1.982000000000000000e+03 1.381388886769612725e+02 1.155999984741210938e+02
1.983000000000000000e+03 1.332222226460774834e+02 1.063000030517578125e+02
1.984000000000000000e+03 1.263722224765353559e+02 1.055999984741210938e+02
1.985000000000000000e+03 1.243527774810790731e+02 1.070000000000000000e+02
1.986000000000000000e+03 1.209583335452609560e+02 1.054000015258789062e+02
1.987000000000000000e+03 1.180888894399007256e+02 1.060000000000000000e+02
1.988000000000000000e+03 1.133749995761447309e+02 1.025999984741210938e+02
1.989000000000000000e+03 1.097694447835286127e+02 1.003000030517578125e+02
1.990000000000000000e+03 1.058000002966986557e+02 9.409999847412109375e+01
1.991000000000000000e+03 1.045527776082356723e+02 9.550000000000000000e+01
1.992000000000000000e+03 1.034638890160454565e+02 9.619999694824218750e+01
1.993000000000000000e+03 1.024138884014553099e+02 9.119999694824218750e+01
1.994000000000000000e+03 1.019888887405395508e+02 9.180000305175781250e+01
1.995000000000000000e+03 1.027277774810791016e+02 9.350000000000000000e+01
1.996000000000000000e+03 1.007972223493787851e+02 9.209999847412109375e+01
1.997000000000000000e+03 1.010666666030883505e+02 9.190000152587890625e+01
1.998000000000000000e+03 1.000583327611287530e+02 8.869999694824218750e+01
1.999000000000000000e+03 9.672777801089814886e+01 8.440000152587890625e+01
2.000000000000000000e+03 9.118333350287544192e+01 8.009999847412109375e+01
2.001000000000000000e+03 8.821388880411782907e+01 7.819999694824218750e+01
2.002000000000000000e+03 8.614166662428114307e+01 7.530000305175781250e+01
2.003000000000000000e+03 8.564722135331896880e+01 7.100000000000000000e+01
2.004000000000000000e+03 8.008333269755046047e+01 6.990000152587890625e+01
2.005000000000000000e+03 7.904722256130642677e+01 7.009999847412109375e+01
2.006000000000000000e+03 7.604444450802270694e+01 7.130000305175781250e+01
2.007000000000000000e+03 7.395555549197726464e+01 6.969999694824218750e+01
2.008000000000000000e+03 6.821944406297471630e+01 6.669999694824218750e+01
2.009000000000000000e+03 6.522222216924031102e+01 5.529999923706054688e+01
2.010000000000000000e+03 5.920555538601345802e+01 4.820000076293945312e+01
2.011000000000000000e+03 5.738888857099745167e+01 4.250000000000000000e+01
2.012000000000000000e+03 5.564444478352863399e+01 4.120000076293945312e+01
2.013000000000000000e+03 5.359722206327649729e+01 3.979999923706054688e+01
2.014000000000000000e+03 5.126111110051472508e+01 3.990000152587890625e+01
2.015000000000000000e+03 5.092500003178914625e+01 3.950000000000000000e+01
2.016000000000000000e+03 4.939166662428115018e+01 3.970000076293945312e+01
2.017000000000000000e+03 4.800277762942845072e+01 3.900000000000000000e+01
